,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,distilled,teachers,policy_noise,headway_mean54009,headway_mean54339,headway_mean54329,headway_mean54319,headway_mean54101,headway_mean66091,headway_mean66031,headway_mean66041,headway_mean66051,headway_mean66379,headway_mean66359,headway_mean62141,headway_mean62059,headway_mean62049,headway_mean62039,headway_mean62029,headway_mean62019,headway_mean70309,headway_mean70299,headway_mean70289,headway_mean70279,headway_mean70269,headway_mean71161,headway_mean71151,headway_mean71141,headway_mean71121,headway_mean71131,headway_mean71091,headway_mean72021,headway_mean72061,headway_mean72071,headway_mean84499,headway_mean84489,headway_mean84461,headway_mean84471,headway_mean84621,headway_mean84611,headway_mean84631,headway_mean84601,headway_mean75341,headway_mean75061,headway_mean76289,headway_mean76129,headway_mean76119,headway_mean76051,headway_mean75009,headway_var54009,headway_var54339,headway_var54329,headway_var54319,headway_var54101,headway_var66091,headway_var66031,headway_var66041,headway_var66051,headway_var66379,headway_var66359,headway_var62141,headway_var62059,headway_var62049,headway_var62039,headway_var62029,headway_var62019,headway_var70309,headway_var70299,headway_var70289,headway_var70279,headway_var70269,headway_var71161,headway_var71151,headway_var71141,headway_var71121,headway_var71131,headway_var71091,headway_var72021,headway_var72061,headway_var72071,headway_var84499,headway_var84489,headway_var84461,headway_var84471,headway_var84621,headway_var84611,headway_var84631,headway_var84601,headway_var75341,headway_var75061,headway_var76289,headway_var76129,headway_var76119,headway_var76051,headway_var75009
0,271,0.0,0.0,-1.5602228973123384,-1.275477571370932,-0.2847453259414065,81.95925822754602,1.420417795846487,634.3928608062365,2185.894553287517,1714.3752179710739,13.988568895367129,False,1,0.29969999999999997,874.551724137931,875.448275862069,876.5,877.8620689655172,878.3620689655172,879.3620689655172,880.2931034482758,881.2931034482758,882.3448275862069,883.051724137931,884.3103448275862,885.3275862068965,886.4827586206897,887.551724137931,889.0689655172414,890.448275862069,891.7586206896551,893.1379310344828,894.4310344827586,895.3103448275862,896.2586206896551,897.0862068965517,898.6206896551724,899.8793103448276,900.948275862069,902.2931034482758,902.9137931034483,904.2068965517242,905.4137931034483,906.8275862068965,908.7758620689655,909.4655172413793,909.7758620689655,911.2586206896551,911.948275862069,912.8103448275862,914.2931034482758,915.2931034482758,916.3620689655172,917.3448275862069,918.4827586206897,919.9827586206897,920.948275862069,921.8965517241379,923.5344827586207,924.6551724137931,91471.86801426871,104325.93697978597,105832.93965517242,106560.67063020213,110117.40338882283,125261.29994054696,133361.5865041617,150500.89684898927,159475.26040428062,172944.6007728894,187886.69678953628,203576.87544589775,224858.3186682521,244739.90249702733,252230.47800237813,270383.1438763377,286943.45897740783,303356.5671819262,318878.86593341257,321888.6278240191,339904.81242568366,354645.7339476814,366037.1664684899,381351.9337098692,403641.911117717,419148.86236623063,438037.1477407848,473715.0261593342,498766.4494649227,541823.9013079667,562090.7945897741,586818.1798454222,621609.5876932222,656931.7089774079,699011.3938763377,723477.8433412603,754149.5175386444,782400.5520214031,786553.8171819262,809952.3293697978,833419.0772889417,883540.8445303208,906108.4628418549,926692.1961950061,940086.2488109395,983063.8466111771
0,246,0.0,0.0,-1.519087243584712,-1.2371565716862785,-0.2819306718984334,81.1614588799796,1.4065913116236568,695.2435331230284,2150.9432965299684,1795.0484227129336,14.543964097669338,False,1,0.29940029999999995,874.551724137931,876.1551724137931,877.5862068965517,878.6551724137931,879.7931034482758,881.2758620689655,882.6034482758621,883.5862068965517,885.2068965517242,885.9655172413793,886.7758620689655,888.0689655172414,889.6551724137931,890.3103448275862,891.0,892.7241379310345,894.7413793103449,895.7241379310345,897.6551724137931,898.5,900.3103448275862,901.4310344827586,902.5172413793103,904.0,905.6724137931035,907.6724137931035,908.7241379310345,909.5689655172414,910.7413793103449,912.1724137931035,913.8103448275862,915.551724137931,916.5862068965517,917.5344827586207,919.2413793103449,920.1724137931035,921.5689655172414,923.3448275862069,925.3620689655172,926.8793103448276,927.9310344827586,929.6034482758621,930.2068965517242,931.0862068965517,932.9310344827586,934.5172413793103,91471.86801426871,107684.40695600475,110686.82877526754,114256.50178359097,123056.02615933413,140571.16527942926,147602.2737812128,156642.2770511296,165413.16409036858,179759.03329369798,188471.38079667062,206457.1676575505,226785.81212841853,244886.66230677764,249431.6896551724,267988.6825208086,271819.8469084423,288042.0618311534,298295.46730083233,317222.3879310345,337836.31747919146,354088.07282996434,374728.8014268727,394795.6551724138,402200.87544589787,423773.49613555294,439481.2342449465,473302.7624851367,497968.64001189056,529918.4530321046,543244.705410226,576438.2128418549,602997.7253269918,618286.5246730084,644760.4934601665,668867.9013079667,692261.17627824,709339.3638525566,728692.2309750299,752695.1061236623,774713.6504161713,820245.894470868,840230.1985731273,872396.5960166468,888998.4435196194,940132.5600475624
0,150,0.0,0.0,-1.4643135766090507,-1.1820998982088287,-0.28221367840022216,81.19890417481838,1.4072402677551537,649.8946319737458,2124.9680028129396,1734.366854195968,13.23415135117598,False,1,0.2991008997,874.551724137931,876.6206896551724,878.1551724137931,879.5344827586207,881.1034482758621,883.6034482758621,885.7413793103449,887.7413793103449,888.948275862069,890.5172413793103,891.9310344827586,893.5689655172414,895.1206896551724,896.6379310344828,898.6206896551724,900.6896551724138,902.1379310344828,904.0,905.2758620689655,906.9310344827586,909.4310344827586,911.8275862068965,913.5862068965517,914.9137931034483,917.0172413793103,918.7241379310345,921.051724137931,922.7586206896551,924.1206896551724,925.5344827586207,926.9137931034483,928.448275862069,930.5689655172414,931.8620689655172,933.5689655172414,934.948275862069,937.0689655172414,938.8103448275862,940.8620689655172,942.8448275862069,945.2241379310345,947.4827586206897,948.4655172413793,950.3275862068965,951.7413793103449,953.7068965517242,91471.86801426871,103140.13198573128,104295.51040428063,108275.90398335314,117783.16171224733,129674.06688466111,144101.77794292505,159945.4675980975,172123.1180142687,190221.3531510107,206646.7538644471,221417.79696789535,232839.58888228296,250218.2309750297,263713.8906064209,283228.90368608804,291622.80856123654,302579.9655172414,310770.02734839474,327830.9262782402,361608.4176575505,376934.62544589775,391425.7942925089,414309.63049940555,438161.4652199762,462860.4066587396,489667.2214625446,528624.2175980976,552091.0716409036,582963.4557074911,598967.8029131985,635484.9024970274,675227.5555885849,715963.7395957195,750699.3486920331,786196.8766349583,835385.3055885852,850144.153686088,872742.1189060644,905555.0621284186,940743.0014863261,980719.697978597,1009649.628121284,1046057.2202734839,1065077.2951843045,1125216.7589179548
0,360,0.0,0.0,-1.5219351113105053,-1.2375111725288097,-0.28442393878169586,81.87089790382271,1.4188864425988177,651.702648244099,2181.491748224909,1745.7783534830166,15.346236302809247,False,1,0.2988017988003,874.551724137931,875.3275862068965,876.5344827586207,877.6551724137931,878.1206896551724,878.7758620689655,879.3793103448276,880.4655172413793,881.3275862068965,881.9137931034483,882.8965517241379,884.051724137931,885.2931034482758,885.9137931034483,887.3448275862069,888.8793103448276,890.551724137931,892.1379310344828,894.0,894.8275862068965,895.7931034482758,896.8793103448276,897.448275862069,898.8448275862069,900.2068965517242,901.8965517241379,903.5172413793103,904.7413793103449,905.5689655172414,906.0862068965517,907.0172413793103,908.448275862069,909.1206896551724,910.5172413793103,911.6551724137931,912.1724137931035,913.3448275862069,914.6379310344828,915.3965517241379,916.4310344827586,917.3965517241379,918.3103448275862,919.051724137931,920.8103448275862,922.4137931034483,923.7241379310345,91471.86801426871,105226.11682520808,109907.007431629,113557.9155766944,116820.72681331747,136270.48424494648,146743.23543400716,159741.28329369798,169567.35820451842,184681.0098097503,194335.54102259217,212214.98008323423,227310.34512485136,245937.6994649227,257968.26040428065,277360.00267538644,288997.2128418549,302395.67063020216,315656.2413793103,336457.0047562425,364862.5434007134,383971.89922711055,404336.52318668255,416583.88971462543,420013.3365041617,427694.40309155773,450989.422116528,485007.67449464917,505566.0383472057,539383.8373959572,548393.3962544589,586141.040428062,616040.0026753864,647428.7324613557,675512.8121284186,707687.1771700357,739768.329369798,757188.2309750296,770443.1358501785,788683.3486920333,803654.0668846612,836341.4898929845,862461.0145659929,872018.7743757432,895951.1736028538,934321.096313912
0,446,2.023896813392639,4.384271049499512,-1.8461737073387896,-1.5613001665045776,-0.28487354083421185,82.04670127570294,1.4219332519939833,721.3596685082873,2235.7782951854774,1843.7767955801105,16.84411610870404,False,1,0.2985029970014997,874.551724137931,875.5172413793103,875.7931034482758,876.3793103448276,876.7413793103449,877.1551724137931,877.5172413793103,878.4310344827586,878.9827586206897,879.9655172413793,881.4137931034483,882.3103448275862,883.1724137931035,884.3103448275862,885.6206896551724,886.3793103448276,887.7413793103449,888.8103448275862,889.9827586206897,891.0862068965517,892.0344827586207,892.7758620689655,893.2758620689655,894.7413793103449,895.3103448275862,896.9655172413793,898.2413793103449,899.2931034482758,902.3965517241379,903.2586206896551,906.7241379310345,908.7241379310345,909.7931034482758,912.1551724137931,913.7241379310345,914.1034482758621,915.8448275862069,917.4655172413793,919.0862068965517,920.6379310344828,921.448275862069,923.2758620689655,924.3275862068965,926.0862068965517,927.3275862068965,929.4655172413793,91471.86801426871,112733.24970273484,118691.64684898929,124853.54577883474,139658.12277051128,165626.47592152198,184246.87039239,210728.86593341263,225346.81004756247,242680.44708680146,254871.1736028537,286028.7312722949,308925.59096313914,328703.627824019,335957.44233055884,366920.85612366226,380271.7779429251,395696.0847205707,417613.6721165279,443692.1132580261,474578.9988109394,504214.7601070155,529200.2342449465,553920.7434601664,578657.7657550535,593729.4815695599,613595.8382877526,639769.3106420927,659688.6530915576,681171.6055291321,695820.3032104637,716681.9928656361,750352.1640903688,774017.6828180738,801268.923900119,821588.7134363852,853722.7517835909,867994.5591557669,902427.2856718192,931266.8861474436,944757.5921521997,979238.4411414982,1004029.9444114148,1032345.6994649227,1060076.5306183116,1117075.7660523187
0,62,1.1948875665664673,2.2802138328552246,-0.8401897580830415,-0.700452140392488,-0.13973761769055346,39.879563546743725,0.6944282383610303,548.4006087877184,1552.526071995765,1096.4309158284807,8.255871920977302,False,1,0.29820449400449817,874.551724137931,876.0344827586207,877.948275862069,878.7931034482758,880.0344827586207,882.7068965517242,884.3620689655172,885.8275862068965,887.3448275862069,888.5172413793103,889.6206896551724,891.2758620689655,892.8103448275862,894.9310344827586,896.4827586206897,897.3965517241379,898.5,899.9137931034483,901.2758620689655,902.1379310344828,903.8448275862069,904.9655172413793,905.7586206896551,906.4310344827586,907.8965517241379,908.9655172413793,909.6379310344828,911.4137931034483,913.0344827586207,914.6551724137931,915.8793103448276,917.0172413793103,918.948275862069,920.8965517241379,922.0344827586207,923.5689655172414,924.7758620689655,925.448275862069,926.051724137931,927.3620689655172,928.8793103448276,930.6379310344828,931.448275862069,932.8275862068965,933.6379310344828,934.6379310344828,91471.86801426871,97223.51605231868,93685.35939357909,93148.88822829962,89984.0677764566,89236.00029726516,91708.9895957194,96404.00475624259,98462.70868014269,101269.28418549345,106448.47681331748,116283.44114149822,119633.42954815694,127441.9262782402,133058.93935790725,141764.20481569562,152461.0431034483,159731.94084423306,165033.57907253268,173920.91200951245,184140.51040428065,191737.5850178359,200112.66587395957,207135.83145065396,214867.16171224733,216170.86087990488,231005.8861474435,253183.41498216407,264359.2746730083,281380.501783591,287933.7268133175,300746.9479785969,324460.3593935791,341471.50653983356,358917.79191438755,373108.41765755054,385886.5532104638,393121.9024970274,403599.8766349584,420009.43787158147,429240.9337098692,446238.09304399526,463027.8335315101,469220.48751486326,472345.5068370986,492307.40338882286
0,624,1.3757575750350952,1.548653531074524,-1.2802224569942822,-1.21258184802353,-0.06764060897075187,18.603600103927292,0.33593448010796395,599.6241302738712,1400.6121391561805,915.3444855662473,10.989845536043706,False,1,0.2979062895104937,874.551724137931,874.7758620689655,874.3965517241379,874.4137931034483,873.7931034482758,873.2931034482758,872.6724137931035,872.2586206896551,872.448275862069,872.2241379310345,872.6551724137931,872.2413793103449,872.1724137931035,871.8448275862069,872.1379310344828,872.3965517241379,872.3965517241379,872.3793103448276,872.448275862069,872.8275862068965,872.5,872.448275862069,872.7068965517242,873.1034482758621,873.5,873.7068965517242,874.3103448275862,874.1034482758621,873.948275862069,874.448275862069,874.7413793103449,874.1206896551724,874.2068965517242,874.4827586206897,874.5862068965517,874.2413793103449,873.9655172413793,873.9655172413793,874.2068965517242,873.9655172413793,873.8103448275862,872.9827586206897,872.9655172413793,872.7068965517242,872.9310344827586,872.2413793103449,91471.86801426871,100548.82907253271,100056.82550535077,100266.69084423305,102749.92271105826,108164.10374554104,114422.56510107015,121261.91587395957,127969.14387633771,134270.82907253268,143308.81212841856,159194.42449464925,174028.41854934607,189525.51040428062,197439.25683709866,214523.2392984542,224244.58412604043,240948.61474435197,249199.59215219974,265918.34958382876,291060.2844827586,306496.3162901308,319821.58650416177,331730.1617122473,341685.525862069,354375.93133174797,364991.2140309155,382517.9548156955,394942.01456599287,401602.93697978597,414404.46759809746,432037.9337098692,451373.06064209284,457603.87039239006,472250.4839476814,488033.8382877527,500678.0677764566,506754.757431629,507079.6468489893,522477.6884661118,531875.3260998811,559190.0169441141,581540.5160523186,605096.6554696788,611782.0642092746,634229.0451843044
0,715,1.790381908416748,1.2786149859428406,-1.4239130317795123,-1.381617165886038,-0.042295865893474574,11.119661201076472,0.21044733171410723,756.1645703042653,1428.9290281779215,1115.1739863677885,15.041054109057187,False,1,0.2976083832209832,874.551724137931,877.3793103448276,878.6034482758621,879.1034482758621,879.9137931034483,881.551724137931,882.3965517241379,883.7931034482758,884.2586206896551,884.3965517241379,884.7068965517242,885.1034482758621,885.6724137931035,886.2931034482758,886.7413793103449,887.6551724137931,888.4137931034483,889.1896551724138,889.8620689655172,890.6034482758621,891.3448275862069,891.948275862069,892.6206896551724,892.9827586206897,893.448275862069,894.0172413793103,894.8448275862069,895.8793103448276,896.3965517241379,897.551724137931,898.3103448275862,899.4137931034483,900.1896551724138,901.4827586206897,902.5,902.5172413793103,903.051724137931,903.3965517241379,904.0172413793103,904.8620689655172,905.5172413793103,906.8275862068965,906.7068965517242,907.0,908.1896551724138,909.1206896551724,91471.86801426871,110799.1664684899,115221.61860879904,118341.67895362663,130077.76843043994,138601.38525564806,145666.13585017834,154871.7847800238,160838.01932223546,176119.06688466112,187311.68995243756,208688.7824019025,221104.66854934604,243448.5865041617,253965.6744946492,271634.4328180738,278321.1736028538,288951.8433412604,294766.5671819263,308710.9979191439,326154.77764566,345196.8076694411,362477.95957193815,378384.6721165279,394522.52318668255,411855.4652199762,423776.26902497024,456755.6923305589,482473.99791914393,501998.3507728894,525263.3174791915,555490.346016647,595004.4640309155,613453.8014268728,623702.3534482758,669337.0083234246,688425.4973246136,698866.446195006,711595.6376337694,726518.1189060642,761023.4910820452,762239.6254458977,795106.0692627825,833689.8620689656,852195.6019619501,867628.3819857312
0,471,2.0007364988327025,0.770373547077179,-1.171220831894877,-1.138593597177776,-0.0326272347171009,8.288235967791332,0.1614256043680744,567.3352759684608,1314.1007884813164,777.3935550222832,7.225054252883288,False,1,0.29731077483776225,874.551724137931,874.9655172413793,875.1724137931035,875.4827586206897,875.8965517241379,876.7241379310345,876.8793103448276,877.3448275862069,877.5344827586207,877.8103448275862,878.3448275862069,878.4137931034483,878.7241379310345,878.8448275862069,879.2758620689655,879.551724137931,879.6896551724138,880.4827586206897,881.448275862069,881.6896551724138,882.051724137931,882.1551724137931,882.1206896551724,882.9655172413793,883.5,883.6206896551724,884.1034482758621,884.8275862068965,885.1379310344828,885.2931034482758,885.3793103448276,885.551724137931,885.7931034482758,885.8965517241379,886.2586206896551,886.7068965517242,887.0172413793103,887.5,887.6034482758621,887.7758620689655,887.8965517241379,888.4827586206897,888.3965517241379,888.9827586206897,889.2413793103449,889.8620689655172,91471.86801426871,97715.96432818072,99525.0392390012,101943.5255648038,106517.50653983351,112056.47562425683,114737.62336504161,120196.36385255649,126753.04191438764,134593.6709274673,142138.3638525565,154566.58739595715,163525.40665873958,174907.5793697978,178369.82045184303,186547.7300832343,190364.3519619501,198004.6979785969,201841.28180737217,211593.21403091555,225272.39387633768,232908.26902497027,241260.48543400716,251927.03329369798,267994.0775862069,279047.85612366226,298213.33412604046,317983.2461355529,333774.4637336504,351287.93133174797,366945.02853745536,385618.0404280618,417194.9227110583,436542.64447086805,451185.32966706296,474777.8623662307,494854.5341854935,505624.2844827586,518363.37722948875,532939.1739001189,551741.0582639715,573400.0083234245,595840.5496432818,612318.8790130797,616884.0451843044,635227.1878715816
0,1779,1.9450385570526123,0.6231148481369019,-1.7603195800458498,-1.734442733461773,-0.025876846584076754,6.2718383191408185,0.12838903299952908,653.2188742734781,1361.5565922300398,879.672988681554,14.972834539313011,False,1,0.2970134640629245,874.551724137931,875.3620689655172,875.4827586206897,875.9310344827586,876.0862068965517,876.551724137931,876.4827586206897,876.8620689655172,877.0172413793103,877.051724137931,877.1551724137931,877.2586206896551,877.2758620689655,877.3448275862069,877.448275862069,877.5689655172414,877.6551724137931,878.0689655172414,878.2241379310345,878.1724137931035,878.3103448275862,878.3620689655172,878.3793103448276,878.5172413793103,878.9655172413793,879.1206896551724,879.1724137931035,879.6034482758621,879.6551724137931,879.8620689655172,880.1034482758621,880.1724137931035,880.3103448275862,880.3620689655172,880.8965517241379,880.7931034482758,880.9655172413793,881.0172413793103,881.2413793103449,881.6724137931035,881.8448275862069,881.9655172413793,881.8965517241379,882.3965517241379,882.551724137931,882.6724137931035,91471.86801426871,100321.36890606422,107574.59453032106,112116.13317479193,122151.52705112964,141689.21284185493,152932.8359096314,172750.29131985735,191504.25832342452,218557.7042211653,240108.1310939358,271212.05380499404,288650.57907253265,311768.225921522,321477.2473246135,346381.6935196196,358723.50178359094,376048.0986920333,385920.2773483948,406849.83234244946,426692.04161712254,446676.57580261596,460059.23543400713,472583.38763376937,490775.9643281808,511301.4164684899,524435.8668252081,557614.0324019025,576163.5362663496,602152.0844233057,633251.2996432817,665642.1082045184,702497.2829964327,724287.47235434,741824.0237812129,777607.9571938169,796646.2057074911,798810.396254459,804449.5279429252,810932.1857907254,823307.6828180738,826828.3091557669,876584.7479191439,907360.825505351,921416.6266349582,945259.771997622
