,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24270,25393,26102,27103,28023,28834,29824,30445,31131,31378,32522,32755,33495,34219,35178,36092,37094,37966,38063,39094,39380,39847,40821,41933,42789,43811,44883,45482,45994,47283,48128,48961,50172,51238,52742,53223,53317,54102,55782,56686,57402,58376,59281,60074,60955,61971,63000,63890,64972,65765,67097,67962,69254,70598,71251,72458,73137,74042,75046
2,54329,24368,25599,26262,27280,28166,28970,29966,30619,31304,31512,32717,32944,33689,34413,35326,36292,37299,38146,38237,39282,39557,40047,40978,42135,42945,43992,45087,45651,46192,47457,48322,49122,50349,51463,52919,53394,53475,54291,55969,56872,57554,58544,59501,60202,61161,62171,63162,64042,65146,65954,67335,68116,69441,70781,71470,72674,73288,74238,75215
3,54319,24459,25766,26395,27466,28321,29111,30094,30749,31495,31666,32866,33119,33867,34584,35458,36425,37481,38299,38411,39440,39655,40185,41158,42289,43067,44152,45282,45807,46389,47620,48464,49261,50520,51629,53057,53505,53633,54485,56131,57029,57724,58715,59654,60336,61299,62332,63277,64164,65331,66112,67508,68235,69611,70917,71620,72861,73430,74413,75378
4,54101,24596,25974,26592,27679,28505,29286,30258,30923,31675,31829,33072,33360,34103,34846,35645,36631,37752,38481,38632,39668,39836,40436,41393,42483,43261,44368,45531,45990,46656,47834,48675,49520,50757,51890,53316,53661,53837,54772,56318,57286,57943,58943,59899,60549,61528,62589,63513,64360,65512,66295,67786,68410,69813,71136,71870,73135,73619,74641,75585
5,66091,24794,26310,26860,27974,28743,29506,30465,31143,31935,32042,33419,33710,34420,35123,35880,36913,38095,38763,38902,40003,40080,40708,41656,42766,43502,44636,45862,46217,46970,48071,48943,49805,51058,52272,53668,53903,54114,55131,56592,57634,58208,59259,60259,60804,61809,62889,63810,64592,65794,66522,68130,68612,70100,71383,72153,73484,73881,74952,75819
6,66031,24907,26546,27043,28172,28880,29684,30651,31322,32121,32183,33624,33900,34604,35303,36059,37125,38330,38965,39074,40194,40261,40901,41881,42961,43701,44829,46069,46402,47213,48260,49125,50030,51255,52528,53883,54052,54318,55413,56777,57850,58389,59451,60475,60983,62020,63114,64001,64777,65977,66717,68364,68789,70299,71561,72367,73719,74059,75148,76012
7,66041,25023,26757,27248,28381,28991,29877,30807,31501,32297,32351,33855,34155,34843,35510,36258,37314,38560,39140,39268,40381,40487,41075,42100,43148,43846,45002,46306,46594,47418,48443,49284,50232,51451,52763,54080,54227,54532,55657,56980,58094,58557,59660,60706,61191,62218,63356,64197,64960,66166,66881,68575,68932,70535,71729,72576,73961,74228,75339,76209
8,66051,25090,26905,27351,28550,29133,30017,30938,31626,32454,32538,34026,34316,35007,35676,36417,37470,38717,39312,39410,40562,40649,41201,42247,43313,43979,45139,46479,46748,47618,48560,49396,50367,51610,52934,54274,54363,54688,55820,57128,58232,58682,59814,60895,61333,62383,63516,64357,65084,66319,67027,68755,69099,70725,71867,72756,74140,74360,75497,76339
9,66379,25194,27139,27519,28728,29271,30185,31086,31767,32609,32703,34212,34475,35219,35838,36581,37634,38925,39486,39597,40750,40787,41342,42427,43486,44143,45296,46663,46918,47810,48752,49536,50557,51814,53132,54487,54507,54856,56026,57313,58424,58855,60004,61094,61472,62550,63711,64546,65224,66474,67169,68928,69267,70923,72033,72958,74357,74523,75709,76505
