,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,distilled,teachers,headway_mean54009,headway_mean54339,headway_mean54329,headway_mean54319,headway_mean54101,headway_mean66091,headway_mean66031,headway_mean66041,headway_mean66051,headway_mean66379,headway_mean66359,headway_mean62141,headway_mean62059,headway_mean62049,headway_mean62039,headway_mean62029,headway_mean62019,headway_mean70309,headway_mean70299,headway_mean70289,headway_mean70279,headway_mean70269,headway_mean71161,headway_mean71151,headway_mean71141,headway_mean71121,headway_mean71131,headway_mean71091,headway_mean72021,headway_mean72061,headway_mean72071,headway_mean84499,headway_mean84489,headway_mean84461,headway_mean84471,headway_mean84621,headway_mean84611,headway_mean84631,headway_mean84601,headway_mean75341,headway_mean75061,headway_mean76289,headway_mean76129,headway_mean76119,headway_mean76051,headway_mean75009,headway_var54009,headway_var54339,headway_var54329,headway_var54319,headway_var54101,headway_var66091,headway_var66031,headway_var66041,headway_var66051,headway_var66379,headway_var66359,headway_var62141,headway_var62059,headway_var62049,headway_var62039,headway_var62029,headway_var62019,headway_var70309,headway_var70299,headway_var70289,headway_var70279,headway_var70269,headway_var71161,headway_var71151,headway_var71141,headway_var71121,headway_var71131,headway_var71091,headway_var72021,headway_var72061,headway_var72071,headway_var84499,headway_var84489,headway_var84461,headway_var84471,headway_var84621,headway_var84611,headway_var84631,headway_var84601,headway_var75341,headway_var75061,headway_var76289,headway_var76129,headway_var76119,headway_var76051,headway_var75009
0,328,1.222451138496399,1.2468098998069763,-1.1904686913986011,-1.0279993751533114,-0.16246931624528982,46.48478361019941,0.8080727439607247,608.0197889182058,1697.2463500439753,1265.5809146877748,14.933668199180083,False,3,874.551724137931,875.6379310344828,876.448275862069,876.948275862069,877.5689655172414,878.5689655172414,879.0689655172414,879.8103448275862,880.8448275862069,880.8275862068965,882.0862068965517,883.2241379310345,884.0,884.6034482758621,884.9310344827586,885.6206896551724,886.5,887.051724137931,888.3275862068965,888.7586206896551,889.7931034482758,890.4655172413793,890.8448275862069,891.3448275862069,892.2241379310345,893.2413793103449,893.9137931034483,894.8103448275862,895.2758620689655,895.8448275862069,896.1206896551724,896.9655172413793,896.8620689655172,897.2241379310345,898.2241379310345,899.2241379310345,899.9137931034483,900.5689655172414,901.5172413793103,902.2068965517242,903.0344827586207,903.6034482758621,903.2413793103449,903.4655172413793,903.9310344827586,904.0689655172414,91471.86801426871,106986.50683709868,109696.00594530322,111291.08353151011,117534.34869203328,129167.83145065398,134680.305588585,140932.0847205707,144454.475921522,158446.55648038047,167902.1822235434,188792.0014863258,201962.58620689655,212963.96343638527,216973.34007134364,220396.54577883467,234425.1120689655,233599.32491082046,240140.87544589775,240435.70035671815,254731.06064209275,254788.86950059453,261752.06212841856,262836.7431629013,271071.9670035672,277508.9762187872,284105.14774078474,301692.9467895362,306594.6825208086,319687.85523186676,326996.5199167658,338214.30915576697,360453.53269916767,375196.13941736025,391402.8980380499,419433.2428656362,440948.1477407847,455401.65903686086,477317.21521997626,497256.12960760994,524438.8263971462,544582.9289536267,564437.0107015457,586121.3522592152,599500.857312723,637601.9262782402
0,696,1.5353250324726104,0.8234062194824219,-1.191502211570778,-1.1117532556507768,-0.07974895592000134,22.07910794170304,0.39563575573383936,839.8737850499965,1485.545136703727,1279.8288930843996,15.00931724016885,False,3,874.551724137931,875.7413793103449,875.4827586206897,875.8275862068965,875.5344827586207,874.7068965517242,874.448275862069,874.5344827586207,874.551724137931,873.5172413793103,873.5689655172414,873.3448275862069,872.9310344827586,872.448275862069,872.2068965517242,872.1896551724138,873.2758620689655,873.2413793103449,872.9310344827586,872.5,872.1896551724138,871.6724137931035,871.8620689655172,872.0344827586207,871.6724137931035,871.6551724137931,871.2758620689655,871.1034482758621,870.6379310344828,870.2068965517242,870.1206896551724,869.8965517241379,869.5689655172414,869.0,869.1379310344828,868.0172413793103,867.9137931034483,867.948275862069,868.0862068965517,867.6896551724138,867.0689655172414,866.7413793103449,865.3965517241379,864.6034482758621,864.7931034482758,864.4827586206897,91471.86801426871,114894.84690844234,115472.28418549348,117952.83234244944,130445.52467300833,137896.31064209275,144084.07491082046,151705.04191438764,159193.76456599287,176934.07728894177,190073.65903686086,218682.91557669436,236907.6159334126,258723.10939357907,267808.5089179548,275524.0157550535,280697.2687277051,288395.63139120094,293837.7193816885,301491.3189655172,306677.877824019,313698.46165279427,316796.1189060642,324506.5850178359,331649.5306183115,335453.63971462543,341681.8204518431,360001.36860879906,372478.024078478,378107.64684898924,390875.14060642093,406106.3341260404,432109.8659334126,451788.3448275862,457660.5326991677,496053.6031510107,514554.1822235434,519389.94560047565,526823.1822235434,540058.2485136741,567616.3400713436,595284.0193222353,610592.170332937,642298.9634363852,655540.0261593341,704262.0083234245
0,744,2.118630313873291,0.6602270841598511,-1.4824199681075163,-1.4260584120315718,-0.05636155607594485,15.198201724145285,0.2799472751589411,736.7475818585656,1452.6590241455901,1116.7316758615748,14.852664035116517,False,3,874.551724137931,876.1379310344828,876.2068965517242,876.1724137931035,876.2241379310345,877.1379310344828,877.5689655172414,877.9827586206897,878.7586206896551,879.1551724137931,879.6551724137931,879.8965517241379,880.0172413793103,880.1379310344828,880.5862068965517,880.8103448275862,881.4827586206897,882.0,882.4310344827586,882.551724137931,882.6034482758621,883.0344827586207,882.9827586206897,883.6551724137931,884.2241379310345,884.2586206896551,884.7068965517242,884.8620689655172,885.4310344827586,885.8448275862069,886.2758620689655,886.5689655172414,887.051724137931,887.2758620689655,887.948275862069,887.7413793103449,888.4655172413793,889.3965517241379,890.4137931034483,891.448275862069,892.5862068965517,893.9827586206897,894.0689655172414,894.551724137931,895.1379310344828,895.9137931034483,91471.86801426871,111402.63614744351,114883.4744351962,119811.79785969084,132992.6911414982,144221.91200951248,153957.21076099883,163970.12039238997,168748.18311533885,181040.37247324613,190469.9845422117,215653.74791914388,223411.29280618308,241367.01545778837,248897.00118906063,267020.05023781216,270781.9048751486,282689.3103448276,288685.1762782402,304795.5231866825,324408.23929845425,333622.8953626635,344959.3272889418,361750.1224732461,376957.0014863258,388342.329667063,400904.5865041617,426837.3947681332,439554.07282996434,465211.20005945297,476720.3032104638,496877.0383472057,540356.4973246136,557507.4066587397,578091.290428062,622682.3641498217,642729.8695005947,651103.0324019024,664956.6908442329,676698.0059453035,705489.8977407848,722090.7065992865,735230.4090368608,780808.8335315101,788799.8430439953,822488.3546373365
0,1075,1.934761118888855,0.5004048228263855,-0.9367860954805932,-0.8833462592041165,-0.05343983627647663,14.2879330627974,0.26441119728115503,564.1108437146092,1399.9915062287655,837.4270951302378,9.04297104940576,False,3,874.551724137931,875.0689655172414,875.3448275862069,875.7931034482758,876.4310344827586,877.4655172413793,878.2068965517242,879.5862068965517,880.7413793103449,881.2413793103449,881.6724137931035,881.8620689655172,882.9137931034483,883.7931034482758,884.5,884.7586206896551,885.2241379310345,885.6379310344828,885.9137931034483,886.1379310344828,887.1034482758621,887.4310344827586,888.051724137931,888.2931034482758,889.1206896551724,889.3965517241379,889.6034482758621,890.1551724137931,890.551724137931,890.9310344827586,891.0689655172414,891.3965517241379,892.0172413793103,893.0,893.9827586206897,894.4137931034483,894.8275862068965,895.0344827586207,895.1896551724138,895.8448275862069,896.3965517241379,897.1379310344828,897.6206896551724,898.6206896551724,899.0,899.8620689655172,91471.86801426871,97379.40903686086,92793.01902497027,92649.54340071345,94062.31420927466,95047.42122473246,99670.33650416169,108357.5873959572,113641.22621878717,123095.42449464923,133424.5995838288,144327.53269916767,159126.49256837097,172269.06064209275,177635.0775862069,188009.63139120096,194309.31183115338,204140.64476813318,214788.49256837097,232305.9464922711,243238.23067776457,254090.76248513677,259404.9456004756,266607.9313317479,277328.24405469676,288907.27378121286,290912.618608799,307492.47592152195,321195.93697978597,336683.51248513674,349871.2366230678,365698.4806777645,385456.25832342455,403281.8620689655,419283.9479785969,442932.0701545779,456321.0047562426,462964.61950059456,466493.877824019,478595.6138525564,503239.3082639714,530659.3947681331,558555.787158145,583295.4768133175,589112.6206896552,625544.3602853745
0,992,1.876871144771576,0.5379164099693299,-1.3294294295818938,-1.2670545126431707,-0.06237491693872337,16.92543967128491,0.30800624866891924,607.4546439628483,1392.2848297213623,906.2357585139318,9.662763111174044,False,3,874.551724137931,875.6724137931035,876.4827586206897,877.0862068965517,877.7758620689655,879.948275862069,880.8448275862069,881.5172413793103,882.4655172413793,883.4827586206897,884.2413793103449,885.5,886.0172413793103,886.4827586206897,887.0172413793103,887.6724137931035,888.0862068965517,888.551724137931,888.7931034482758,889.2241379310345,890.4655172413793,890.9137931034483,891.4137931034483,892.0344827586207,892.7241379310345,893.1206896551724,893.5172413793103,894.3103448275862,894.7586206896551,895.6379310344828,895.9137931034483,896.8965517241379,897.9655172413793,898.6724137931035,899.6206896551724,900.2241379310345,901.1551724137931,902.0172413793103,903.0172413793103,903.7413793103449,904.6551724137931,906.4137931034483,906.5344827586207,906.7241379310345,907.8793103448276,909.2413793103449,91471.86801426871,96346.77199762187,91657.0428061831,91192.90636147444,92775.24286563614,97018.39387633766,98730.54488703924,108034.00832342448,117186.80053507727,127592.76694411416,137805.07966706302,153761.69827586206,167575.9134958383,180028.7324613555,189697.81004756244,207651.53061831155,216058.94084423306,226407.07491082043,237723.75029726516,254187.7601070155,281630.86950059456,292867.5615338882,306485.7253269916,327076.17122473253,344097.13079667056,362887.62336504157,372825.18073721766,405615.9726516052,419495.76932223537,435724.40338882286,453493.63049940544,473972.3341260404,511158.20570749114,528100.7030321046,559484.2699167656,589821.4842449465,619948.4759215219,639762.1548751486,662894.0169441142,678987.7089774078,714828.7086801429,746990.9667063021,787646.9039833532,811981.6480380499,820136.8992271108,855772.631391201
0,740,2.514744687080383,0.594927990436554,-1.5462801816111207,-1.4795679270374442,-0.06671225457367634,18.292964721039695,0.3297482520228358,737.1304381907972,1483.548875127381,1130.9967860782315,16.605101216428924,False,3,874.551724137931,876.6896551724138,877.2758620689655,877.7068965517242,877.5862068965517,878.0172413793103,879.0,879.4310344827586,879.4655172413793,879.6551724137931,880.0689655172414,880.7068965517242,881.2758620689655,881.9310344827586,882.448275862069,882.3103448275862,882.551724137931,883.0172413793103,883.7413793103449,883.8103448275862,883.8448275862069,883.8103448275862,883.8620689655172,883.7241379310345,884.1379310344828,884.9655172413793,885.2241379310345,885.0862068965517,885.6379310344828,886.2931034482758,887.2068965517242,888.6896551724138,889.3275862068965,891.1724137931035,892.4827586206897,893.5344827586207,894.9310344827586,896.2758620689655,897.4655172413793,898.5344827586207,900.0344827586207,902.1034482758621,902.8275862068965,903.5862068965517,904.3793103448276,905.6206896551724,91471.86801426871,111963.45541022593,117030.5790725327,122886.24167657552,140693.1046373365,154987.2238406659,168029.9655172414,180963.17627824022,190816.83501783593,210138.60523186685,223979.02972651605,267456.24167657545,288095.99286563613,317003.96076099883,326910.86801426875,351094.73127229494,363389.3162901308,380892.3617717003,391703.3641498216,413713.01575505355,441653.16557669436,458786.0847205708,469200.01545778837,488156.6480380499,508297.8085612367,524610.3781212842,542606.0359690845,583504.7339476814,618333.8861474434,651800.552021403,670796.12960761,708214.1795481569,742002.7719976219,767840.9357907253,777575.6290130795,820386.9384661117,829147.1331747919,838815.1307966708,846041.2832936979,849902.0763971463,879980.48156956,899665.0237812127,916304.1771700358,959486.51843044,975032.7181926279,1011174.1319857313
0,824,2.9563833236694337,0.659228441119194,-1.401661081897085,-1.3342628075792229,-0.06739827431786218,18.39499521069974,0.3324767824357143,690.9937016239187,1464.1775686750645,1076.1765821824254,14.467446344610496,False,3,874.551724137931,875.6724137931035,875.3103448275862,874.8620689655172,873.8275862068965,873.0172413793103,872.9310344827586,872.4310344827586,872.6551724137931,871.8275862068965,871.6551724137931,871.1896551724138,871.6379310344828,871.4655172413793,871.3448275862069,870.9655172413793,870.7068965517242,870.2758620689655,870.0,869.6379310344828,869.0344827586207,868.6896551724138,868.5344827586207,868.0862068965517,867.948275862069,867.8275862068965,867.4310344827586,866.7586206896551,866.1896551724138,865.4827586206897,865.1896551724138,864.7586206896551,864.3103448275862,864.4137931034483,864.4827586206897,863.5862068965517,863.3620689655172,863.4655172413793,863.5689655172414,863.7758620689655,863.0689655172414,862.3275862068965,861.7758620689655,861.3620689655172,861.9137931034483,861.3793103448276,91471.86801426871,108015.08234244946,109098.5933412604,113536.87752675386,121297.76337693223,127140.9134958383,131922.4435196195,142118.14179548158,149838.63971462546,164675.97027348395,172533.08799048752,197081.5674791914,206693.33442330558,221472.21432818074,227879.53626634958,245846.7919143876,252632.48305588585,262755.33769322233,273750.1724137931,286357.61028537457,306241.8263971463,322306.903686088,339081.31777645653,356046.49256837106,372276.8421521998,382396.694411415,394361.14179548144,418216.14863258024,439875.15368608804,469754.83590963145,496302.67092746723,516251.1486325803,548961.007134364,566204.4494649227,578478.042806183,613195.4839476815,622163.6792508918,621252.4901902498,619078.3142092746,634778.6566587397,654964.6504161711,674890.3582045184,681360.8290725327,711271.2999405471,713832.8718787157,732987.3388822832
0,1298,2.8651917457580565,0.5724117755889893,-1.4533711111510164,-1.3829597953931623,-0.07041131575785427,19.22252566713561,0.34663265348903427,635.570583976834,1455.2972972972973,973.6100386100386,12.543838915603102,False,3,874.551724137931,875.051724137931,875.2586206896551,875.8620689655172,875.7241379310345,875.8793103448276,875.5862068965517,875.3965517241379,875.4310344827586,875.7068965517242,875.551724137931,875.3620689655172,875.551724137931,875.7068965517242,875.9655172413793,875.7241379310345,875.7241379310345,875.6206896551724,875.5689655172414,875.9137931034483,875.7931034482758,875.8793103448276,876.2758620689655,876.2413793103449,876.1724137931035,876.1034482758621,876.0172413793103,875.8620689655172,875.6724137931035,875.4827586206897,875.4137931034483,875.2931034482758,874.7586206896551,875.2586206896551,875.5,876.051724137931,876.4655172413793,876.8448275862069,877.2241379310345,877.3448275862069,877.6724137931035,877.5172413793103,877.2241379310345,877.2758620689655,877.9827586206897,878.051724137931,91471.86801426871,104175.18697978597,107072.32966706301,108726.67063020215,113297.4066587396,126574.96819262783,137856.69084423306,150655.99791914388,160293.7280023781,177103.82788347205,184573.31629013078,208604.50683709868,219586.17835909632,238553.72443519617,244850.8953626635,259373.75148632584,264230.5445897741,270923.78715814505,273384.72800237813,287420.0098097503,310270.64684898924,324117.7957788347,339309.4411414982,357241.5969084423,373966.48751486326,387392.47205707495,404126.39625445893,436318.1533888228,458508.220273484,490787.49108204513,514537.1046373365,543731.6209869203,586005.7348394768,589885.5710463733,592519.6637931034,625741.9111177168,632234.179845422,641909.7173008323,647138.7601070155,647217.674197384,677556.5306183115,699118.4910820452,717660.4152794293,741878.3032104637,754626.7410820451,765129.255945303
0,281,2.7521461486816405,0.47765185832977297,-1.1025019590603593,-1.03140581697146,-0.07109614208889946,19.43246446890546,0.35058246312374536,671.0757707483448,1459.0703537751622,1079.3838025814218,14.421924371720916,False,3,874.551724137931,874.9827586206897,873.7758620689655,872.8965517241379,871.6724137931035,870.1724137931035,869.1896551724138,868.5,867.5344827586207,866.3793103448276,866.4310344827586,865.5862068965517,865.3620689655172,864.6379310344828,864.7586206896551,863.8275862068965,863.8448275862069,863.7758620689655,864.1724137931035,863.8965517241379,863.2931034482758,863.2758620689655,863.0862068965517,863.3103448275862,863.051724137931,863.2586206896551,863.6206896551724,863.6206896551724,864.1379310344828,864.2241379310345,864.3620689655172,864.9827586206897,865.1551724137931,865.3965517241379,865.7586206896551,865.8103448275862,866.2586206896551,866.8620689655172,867.051724137931,867.6034482758621,867.448275862069,867.9655172413793,867.3965517241379,866.4310344827586,866.6034482758621,866.3793103448276,91471.86801426871,114930.22384066586,115516.1739001189,118640.23067776459,129364.84096313914,141526.2461355529,149560.1192033294,157230.49137931035,165117.66260404282,180807.89060642096,185758.45214030915,209185.55291319857,208089.61028537454,223992.2309750297,227637.18311533888,238467.52199762187,241708.92419738404,242639.27734839477,246674.28061831155,256215.57550535077,272222.8623662307,283718.09631391196,291739.9753269917,298055.93816884665,307575.5318073722,315656.1917360286,321480.0975029727,346011.4768133175,359308.2568370986,384678.20838287764,394887.8171819263,410612.12039239,424039.64833531517,425086.7220570749,421628.0451843044,451487.7054102259,452102.7434601665,443746.25683709874,441368.60077288933,442984.20481569564,455110.17835909635,465975.96432818077,464875.2048156956,485998.5211058264,489995.23929845425,501159.2699167658
0,370,2.7474897623062136,0.3481891930103302,-1.109801139132706,-1.03800601992644,-0.07179511920626584,19.691918072077215,0.3544387261151339,674.3950117418415,1469.3418090533646,1058.2256862903878,15.443877095398454,False,3,874.551724137931,875.6034482758621,875.551724137931,875.5,875.6034482758621,876.3275862068965,876.4655172413793,876.7758620689655,876.8620689655172,876.8620689655172,877.9827586206897,877.948275862069,878.3793103448276,878.6379310344828,879.4310344827586,879.8103448275862,880.6034482758621,880.9137931034483,881.4310344827586,881.5689655172414,882.1034482758621,883.0689655172414,883.051724137931,883.3620689655172,883.5344827586207,883.8965517241379,884.7413793103449,885.3275862068965,885.3620689655172,885.7586206896551,885.7931034482758,886.1034482758621,885.9655172413793,886.4137931034483,886.551724137931,886.5,886.7758620689655,887.1034482758621,887.6379310344828,888.0172413793103,888.1034482758621,888.3275862068965,888.7413793103449,888.8620689655172,889.0689655172414,889.3620689655172,91471.86801426871,114904.37722948872,116079.8335315101,121085.04310344828,131234.96343638524,145865.56510107015,153657.24881093937,160556.82907253268,170564.87752675384,188422.98097502973,194759.9134958383,230578.6007728894,236221.89060642093,251999.40338882283,254371.38317479193,265153.22265160526,267265.9979191439,266545.8718787158,267042.76248513674,274477.4521403091,290351.644470868,294097.0642092747,298949.2559453031,307389.43787158147,316684.8350178359,317505.5755053508,321665.74346016644,341975.3582045185,355243.61028537457,381745.7348394768,389319.9227110583,409420.74791914393,449360.10225921514,457199.86325802613,460162.6266349584,497486.1465517241,514506.20838287746,503168.644470868,509588.6792508918,520436.67211652803,544407.5755053507,576189.8064803805,610714.9503567182,649991.3258026158,667741.5124851367,702916.9551129607
