,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24279,25352,26084,27062,28006,28866,29876,30429,31136,31390,32487,32714,33483,34186,35175,36067,37055,37961,37978,39087,39381,39821,40859,41917,42838,43805,44888,45471,45920,47298,48162,49005,50141,51148,52645,53225,53308,54013,55764,56627,57406,58444,59261,60087,60941,61936,62936,63913,64965,65768,66976,67982,69209,70587,71209,72375,73192,73950,75062
2,54329,24368,25516,26205,27168,28133,29045,30063,30548,31275,31499,32653,32837,33626,34327,35281,36213,37236,38096,38146,39256,39495,39963,41003,42064,43008,43980,45023,45601,46054,47497,48320,49176,50312,51311,52774,53362,53413,54117,55908,56756,57546,58584,59446,60229,61109,62066,63080,64047,65117,65939,67099,68128,69322,70725,71314,72523,73381,74074,75183
3,54319,24444,25635,26349,27293,28219,29175,30198,30636,31384,31617,32751,32974,33747,34432,35372,36319,37380,38224,38262,39426,39599,40077,41148,42180,43119,44081,45190,45706,46143,47637,48473,49285,50408,51436,52900,53485,53537,54250,56033,56842,57653,58734,59592,60394,61257,62162,63169,64171,65247,66083,67233,68271,69452,70833,71430,72636,73503,74188,75350
4,54101,24590,25829,26482,27461,28363,29378,30435,30770,31560,31770,32891,33096,33981,34603,35556,36479,37584,38386,38453,39646,39779,40280,41378,42372,43349,44232,45425,45854,46295,47859,48708,49512,50593,51580,53035,53652,53701,54378,56188,57001,57856,58944,59812,60603,61510,62364,63313,64322,65442,66279,67410,68471,69597,70994,71588,72835,73711,74346,75573
5,66091,24785,26078,26641,27661,28575,29649,30728,30976,31823,31996,33112,33284,34239,34832,35760,36691,37868,38582,38700,39962,40047,40472,41722,42649,43640,44443,45746,46063,46502,48142,49016,49858,50850,51805,53219,53852,53900,54610,56408,57242,58102,59229,60086,60876,61834,62607,63522,64541,65739,66525,67585,68770,69794,71176,71799,73066,74021,74569,75776
6,66031,24898,26237,26747,27767,28704,29772,30932,31126,31975,32131,33267,33408,34412,34971,35908,36835,38032,38734,38856,40167,40184,40609,41906,42799,43828,44599,45927,46201,46650,48327,49193,50051,51040,51929,53366,53996,54070,54701,56506,57377,58231,59431,60275,61022,62044,62738,63660,64705,65921,66681,67753,68958,69926,71324,71937,73223,74155,74688,75919
7,66041,25011,26385,26876,27896,28841,29945,31151,31218,32092,32290,33424,33543,34571,35137,36040,37019,38207,38901,39027,40378,40400,40775,42122,42949,44001,44731,46097,46384,46809,48502,49353,50241,51195,52085,53495,54108,54227,54835,56658,57527,58370,59603,60478,61173,62261,62857,63790,64858,66106,66842,67918,69151,70073,71474,72054,73356,74315,74805,76101
8,66051,25087,26509,26949,27983,28952,30041,31280,31310,32177,32402,33502,33645,34702,35253,36138,37135,38334,39023,39133,40487,40527,40865,42244,43114,44152,44841,46246,46494,46920,48651,49502,50397,51269,52184,53588,54197,54339,54944,56759,57652,58478,59730,60595,61302,62371,63003,63885,64949,66234,66958,68029,69274,70185,71589,72159,73471,74437,74952,76213
9,66379,25191,26655,27085,28107,29072,30208,31419,31470,32316,32506,33597,33755,34831,35377,36258,37235,38510,39157,39233,40643,40666,41016,42424,43298,44282,44973,46414,46605,47022,48832,49678,50582,51388,52290,53686,54304,54473,55066,56939,57775,58596,59891,60786,61425,62551,63155,63973,65094,66392,67123,68155,69444,70299,71695,72260,73566,74593,75081,76376
