,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24330,25379,26153,27072,28046,28864,29854,30492,31144,31375,32519,32766,33485,34185,35189,36105,37097,38017,38090,39043,39412,39902,40890,41944,42834,43899,44932,45561,46014,47368,48166,49017,50250,51297,52849,53302,53368,54174,55897,56712,57515,58457,59320,60170,61013,62019,63072,64013,65043,65826,67123,68033,69261,70666,71269,72426,73193,74014,75090
2,54329,24465,25542,26337,27217,28200,29005,29993,30676,31277,31500,32667,32917,33633,34318,35329,36249,37262,38158,38232,39183,39542,40088,41071,42107,42985,44046,45078,45703,46177,47526,48316,49192,50426,51461,52993,53473,53540,54352,56073,56859,57653,58617,59490,60329,61202,62153,63241,64154,65185,66000,67268,68187,69410,70814,71425,72584,73355,74155,75244
3,54319,24583,25687,26495,27344,28337,29131,30118,30835,31394,31608,32800,33047,33762,34437,35455,36376,37407,38283,38371,39307,39656,40248,41227,42249,43117,44177,45208,45830,46318,47667,48448,49345,50579,51604,53122,53619,53687,54505,56227,56987,57776,58758,59638,60469,61363,62274,63389,64279,65312,66151,67397,68322,69542,70946,71561,72724,73495,74279,75378
4,54101,24785,25898,26740,27527,28533,29312,30292,31081,31563,31767,32985,33248,33950,34603,35631,36557,37620,38461,38595,39485,39824,40500,41466,42461,43312,44420,45449,46015,46535,47867,48642,49576,50808,51813,53298,53844,53915,54736,56454,57174,57950,58962,59861,60674,61613,62441,63606,64455,65490,66380,67576,68518,69727,71129,71764,72927,73704,74456,75571
5,66091,25052,26176,27072,27766,28790,29546,30514,31414,31782,31977,33223,33521,34197,34817,35856,36791,37900,38690,38905,39713,40044,40845,41787,42741,43564,44658,45688,46256,46827,48128,48895,49886,51113,52090,53518,54152,54221,55047,56752,57417,58173,59229,60158,60945,61953,62654,63893,64681,65717,66687,67804,68774,69965,71362,72035,73191,73983,74685,75821
6,66031,25204,26368,27290,27931,28969,29709,30672,31632,31930,32123,33389,33703,34367,34969,36017,36956,38092,38848,39107,39871,40196,41071,42000,42931,43738,44827,45856,46422,47023,48310,49068,50094,51318,52279,53678,54352,54419,55254,56954,57583,58331,59414,60357,61128,62176,62805,64090,64839,65880,66892,67967,68951,70134,71527,72218,73373,74171,74846,75994
7,66041,25356,26562,27508,28096,29148,29872,30831,31851,32076,32268,33556,33884,34536,35121,36179,37122,38285,39005,39311,40028,40347,41298,42211,43120,43912,44998,46023,46588,47219,48491,49242,50303,51523,52467,53837,54550,54619,55461,57156,57749,58489,59601,60556,61312,62400,62956,64288,64997,66043,67100,68130,69130,70303,71692,72400,73554,74358,75006,76166
8,66051,25453,26713,27669,28223,29289,30000,30957,32012,32186,32381,33688,34018,34665,35241,36308,37253,38433,39127,39460,40149,40464,41466,42368,43263,44047,45133,46155,46717,47367,48634,49377,50462,51677,52612,53965,54698,54768,55618,57312,57876,58615,59746,60707,61452,62565,63075,64440,65121,66174,67257,68259,69270,70438,71824,72540,73696,74499,75131,76299
9,66379,25606,26887,27859,28369,29448,30146,31100,32202,32315,32511,33836,34177,34813,35378,36455,37403,38604,39266,39637,40287,40599,41665,42552,43430,44203,45285,46304,46879,47558,48795,49532,50646,51857,52780,54108,54873,54942,55801,57489,58022,58758,59912,60881,61614,62759,63210,64614,65263,66322,67441,68405,69429,70590,71973,72703,73856,74664,75275,76451
10,66359,25703,27039,28020,28496,29587,30273,31227,32362,32424,32626,33966,34311,34941,35500,36586,37535,38753,39388,39787,40408,40716,41836,42709,43574,44339,45420,46435,47008,47709,48935,49668,50806,52011,52926,54235,55020,55151,55958,57642,58150,58883,60056,61031,61753,62924,63327,64767,65388,66452,67599,68533,69570,70727,72105,72844,73997,74805,75401,76583
11,62141,25817,27191,28178,28622,29726,30399,31353,32522,32599,32738,34095,34445,35068,35620,36715,37667,38899,39509,39937,40528,40834,42006,42864,43716,44474,45581,46573,47160,47860,49094,49803,51004,52168,53071,54425,55230,55256,56166,57804,58297,59009,60230,61180,61892,63088,63444,64917,65513,66588,67793,68677,69714,70912,72255,72985,74137,74945,75527,76714
12,62059,25944,27365,28366,28765,29885,30542,31494,32712,32787,32868,34243,34602,35215,35755,36861,37815,39068,39647,40115,40664,40968,42207,43045,43879,44627,45731,46719,47307,48035,49253,49957,51189,52346,53238,54567,55406,55478,56352,57981,58442,59150,60396,61354,62052,63282,63576,65090,65654,66734,67977,68818,69873,71066,72404,73147,74298,75108,75669,76866
13,62049,26085,27541,28551,28907,30044,30685,31635,32900,32978,32996,34390,34760,35361,35890,37007,37963,39237,39784,40292,40798,41102,42408,43226,44042,44779,45881,46865,47452,48209,49411,50111,51375,52523,53404,54709,55582,55655,56535,58157,58586,59292,60561,61526,62212,63476,63707,65261,65792,66881,68160,68959,70033,71220,72551,73308,74459,75271,75811,77017
14,62039,26146,27674,28680,29012,30163,30791,31745,33033,33111,33167,34503,34871,35468,35992,37120,38076,39361,39886,40415,40898,41203,42551,43351,44160,44891,45996,46976,47560,48334,49529,50224,51508,52651,53526,54820,55707,55754,56666,58285,58691,59400,60686,61650,62328,63611,63806,65387,65897,66994,68291,69065,70154,71339,72666,73426,74579,75388,75917,77130
15,62029,26272,27851,28866,29153,30322,30933,31886,33223,33299,33299,34649,35028,35613,36125,37264,38224,39528,40022,40593,41032,41337,42754,43531,44323,45044,46145,47123,47704,48508,49686,50378,51693,52829,53691,54963,55885,55958,56851,58461,58834,59540,60851,61822,62487,63804,63935,65558,66033,67140,68474,69206,70315,71492,72813,73588,74739,75550,76058,77281
16,62019,26331,27986,28995,29257,30441,31039,31996,33356,33384,33440,34760,35138,35719,36226,37376,38336,39652,40123,40717,41130,41438,42897,43656,44441,45157,46260,47235,47811,48634,49804,50493,51827,52957,53812,55074,56010,56054,56982,58588,58939,59649,60976,61946,62603,63938,64033,65684,66136,67254,68606,69313,70436,71610,72928,73706,74858,75667,76163,77394
17,70309,26422,28143,29152,29378,30579,31164,32121,33517,33595,33651,34887,35273,35846,36344,37506,38466,39798,40241,40869,41245,41555,43071,43809,44583,45289,46392,47364,47939,48784,49941,50626,51987,53109,53954,55200,56163,56169,57140,58739,59062,59775,61122,62094,62741,64101,64145,65833,66256,67385,68764,69436,70577,71746,73059,73846,74999,75807,76284,77527
18,70299,26485,28278,29280,29481,30698,31271,32232,33651,33730,33786,34996,35385,35953,36446,37619,38580,39921,40342,40994,41343,41657,43216,43934,44702,45403,46506,47476,48048,48909,50059,50741,52123,53236,54074,55312,56287,56361,57271,58867,59167,59884,61248,62217,62857,64236,64314,65958,66359,67499,68898,69542,70700,71864,73173,73964,75119,75923,76390,77641
19,70289,26594,28436,29438,29601,30834,31396,32358,33815,33895,33904,35123,35519,36080,36564,37749,38710,40068,40460,41148,41458,41775,43392,44086,44842,45534,46639,47606,48176,49060,50196,50874,52284,53388,54217,55438,56440,56515,57428,59018,59290,60009,61396,62365,62996,64400,64480,66110,66479,67631,69057,69665,70843,72000,73306,74105,75258,76062,76513,77774
20,70279,26742,28639,29652,29757,31011,31556,32516,34037,34038,34118,35285,35700,36244,36713,37912,38875,40259,40613,41356,41606,41928,43629,44292,45028,45705,46807,47770,48340,49260,50373,51047,52498,53589,54402,55596,56646,56722,57639,59217,59450,60166,61587,62562,63179,64624,64703,66304,66632,67795,69267,69820,71027,72169,73472,74289,75438,76246,76671,77946
21,70269,26833,28798,29808,29880,31148,31680,32643,34202,34283,34283,35411,35835,36370,36830,38043,39005,40405,40730,41509,41719,42047,43807,44442,45168,45837,46940,47901,48468,49412,50510,51181,52660,53740,54544,55723,56801,56832,57795,59369,59571,60292,61735,62710,63317,64790,64870,66451,66751,67928,69426,69941,71172,72305,73605,74430,75579,76385,76793,78081
22,71161,26936,28958,29964,30036,31285,31803,32772,34367,34450,34505,35537,35969,36495,36947,38175,39136,40553,40847,41664,41832,42166,43985,44592,45309,45968,47073,48030,48596,49564,50648,51314,52823,53892,54685,55850,56956,57033,57952,59520,59692,60419,61884,62859,63455,64956,65037,66599,66869,68062,69586,70062,71315,72440,73738,74572,75719,76524,76916,78216
23,71151,27030,29118,30120,30192,31422,31925,32901,34534,34617,34672,35663,36103,36620,37063,38306,39266,40702,40964,41819,41945,42286,44164,44742,45448,46100,47207,48159,48723,49717,50785,51448,52987,54044,54827,55978,57111,57190,58109,59671,59814,60545,62034,63008,63593,65123,65204,66745,66987,68194,69747,70183,71460,72576,73871,74714,75860,76663,77037,78351
24,71141,27120,29279,30276,30348,31557,32047,33029,34702,34722,34807,35789,36237,36745,37180,38439,39398,40850,41081,41975,42056,42404,44343,44892,45589,46233,47340,48290,48853,49870,50923,51583,53151,54196,54969,56105,57269,57306,58266,59821,59937,60671,62185,63158,63731,65290,65372,66892,67104,68326,69909,70303,71606,72712,74004,74856,76001,76803,77158,78486
25,71121,27217,29441,30433,30476,31692,32170,33159,34870,34953,34953,35914,36373,36870,37298,38572,39528,40998,41196,42130,42203,42522,44522,45043,45730,46367,47473,48420,48983,50024,51062,51718,53316,54348,55110,56234,57427,57507,58424,59973,60058,60797,62336,63307,63870,65458,65540,67039,67221,68460,70070,70422,71752,72847,74139,74998,76142,76943,77278,78622
