,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean54009,headway_mean54339,headway_mean54329,headway_mean54319,headway_mean54101,headway_mean66091,headway_mean66031,headway_mean66041,headway_mean66051,headway_mean66379,headway_mean66359,headway_mean62141,headway_mean62059,headway_mean62049,headway_mean62039,headway_mean62029,headway_mean62019,headway_mean70309,headway_mean70299,headway_mean70289,headway_mean70279,headway_mean70269,headway_mean71161,headway_mean71151,headway_mean71141,headway_mean71121,headway_mean71131,headway_mean71091,headway_mean72021,headway_mean72061,headway_mean72071,headway_mean84499,headway_mean84489,headway_mean84461,headway_mean84471,headway_mean84621,headway_mean84611,headway_mean84631,headway_mean84601,headway_mean75341,headway_mean75061,headway_mean76289,headway_mean76129,headway_mean76119,headway_mean76051,headway_mean75009,headway_var54009,headway_var54339,headway_var54329,headway_var54319,headway_var54101,headway_var66091,headway_var66031,headway_var66041,headway_var66051,headway_var66379,headway_var66359,headway_var62141,headway_var62059,headway_var62049,headway_var62039,headway_var62029,headway_var62019,headway_var70309,headway_var70299,headway_var70289,headway_var70279,headway_var70269,headway_var71161,headway_var71151,headway_var71141,headway_var71121,headway_var71131,headway_var71091,headway_var72021,headway_var72061,headway_var72071,headway_var84499,headway_var84489,headway_var84461,headway_var84471,headway_var84621,headway_var84611,headway_var84631,headway_var84601,headway_var75341,headway_var75061,headway_var76289,headway_var76129,headway_var76119,headway_var76051,headway_var75009
0,2052,1.2013264497121174,4.511202732721965,-1.9323812,-1.8818493340355178,-0.050531793,44.150643228518234,0.255055,704.0564477659406,1891.4417236444585,1452.622674511051,12.621757193156391,874.551724137931,876.0172413793103,877.1034482758621,878.0344827586207,879.2068965517242,881.0344827586207,882.3965517241379,883.6551724137931,884.7241379310345,885.8103448275862,886.9310344827586,888.0,889.2758620689655,890.4137931034483,891.4310344827586,892.7413793103449,893.7758620689655,894.9137931034483,896.0,897.0172413793103,898.4827586206897,899.6896551724138,900.6896551724138,901.8448275862069,903.0344827586207,904.3103448275862,905.551724137931,907.0689655172414,908.2931034482758,909.7241379310345,910.8103448275862,912.2068965517242,913.7586206896551,915.0172413793103,916.3793103448276,917.3793103448276,918.8620689655172,920.1896551724138,921.5172413793103,923.0344827586207,924.4655172413793,926.3965517241379,927.3448275862069,928.6379310344828,929.8448275862069,931.6379310344828,91471.86801426871,101009.49970273486,106203.50653983353,112304.30915576695,123103.06064209277,144134.51605231865,161239.13585017837,181037.67419738407,197192.5101070155,216214.15368608802,236699.2366230678,257683.75862068965,285138.68252080854,314002.31153388816,338365.3142092748,366208.3641498216,389939.2083828776,416819.28567181923,439040.2068965517,464290.98246135557,495808.38763376937,531280.0416171225,550661.1105826397,583531.7173008323,607468.5160523189,630335.3864447087,661753.8335315101,702862.9952437575,736209.3451248514,774232.9239001189,800775.9123067777,815719.5434007136,856909.7003567182,879957.7065992866,917348.2354340071,942938.4423305589,972929.0499405471,994546.5329964326,1020827.6634958384,1030767.5160523186,1060058.73156956,1084573.1358501783,1101718.5017835908,1138224.4378715814,1159931.7173008323,1215043.4378715812
0,4942,1.2177356481552124,2.349645435810089,-2.9983575,-2.9584612391297553,-0.039896317,34.31847407700125,0.1942929,762.1172039771016,1902.952395299789,1533.7008134980415,15.397325844291792,874.551724137931,874.5,874.3965517241379,874.6724137931035,874.1724137931035,873.3793103448276,873.3965517241379,873.2586206896551,873.448275862069,873.2413793103449,873.4310344827586,873.4655172413793,873.3103448275862,873.2413793103449,873.5,873.3448275862069,873.6379310344828,873.6896551724138,873.9655172413793,873.8965517241379,873.4827586206897,873.4655172413793,873.3620689655172,873.2586206896551,873.2413793103449,873.1896551724138,873.1724137931035,872.3965517241379,871.9827586206897,871.4655172413793,871.7931034482758,873.3448275862069,873.8965517241379,875.0862068965517,876.3620689655172,877.4310344827586,878.5862068965517,880.3103448275862,881.1034482758621,882.3448275862069,883.8620689655172,884.551724137931,885.9827586206897,886.4655172413793,887.7068965517242,887.8793103448276,91471.86801426871,96869.66379310345,101493.79102259217,109016.11682520807,114450.59096313911,131157.99405469678,147494.30826397147,171197.74346016647,195526.90249702736,229978.94173602853,262999.79696789535,302348.90398335323,354644.28299643286,405303.1486325803,452892.8362068966,512234.5362663496,538318.299940547,582688.5588585017,621978.1712247323,647479.0927467301,692125.3531510107,733569.3522592151,773607.8516646848,804370.6744946493,838714.527942925,888888.6709274672,910930.5219976219,969572.9289536267,1013110.0514268726,1066704.835017836,1118470.0606420927,1171839.01902497,1216444.2651605234,1279457.2856718192,1353510.6792508916,1412739.4521403091,1479524.9322235433,1529002.3174791913,1570500.5410225922,1615181.2604042804,1677013.2568370989,1702023.9714625445,1726668.4997027346,1758850.5246730081,1782263.9658145064,1883786.7268133177
0,3738,1.5016681750615437,2.755158464113871,-3.0988832,-3.055642028208552,-0.04324104,37.48200213812517,0.18199019,872.9668514064624,1916.454041618739,1691.387953571055,19.02282005181519,874.551724137931,876.7586206896551,877.8965517241379,878.8793103448276,880.3793103448276,882.3275862068965,883.7586206896551,885.3620689655172,886.7931034482758,887.9310344827586,889.1551724137931,890.3620689655172,891.7931034482758,893.0862068965517,894.2241379310345,895.5862068965517,896.7931034482758,898.1034482758621,899.3275862068965,900.3275862068965,901.7758620689655,903.0862068965517,904.1724137931035,905.3620689655172,906.5862068965517,907.8275862068965,909.1551724137931,910.5172413793103,911.8275862068965,913.0689655172414,914.0862068965517,915.3448275862069,916.5,917.5862068965517,918.6896551724138,919.5862068965517,920.6206896551724,921.5,922.3103448275862,923.3448275862069,924.3103448275862,925.5,925.9137931034483,926.4310344827586,927.0689655172414,928.1206896551724,91471.86801426871,99302.66587395956,105951.644470868,114852.86474435196,129738.78715814506,155895.4961355529,180429.07966706305,209031.5413198573,228127.06064209275,257525.13317479187,285039.75178359094,329544.9895957194,375025.4399524376,416355.28567181935,451032.6566587396,500206.6563614745,547397.3365041618,603052.920332937,648620.5995838287,696267.5306183115,764843.1394173602,810825.0442925091,859364.4530321046,910394.2654577884,965623.2080856125,1013968.590963139,1046687.8207491081,1128039.5600475625,1185748.31510107,1258646.374554102,1285033.596016647,1352906.7431629011,1433584.698275862,1497840.5529131987,1568093.4209274673,1649677.1736028537,1713341.614744352,1776737.8706896552,1827162.9036860883,1879420.8810939356,1934518.9726516055,1955032.353448276,1985748.664982164,2055414.1073127233,2103303.0642092745,2229827.2440546965
0,3564,1.537204662958781,3.2039918899536133,-2.637319,-2.600175484147967,-0.037143722,31.9586578557486,0.10696152,826.8769478774852,1783.2474476088125,1477.6308436324557,18.938815304359494,874.551724137931,875.0344827586207,875.6896551724138,876.3620689655172,876.7758620689655,877.1551724137931,877.7586206896551,878.2758620689655,878.9137931034483,879.2931034482758,879.9827586206897,880.5689655172414,881.2068965517242,881.7758620689655,882.5689655172414,883.2413793103449,884.0344827586207,884.8103448275862,885.6206896551724,886.1724137931035,886.8103448275862,887.5689655172414,888.3103448275862,888.948275862069,889.6896551724138,890.4310344827586,891.2241379310345,891.6724137931035,892.3103448275862,892.8275862068965,893.3620689655172,893.8965517241379,894.2586206896551,894.7586206896551,895.2413793103449,895.3793103448276,895.8793103448276,896.5862068965517,897.1896551724138,897.7586206896551,898.6034482758621,899.448275862069,900.1896551724138,901.0689655172414,902.1379310344828,903.051724137931,91471.86801426871,100169.8953626635,108067.04161712248,118846.54131985731,132985.38079667062,156864.26902497027,181923.90725326995,212286.64803804993,236601.5270511296,268997.7244351962,298316.0169441141,340621.10731272295,381684.6123662306,425892.6911414982,454342.62455410237,495851.76932223537,533057.3436385255,567644.981272295,597777.5802615932,638763.1426872772,692363.5674791915,730393.4866230676,761636.7657550535,801279.4973246135,839568.7657550534,883053.7280023781,922863.7945897741,990677.8064803806,1028702.2140309155,1085020.5909631387,1120242.024078478,1177830.0582639715,1238266.8469084424,1297139.114149822,1338373.1141498215,1379171.2009512486,1421503.3475029727,1458234.0011890607,1501253.119203329,1542386.5969084424,1596127.4117122472,1655257.143876338,1705739.670927467,1772434.5469678955,1823818.6361474437,1961651.9456004757
0,1071,2.458441416422526,1.9128199815750122,-1.1642231,-1.141300159037292,-0.022922803,18.4601741107668,-0.06954894,680.9806077263704,1487.2658421132996,1080.5371049015116,14.497347868912488,874.551724137931,876.5689655172414,876.9827586206897,877.1379310344828,877.7068965517242,878.7413793103449,879.2931034482758,880.0,880.5,880.3965517241379,880.8448275862069,881.0,881.5344827586207,882.1034482758621,882.5689655172414,882.948275862069,883.4310344827586,883.9827586206897,884.4655172413793,884.7068965517242,885.4310344827586,885.9655172413793,886.3793103448276,886.8793103448276,887.2586206896551,887.8793103448276,888.4827586206897,889.1551724137931,889.6379310344828,890.3275862068965,890.6206896551724,891.2586206896551,891.7068965517242,892.2586206896551,892.9655172413793,893.1551724137931,893.8793103448276,894.448275862069,894.9655172413793,895.6896551724138,896.3275862068965,897.3793103448276,897.3275862068965,897.6724137931035,898.2068965517242,899.2413793103449,91471.86801426871,108798.27972651605,115503.63763376932,121536.08442330558,140570.7589179548,158173.19173602856,168322.5865041617,178456.41379310345,185667.00862068965,203829.30826397147,211241.78626634955,243857.58620689655,249109.1453626635,264590.7479191439,262206.83145065396,273097.3593935791,268603.00386444706,270233.4997027348,267828.3522592152,277602.6209869203,292174.1762782402,298759.757431629,302391.063020214,312255.4509512485,316859.1917360285,322723.20957193815,324795.00832342444,351837.95868014276,368736.61028537457,390316.6340665874,400137.95957193815,428946.4331153389,464336.0002972652,473180.7089774079,484013.2746730083,519977.5104042807,536319.8992271107,534678.8335315102,536711.585017836,550845.6967895362,574488.0823424495,607631.2699167659,631221.7030321048,674360.9788941736,681561.2330558859,719586.8727705114
0,23,1.9566415150960286,1.8460265795389812,-0.65495414,-0.6285342808642097,-0.026419885,21.92217469373519,-0.131,539.7972626176219,1446.8367835757058,881.407869974337,7.4240422420285395,874.551724137931,876.0689655172414,877.051724137931,877.5689655172414,879.0,880.9137931034483,881.9310344827586,883.0344827586207,883.9655172413793,884.6206896551724,885.0862068965517,885.8793103448276,886.6379310344828,887.551724137931,887.9137931034483,888.6206896551724,889.0344827586207,889.6551724137931,890.0,890.4655172413793,891.448275862069,892.051724137931,892.6551724137931,893.2413793103449,893.8965517241379,894.5344827586207,895.1551724137931,896.448275862069,897.1206896551724,898.2413793103449,898.448275862069,899.551724137931,900.8965517241379,901.6034482758621,902.4655172413793,903.3275862068965,904.1206896551724,904.6206896551724,905.051724137931,905.8448275862069,906.6724137931035,908.1034482758621,908.6724137931035,909.3448275862069,909.8275862068965,911.051724137931,91471.86801426871,103371.20214030916,108114.63525564804,112612.76248513674,122380.62068965517,136966.21670630202,144167.9607609988,152296.79191438764,154521.7229488704,164162.5457788347,166927.87187871578,176013.55439952432,180439.16200951248,185756.0404280618,181874.32015457784,186743.06302021403,182973.5505350773,182938.63971462546,178850.93103448275,182226.8695005945,192471.55766944113,194000.7042211653,195846.50178359097,199040.63139120094,200368.23067776457,202540.86950059453,203421.75178359097,219795.04042806185,226023.41646848986,236727.73483947682,237935.35077288942,251372.661117717,272022.7134363852,277621.79102259217,283246.52467300836,294804.3582045184,301124.6578478002,294653.64922711055,291527.2904280618,297761.20005945297,308112.4961355528,331527.4720570749,345515.04785969085,356787.5362663495,358262.69441141497,379594.3249108204
0,215,1.8339214324951172,2.634600520133972,-0.86844015,-0.8478893434569947,-0.020550927,16.944672422542585,-0.10205415,576.9754538718043,1337.915246387551,899.4487773249351,13.28225060958724,874.551724137931,876.6206896551724,877.1724137931035,877.1379310344828,877.8275862068965,879.1034482758621,879.7068965517242,880.3965517241379,880.4827586206897,880.9827586206897,881.3620689655172,881.7241379310345,882.3793103448276,882.8448275862069,883.1724137931035,883.7586206896551,884.1724137931035,884.7413793103449,885.1896551724138,885.5,886.2586206896551,886.7068965517242,887.1034482758621,887.5689655172414,888.0344827586207,888.551724137931,889.1034482758621,889.8620689655172,890.3965517241379,891.0,891.3448275862069,892.0344827586207,892.5689655172414,893.1379310344828,893.7586206896551,893.8793103448276,894.448275862069,894.8448275862069,895.1724137931035,895.8275862068965,896.2758620689655,897.3103448275862,897.2758620689655,897.5172413793103,897.8275862068965,898.5862068965517,91471.86801426871,107705.44233055884,110282.8668252081,114547.25683709868,124864.694411415,132266.36860879906,137727.79340071345,143973.61860879906,148340.87039239003,165671.2928061831,172213.05856123663,196305.37217598097,200087.75267538644,209189.54488703926,210313.31510107013,217016.803804994,215418.1426872771,216951.6400118906,216455.67092746726,223891.18103448275,233348.8124256837,236116.103745541,240897.74791914388,246211.3142092747,250402.48156956004,254288.0059453032,255552.64447086802,272621.80856123666,281780.3772294887,296359.5862068966,311542.2948870392,333640.8608799049,369641.17627824016,377669.01545778837,384849.45897740783,411023.8992271106,425586.28180737223,422253.9586801427,424009.07372175984,428038.2806183115,447716.268727705,466383.86920332944,484775.54458977404,516083.9738406658,525253.7633769321,545954.0701545778
0,701,1.9701602856318157,1.8970146576563518,-1.3170865,-1.2947779019197296,-0.022308405,19.18442402012487,-0.11082701,767.9410364526659,1488.7394586507073,1154.9194096844396,15.841676614893148,874.551724137931,875.9655172413793,876.1551724137931,876.3275862068965,876.3448275862069,877.0689655172414,877.551724137931,878.0172413793103,878.3793103448276,878.1034482758621,878.4310344827586,878.448275862069,878.9137931034483,878.9137931034483,879.3620689655172,879.6379310344828,880.0862068965517,880.448275862069,880.8448275862069,881.1724137931035,881.7758620689655,882.2586206896551,882.5689655172414,883.0,883.5,883.8965517241379,884.4310344827586,884.948275862069,885.3965517241379,886.0172413793103,886.3965517241379,886.948275862069,886.8965517241379,887.3965517241379,887.9655172413793,887.8103448275862,888.0689655172414,888.551724137931,889.0689655172414,889.5862068965517,890.5689655172414,891.7758620689655,892.0,892.2586206896551,892.9310344827586,894.0689655172414,91471.86801426871,112735.68846611178,117416.13109393578,120541.59958382876,135563.81212841853,149307.06420927466,158998.38525564803,169899.29280618308,177521.13198573125,197485.60998810938,212160.62455410225,253855.6956004756,267765.2167063021,286950.3891200952,293403.26545778837,308862.4378715815,313432.83739595726,324472.73008323426,329306.78626634966,340268.97027348395,357194.0014863258,367483.8469084423,372509.279726516,387921.4482758621,394612.6637931034,401551.0582639714,408057.72800237813,426558.98008323426,442188.51516052324,448861.8445303211,454907.03240190254,461643.5662901308,491623.02378121286,499712.5496432818,502428.8953626635,535014.877824019,538679.0642092746,536607.488703924,536750.2021403091,537700.3115338883,551341.0728299643,552840.346313912,572133.0344827586,610083.2951843044,613666.0297265162,633201.0297265161
0,657,2.3994921843210855,1.8617183367411296,-1.3093079,-1.259545230621763,-0.04976268,43.0033466645524,-0.24842717,648.8467278497299,1662.0685307487777,1271.2331246247534,14.391453113506511,874.551724137931,875.948275862069,876.3103448275862,876.8103448275862,876.9310344827586,877.3965517241379,877.8965517241379,878.3275862068965,878.551724137931,878.5,879.1551724137931,879.2413793103449,879.8275862068965,880.2931034482758,880.948275862069,881.3620689655172,882.0,882.6206896551724,883.3448275862069,883.5,884.0,884.551724137931,885.0172413793103,885.6379310344828,886.1551724137931,886.7758620689655,887.448275862069,887.948275862069,888.3965517241379,888.8275862068965,889.3275862068965,889.7758620689655,889.7931034482758,890.3620689655172,890.9137931034483,891.051724137931,891.5172413793103,892.1724137931035,892.7931034482758,893.3448275862069,893.6896551724138,894.1551724137931,894.051724137931,893.7241379310345,894.2413793103449,894.7931034482758,91471.86801426871,107645.4283590963,108353.5933412604,109944.9812722949,115091.96076099882,126362.99791914389,135569.71343638524,147139.944411415,155252.59215219977,171176.31896551725,182110.7173008323,214860.7003567182,230340.10820451844,247165.17271105826,255056.7042211653,270893.1964922711,279763.275862069,294017.68370986916,304012.67419738404,318112.5948275862,346297.8275862069,363337.7300832342,381670.43073721766,397962.9551129608,411700.06212841853,428771.070451843,441189.1093935791,474068.98008323426,496673.2048156956,519430.5909631391,539387.0823424495,555845.5187277051,583908.5778834721,592933.5413198572,594705.1132580261,631809.186979786,638244.4910820452,642934.9357907253,648528.4054696788,661893.77764566,673033.9036860879,692832.8552318669,720184.6697384067,739437.3032104637,745310.2865636147,778506.5778834721
0,214,2.7499138514200845,1.1659141580263774,-1.1361895,-1.0695893006098875,-0.0666002,57.5111989054332,-0.332238,591.8838179364495,1916.5814010550853,1384.5682738314317,11.587710238662794,874.551724137931,876.551724137931,877.948275862069,879.2068965517242,881.0689655172414,883.5862068965517,885.3793103448276,887.2413793103449,888.7068965517242,890.2241379310345,891.4827586206897,892.8793103448276,894.4655172413793,895.9827586206897,897.2931034482758,898.8448275862069,900.2068965517242,901.7413793103449,903.0862068965517,904.5344827586207,906.2931034482758,907.6896551724138,909.1034482758621,910.4827586206897,911.9310344827586,913.1896551724138,914.6724137931035,916.5862068965517,918.1724137931035,919.8448275862069,921.051724137931,922.7931034482758,924.7068965517242,926.3448275862069,927.9827586206897,929.3448275862069,930.8965517241379,932.2241379310345,933.5,935.1034482758621,936.6034482758621,938.7931034482758,939.8103448275862,941.1551724137931,942.3793103448276,944.4137931034483,91471.86801426871,103852.90249702736,103959.49732461355,105689.75029726516,111148.37455410227,123224.38049940545,132463.71819262783,141791.63139120096,148389.93133174794,157627.27734839477,165626.07728894174,179960.27853745542,193801.69708680143,205314.08590963137,211410.62098692034,224981.51040428062,232821.9571938169,244413.43311533888,253067.83739595718,265349.9039833531,286588.37960761,300895.1795481569,314469.4720570749,329709.66349583823,344989.68489892985,360983.5674791914,377668.4961355529,406241.5529131986,426460.69441141497,444381.68281807366,456062.3938763376,478244.43995243753,497389.06926278234,515024.9155766944,533185.6376337693,549943.0190249702,566862.5410225922,576068.6566587397,588477.4224137932,599752.1272294886,608769.8255053507,627681.8192627823,638960.3260998812,654228.8897146255,661458.4423305589,693003.1046373365
