,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24315,25366,26117,27123,28039,28893,29885,30503,31135,31405,32489,32749,33518,34221,35241,36106,37022,37961,37987,39119,39398,39809,40858,41902,42859,43869,44890,45481,45972,47316,48135,48937,50174,51201,52808,53241,53344,54084,55852,56724,57448,58418,59333,60100,60926,62006,63006,63964,65001,65793,67130,68009,69266,70616,71227,72469,73185,73966,75054
2,54329,24443,25488,26261,27366,28239,29087,30048,30686,31279,31575,32663,32941,33706,34410,35442,36233,37141,38083,38177,39332,39561,39944,41045,42052,43061,44034,45038,45649,46135,47502,48275,49054,50318,51355,52977,53379,53515,54218,56009,56883,57563,58570,59527,60272,61062,62158,63160,64137,65132,65943,67288,68166,69439,70749,71383,72643,73346,74111,75186
3,54319,24544,25638,26414,27542,28378,29248,30208,30840,31398,31730,32808,33056,33891,34541,35616,36369,37264,38208,38305,39513,39693,40071,41209,42178,43255,44152,45204,45808,46280,47666,48377,49164,50429,51468,53097,53545,53670,54351,56174,57049,57679,58726,59667,60406,61175,62304,63298,64307,65269,66082,67458,68327,69602,70865,71562,72798,73480,74254,75312
4,54101,24730,25820,26646,27784,28609,29487,30485,31130,31599,31921,33016,33281,34151,34776,35839,36551,37448,38360,38514,39752,39886,40236,41424,42377,43514,44373,45430,45975,46484,47899,48557,49344,50607,51659,53305,53711,53879,54554,56393,57242,57864,58949,59914,60623,61356,62486,63488,64544,65468,66293,67673,68556,69822,71054,71763,73005,73695,74428,75510
5,66091,24978,26083,26880,28136,28896,29826,30849,31441,31820,32189,33255,33574,34471,35029,36156,36763,37685,38563,38774,40061,40136,40460,41692,42586,43887,44642,45653,46216,46750,48173,48808,49574,50845,51892,53595,53937,54152,54784,56708,57503,58064,59238,60238,60859,61625,62728,63699,64864,65717,66567,67957,68830,70121,71268,72004,73318,73987,74687,75759
6,66031,25116,26304,27055,28365,29103,30033,31063,31677,32000,32362,33437,33789,34682,35224,36361,36925,37828,38742,38966,40278,40360,40603,41891,42740,44111,44811,45844,46409,46907,48381,49001,49736,51031,52030,53789,54120,54350,54947,56905,57685,58229,59447,60465,61049,61774,62914,63865,65061,65884,66725,68153,69040,70327,71415,72152,73504,74232,74883,75934
7,66041,25257,26479,27221,28594,29292,30268,31298,31914,32156,32559,33586,33987,34900,35427,36594,37074,37984,38921,39169,40502,40581,40758,42088,42896,44347,44999,45997,46581,47143,48588,49152,49863,51197,52183,53941,54289,54582,55101,57107,57888,58396,59616,60682,61212,61918,63108,64051,65266,66041,66953,68336,69241,70541,71605,72313,73716,74435,75061,76119
8,66051,25367,26607,27381,28753,29462,30438,31470,32094,32305,32732,33754,34140,35080,35591,36761,37190,38131,39046,39330,40666,40740,40890,42196,43048,44516,45182,46140,46740,47252,48745,49268,49986,51354,52323,54084,54437,54725,55236,57281,58037,58508,59757,60885,61332,62025,63225,64169,65433,66193,67125,68488,69414,70696,71720,72461,73877,74579,75167,76277
9,66379,25540,26748,27528,28931,29683,30663,31651,32285,32467,32908,33917,34300,35229,35769,36935,37335,38263,39163,39485,40868,40963,41042,42362,43229,44742,45367,46297,46854,47441,48904,49437,50131,51525,52466,54263,54573,54901,55393,57454,58182,58670,59944,61076,61450,62202,63403,64310,65605,66301,67250,68654,69573,70885,71892,72637,74042,74764,75312,76400
10,66359,25626,26908,27704,29098,29844,30816,31818,32438,32605,33030,34015,34449,35389,35941,37081,37475,38408,39300,39615,41048,41094,41178,42501,43338,44909,45480,46432,46979,47571,49069,49594,50237,51641,52600,54411,54741,55081,55543,57622,58327,58806,60129,61223,61575,62308,63532,64450,65798,66431,67390,68805,69731,71035,71999,72755,74219,74931,75426,76549
11,62141,25747,27066,27855,29278,30006,31014,31993,32621,32723,33193,34131,34619,35583,36095,37251,37594,38518,39408,39750,41202,41269,41368,42644,43477,45088,45628,46594,47132,47737,49243,49736,50373,51798,52769,54632,54834,55237,55671,57803,58464,58936,60290,61385,61722,62428,63662,64577,65968,66599,67526,68974,69893,71164,72113,72901,74386,75103,75551,76699
12,62059,25860,27210,28015,29480,30170,31206,32165,32838,32939,33350,34271,34796,35773,36251,37448,37713,38678,39560,39923,41382,41464,41553,42804,43642,45299,45817,46785,47277,47921,49425,49881,50544,51967,52925,54814,54965,55406,55836,57979,58602,59105,60494,61599,61895,62606,63825,64723,66147,66732,67687,69142,70033,71343,72262,73048,74555,75295,75687,76816
13,62049,25991,27351,28172,29641,30349,31396,32349,33054,33115,33515,34400,34979,35943,36445,37584,37883,38822,39711,40090,41591,41675,41718,42996,43780,45535,45978,46986,47424,48100,49588,50036,50689,52106,53104,54958,55125,55590,55986,58156,58740,59205,60712,61803,62057,62779,63985,64860,66307,66869,67879,69306,70230,71496,72405,73213,74739,75459,75856,76974
14,62039,26052,27451,28333,29775,30490,31505,32495,33172,33240,33638,34507,35087,36084,36582,37719,37985,38947,39852,40206,41730,41844,41853,43086,43867,45663,46076,47122,47489,48263,49692,50159,50839,52210,53200,55077,55246,55704,56087,58287,58859,59310,60861,61961,62183,62871,64111,64995,66420,67020,67972,69436,70359,71610,72527,73329,74851,75570,75965,77099
15,62029,26180,27625,28505,29962,30651,31673,32698,33357,33484,33799,34629,35279,36283,36753,37876,38133,39100,39988,40367,41919,42019,42122,43271,43998,45832,46261,47298,47657,48427,49877,50307,50970,52350,53325,55246,55386,55862,56241,58456,59026,59469,61080,62153,62324,62989,64257,65153,66624,67135,68149,69551,70546,71772,72681,73480,75041,75778,76112,77268
16,62019,26239,27768,28649,30111,30766,31803,32827,33541,33635,33940,34743,35388,36387,36892,38016,38234,39222,40121,40487,42076,42158,42274,43394,44114,45950,46378,47400,47768,48547,50012,50411,51072,52448,53458,55338,55526,55961,56353,58572,59146,59588,61224,62297,62460,63106,64391,65272,66747,67250,68279,69677,70686,71882,72825,73630,75161,75908,76218,77390
17,70309,26328,27935,28793,30245,30919,31950,32939,33720,33822,34096,34863,35560,36547,37027,38147,38345,39346,40249,40639,42216,42328,42434,43539,44267,46096,46500,47549,47923,48699,50179,50570,51197,52580,53597,55494,55643,56115,56500,58711,59273,59741,61370,62472,62600,63248,64523,65444,66895,67381,68433,69827,70860,72028,72976,73794,75307,76096,76323,77536
18,70299,26385,28077,28906,30388,30999,32100,33061,33879,33919,34244,34986,35694,36646,37159,38274,38475,39460,40342,40760,42368,42475,42537,43721,44369,46262,46602,47682,48032,48808,50290,50687,51319,52705,53689,55613,55774,56245,56637,58848,59411,59895,61484,62597,62737,63358,64644,65560,67040,67484,68536,69982,70961,72173,73097,73900,75447,76229,76443,77639
19,70289,26489,28238,29045,30538,31149,32271,33266,34058,34173,34400,35108,35827,36756,37297,38426,38610,39562,40471,40930,42540,42671,42733,43860,44491,46437,46738,47776,48157,48968,50451,50790,51443,52832,53810,55734,55923,56370,56784,59027,59533,60043,61652,62739,62864,63481,64776,65714,67188,67630,68702,70144,71100,72342,73270,74047,75606,76392,76535,77768
20,70279,26633,28400,29246,30755,31336,32474,33483,34317,34426,34592,35243,35998,36985,37516,38657,38745,39722,40640,41089,42813,42898,42917,44072,44681,46664,46919,47965,48350,49174,50620,50941,51588,53018,53979,55937,56080,56566,56943,59237,59680,60191,61830,62965,63039,63639,64949,65867,67356,67793,68863,70325,71284,72530,73432,74201,75799,76603,76713,77960
21,70269,26715,28525,29405,30905,31477,32618,33664,34512,34628,34764,35383,36135,37147,37660,38787,38900,39848,40757,41223,42983,43075,43101,44203,44813,46819,47047,48122,48485,49333,50749,51050,51732,53145,54097,56111,56192,56726,57089,59360,59847,60292,61963,63118,63205,63750,65092,66038,67542,67928,69016,70482,71460,72706,73586,74323,75943,76757,76871,78097
22,71161,26804,28648,29554,31069,31612,32783,33864,34664,34814,34921,35514,36283,37311,37809,38969,39027,39960,40876,41359,43130,43216,43308,44349,44939,46989,47196,48257,48637,49499,50900,51174,51871,53276,54239,56221,56334,56894,57191,59500,59980,60390,62124,63289,63366,63865,65221,66200,67670,68066,69157,70633,71625,72846,73695,74473,76125,76940,77044,78249
23,71151,26890,28780,29687,31219,31757,32962,34068,34809,34974,35080,35660,36443,37494,37960,39104,39142,40078,40997,41511,43300,43376,43453,44507,45060,47193,47317,48431,48799,49646,51078,51326,51963,53405,54328,56372,56463,57066,57351,59653,60120,60517,62260,63449,63528,64011,65347,66319,67799,68226,69277,70783,71778,72971,73794,74627,76265,77101,77205,78404
24,71141,26976,28944,29825,31396,31923,33115,34220,34959,35112,35211,35788,36579,37680,38125,39247,39355,40234,41108,41626,43446,43526,43588,44637,45174,47329,47446,48567,48930,49803,51231,51478,52112,53509,54478,56505,56590,57220,57477,59789,60263,60638,62399,63611,63712,64130,65500,66459,67952,68355,69433,70926,71948,73140,73920,74790,76435,77274,77358,78532
25,71121,27062,29080,29964,31554,32084,33301,34389,35136,35238,35338,35941,36736,37818,38266,39430,39540,40367,41224,41766,43611,43672,43734,44761,45289,47488,47597,48741,49061,49979,51397,51590,52270,53668,54624,56652,56760,57354,57604,59954,60408,60773,62550,63795,63864,64292,65657,66622,68100,68481,69576,71088,72114,73283,74047,74937,76634,77428,77506,78672
26,71131,27144,29235,30089,31723,32217,33477,34557,35296,35403,35499,36061,36855,37969,38425,39614,39684,40460,41378,41905,43756,43821,43851,44910,45400,47654,47768,48888,49196,50132,51546,51709,52398,53788,54739,56827,56915,57507,57735,60126,60552,60895,62685,63947,64038,64402,65784,66752,68261,68608,69698,71221,72260,73436,74180,75077,76800,77575,77698,78814
27,71091,27315,29463,30308,31998,32472,33717,34812,35562,35678,35723,36230,37077,38232,38626,39864,39931,40640,41573,42131,43992,44073,44144,45097,45536,47889,47992,49110,49376,50328,51758,51901,52545,53963,54929,57054,57138,57711,57939,60338,60748,61072,62885,64205,64229,64596,65995,66937,68499,68784,69921,71430,72467,73637,74345,75262,77025,77801,77951,78970
28,72021,27428,29647,30478,32213,32648,33921,35001,35740,35886,35989,36316,37255,38406,38796,40032,40109,40786,41743,42329,44186,44204,44317,45257,45682,48111,48188,49287,49533,50495,51944,52057,52716,54118,55080,57239,57303,57875,58097,60516,60902,61225,63082,64376,64482,64760,66140,67093,68694,68903,70118,71586,72641,73845,74464,75424,77218,78004,78140,79105
29,72061,27568,29837,30679,32421,32842,34136,35223,36002,36138,36221,36486,37442,38662,38965,40235,40325,40918,41919,42505,44398,44457,44558,45457,45850,48337,48424,49472,49723,50698,52160,52250,52867,54295,55265,57445,57538,58063,58254,60706,61060,61365,63283,64622,64728,64915,66338,67230,68889,69063,70292,71772,72816,74042,74649,75592,77431,78190,78368,79270
30,72071,27634,29961,30825,32578,33006,34239,35341,36131,36280,36366,36578,37553,38813,39091,40391,40464,41038,42023,42614,44513,44603,44663,45579,45943,48483,48558,49590,49866,50835,52296,52405,52969,54387,55419,57582,57654,58192,58358,60844,61168,61487,63432,64783,64869,64968,66471,67353,69010,69166,70457,71918,72959,74187,74767,75721,77561,78313,78487,79407
31,84499,27773,30157,31000,32797,33211,34479,35546,36336,36520,36603,36730,37760,39022,39304,40590,40685,41194,42179,42803,44727,44823,44860,45764,46114,48694,48780,49773,50021,51010,52511,52632,53097,54559,55620,57761,57832,58403,58529,61066,61345,61648,63626,65009,65091,65157,66644,67525,69226,69328,70635,72115,73153,74397,74924,75892,77758,78539,78736,79599
32,84489,27962,30374,31230,33062,33431,34737,35792,36616,36782,36863,36914,37944,39293,39522,40836,40925,41364,42350,43001,44993,45048,45124,45971,46305,48948,49038,49962,50194,51183,52734,52884,53264,54754,55806,57966,58089,58639,58682,61302,61499,61800,63837,65259,65317,65348,66860,67718,69430,69534,70839,72331,73373,74615,75112,76092,77999,78786,78981,79808
33,84461,28076,30536,31403,33275,33630,34906,35993,36811,36982,36994,37091,38136,39445,39683,41025,41084,41509,42460,43165,45162,45212,45296,46149,46472,49157,49233,50130,50331,51337,52937,53083,53442,54925,55945,58108,58298,58824,58836,61473,61645,61950,64009,65428,65527,65528,67041,67899,69603,69714,71009,72470,73557,74798,75251,76234,78172,78964,79218,79984
34,84471,28190,30703,31587,33476,33839,35116,36207,37009,37148,37208,37232,38305,39651,39865,41196,41282,41618,42588,43322,45370,45435,45454,46297,46606,49352,49423,50289,50486,51504,53127,53278,53597,55092,56103,58298,58470,58987,58990,61671,61784,62082,64178,65639,65649,65710,67219,68080,69779,69852,71185,72628,73714,74983,75369,76376,78341,79144,79399,80163
35,84621,28330,30859,31759,33676,34022,35300,36429,37201,37327,37403,37527,38453,39861,40059,41380,41465,41783,42740,43468,45548,45620,45713,46439,46705,49542,49616,50472,50620,51693,53297,53454,53741,55230,56241,58470,58661,59157,59161,61859,61918,62232,64367,65852,65933,66054,67358,68215,69939,69998,71329,72814,73869,75141,75521,76544,78516,79350,79587,80342
36,84611,28444,31041,31931,33884,34215,35502,36647,37432,37522,37636,37727,38614,40024,40240,41566,41645,41951,42887,43638,45733,45830,45924,46633,46863,49735,49812,50624,50783,51870,53470,53640,53895,55363,56361,58677,58883,59310,59389,62042,62125,62323,64551,66045,66139,66206,67535,68362,70162,70242,71511,72932,74028,75322,75689,76675,78680,79528,79807,80488
37,84631,28500,31122,32062,34032,34334,35631,36801,37577,37666,37782,37877,38726,40163,40365,41694,41788,42069,42995,43771,45887,45966,46044,46766,46970,49871,49964,50766,50893,51976,53597,53811,54020,55478,56474,58789,59061,59433,59544,62174,62270,62456,64673,66175,66270,66328,67662,68476,70288,70387,71649,73083,74177,75485,75801,76779,78824,79682,79954,80598
38,84601,28564,31244,32189,34165,34437,35771,36935,37722,37828,37931,38039,38861,40316,40517,41805,41909,42185,43114,43906,46022,46104,46163,46891,47058,50016,50124,50908,51046,52103,53737,53966,54136,55574,56575,58940,59195,59562,59692,62296,62392,62562,64806,66325,66411,66502,67767,68607,70433,70551,71794,73187,74300,75611,75898,76935,78958,79807,80120,80722
39,75341,28678,31398,32352,34328,34622,35971,37150,37937,38035,38149,38182,39008,40538,40687,42001,42081,42335,43253,44081,46217,46340,46361,47060,47221,50243,50283,51069,51207,52291,53912,54150,54276,55752,56719,59084,59383,59785,59900,62485,62584,62689,64990,66523,66592,66631,67971,68746,70645,70717,71944,73354,74488,75772,76051,77078,79125,79969,80330,80891
40,75061,28796,31544,32524,34502,34798,36141,37327,38123,38238,38334,38402,39168,40700,40891,42203,42267,42480,43389,44246,46453,46552,46553,47262,47345,50402,50491,51236,51359,52476,54094,54339,54411,55915,56862,59255,59580,59983,60119,62683,62779,62864,65171,66692,66794,66878,68116,68870,70810,70911,72089,73466,74683,75947,76214,77268,79316,80142,80548,81061
41,76289,28988,31774,32785,34758,35028,36445,37622,38362,38518,38594,38687,39376,40977,41161,42440,42558,42663,43556,44469,46750,46807,46807,47497,47587,50700,50741,51482,51567,52724,54360,54596,54668,56121,57055,59510,59835,60208,60394,62953,63072,63074,65388,66980,67084,67173,68351,69062,71076,71078,72301,73719,74922,76213,76388,77507,79598,80373,80861,81292
42,76129,29103,31896,32924,34927,35195,36583,37779,38521,38687,38773,38846,39515,41153,41311,42633,42714,42783,43677,44607,46892,46968,47055,47654,47729,50845,50979,51626,51721,52894,54523,54747,54790,56276,57151,59641,59980,60347,60572,63123,63223,63299,65531,67167,67266,67338,68502,69210,71227,71281,72429,73862,75067,76398,76565,77644,79787,80537,81039,81471
43,76119,29222,32055,33066,35097,35335,36738,37945,38688,38862,38913,39016,39668,41302,41444,42790,42841,42945,43770,44750,47048,47132,47223,47783,47872,51068,51158,51780,51909,53038,54689,54938,55043,56420,57309,59802,60154,60501,60746,63297,63390,63501,65701,67349,67422,67501,68677,69335,71351,71418,72601,73992,75236,76554,76684,77779,79928,80696,81210,81626
44,76051,29286,32169,33168,35255,35468,36883,38093,38775,39004,39045,39133,39809,41413,41578,42931,43010,43118,43865,44885,47146,47274,47372,47916,48039,51217,51305,51900,52083,53153,54845,55095,55164,56561,57400,59935,60308,60641,60883,63439,63542,63610,65844,67477,67548,67673,68805,69440,71477,71553,72741,74112,75379,76669,76821,77916,80084,80827,81355,81742
45,75009,29450,32363,33353,35499,35716,37147,38335,39011,39253,39255,39333,40008,41637,41815,43161,43233,43326,44045,45077,47364,47527,47559,48122,48249,51484,51563,52101,52330,53385,55057,55322,55337,56758,57571,60167,60570,60894,61146,63690,63763,63783,66082,67711,67730,67950,68979,69638,71698,71737,72968,74353,75595,76893,76991,78151,80324,81050,81627,81932
