,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,distilled,teachers,policy_noise,headway_mean54009,headway_mean54339,headway_mean54329,headway_mean54319,headway_mean54101,headway_mean66091,headway_mean66031,headway_mean66041,headway_mean66051,headway_mean66379,headway_mean66359,headway_mean62141,headway_mean62059,headway_mean62049,headway_mean62039,headway_mean62029,headway_mean62019,headway_mean70309,headway_mean70299,headway_mean70289,headway_mean70279,headway_mean70269,headway_mean71161,headway_mean71151,headway_mean71141,headway_mean71121,headway_mean71131,headway_mean71091,headway_mean72021,headway_mean72061,headway_mean72071,headway_mean84499,headway_mean84489,headway_mean84461,headway_mean84471,headway_mean84621,headway_mean84611,headway_mean84631,headway_mean84601,headway_mean75341,headway_mean75061,headway_mean76289,headway_mean76129,headway_mean76119,headway_mean76051,headway_mean75009,headway_var54009,headway_var54339,headway_var54329,headway_var54319,headway_var54101,headway_var66091,headway_var66031,headway_var66041,headway_var66051,headway_var66379,headway_var66359,headway_var62141,headway_var62059,headway_var62049,headway_var62039,headway_var62029,headway_var62019,headway_var70309,headway_var70299,headway_var70289,headway_var70279,headway_var70269,headway_var71161,headway_var71151,headway_var71141,headway_var71121,headway_var71131,headway_var71091,headway_var72021,headway_var72061,headway_var72071,headway_var84499,headway_var84489,headway_var84461,headway_var84471,headway_var84621,headway_var84611,headway_var84631,headway_var84601,headway_var75341,headway_var75061,headway_var76289,headway_var76129,headway_var76119,headway_var76051,headway_var75009
0,287,0.0,0.0,-1.4450855225359522,-1.1482880517870313,-0.29679747074892104,85.43088576400075,1.48058380564175,629.3357798165138,2277.8901529051986,1781.9209785932721,14.20943548403342,False,1,0.29969999999999997,874.551724137931,875.448275862069,876.6724137931035,877.9137931034483,879.1206896551724,879.7413793103449,881.1206896551724,882.5172413793103,883.6034482758621,884.6724137931035,886.3793103448276,887.7068965517242,889.0862068965517,890.051724137931,890.8103448275862,891.4827586206897,893.1724137931035,894.6551724137931,895.8620689655172,896.7413793103449,898.1551724137931,899.3103448275862,900.2931034482758,901.2413793103449,902.6379310344828,903.8103448275862,904.8965517241379,905.5689655172414,906.7931034482758,907.5689655172414,908.8620689655172,910.1034482758621,911.1551724137931,912.8448275862069,914.8793103448276,915.6034482758621,917.7068965517242,918.6034482758621,919.9655172413793,922.7758620689655,924.6379310344828,926.7931034482758,928.1551724137931,929.4827586206897,931.0,932.3448275862069,91471.86801426871,99008.59215219975,104708.25475624256,107057.90636147444,111608.69233055887,136159.19173602853,147983.24405469678,162165.0083234245,174390.72205707495,192717.70303210462,208254.37336504163,226152.2761593341,242716.45808561236,266301.1524970273,272993.25713436387,294712.2152199762,305996.590963139,328870.15695600474,331254.0499405469,341221.6744946492,360973.475921522,377037.59334126033,393311.8278834721,406687.3210463733,422773.4378715815,435700.9812722949,450490.40309155773,480165.3831747919,496378.3020214031,518128.7969678953,534763.1533888228,564856.2996432817,585556.4414387633,614317.7517835908,631486.0716409037,658914.1358501783,675103.0692627825,698310.7910225921,717848.5160523186,748127.4842449464,776333.6792508918,827471.8537455412,837929.5104042806,875566.2497027348,889409.3448275862,937784.2604042806
0,185,0.0,0.0,-1.2737228533286766,-0.9759957055612153,-0.29772714776746134,85.7430388177643,1.486047710145377,554.3378133494413,2264.538961038961,1750.6895197825431,7.032743694159741,False,1,0.29940029999999995,874.551724137931,874.6551724137931,875.7068965517242,876.2241379310345,876.3103448275862,876.551724137931,876.448275862069,877.7413793103449,878.7413793103449,879.3965517241379,880.051724137931,881.051724137931,881.948275862069,882.6551724137931,883.6724137931035,884.5862068965517,885.9827586206897,886.9827586206897,888.1034482758621,889.2241379310345,890.051724137931,890.9137931034483,891.9137931034483,892.7413793103449,893.2931034482758,893.9137931034483,895.3965517241379,895.7758620689655,896.1034482758621,896.8103448275862,898.0172413793103,898.551724137931,898.6551724137931,899.5862068965517,900.4655172413793,901.3965517241379,901.9827586206897,903.2413793103449,903.9310344827586,905.3793103448276,905.8965517241379,906.4655172413793,906.8275862068965,907.4827586206897,907.9310344827586,908.4827586206897,91471.86801426871,99304.29488703923,101196.96581450652,101113.0014863258,101655.00713436386,107826.73008323424,112482.35077288942,117846.9848394768,122587.05380499405,130629.96343638527,133245.84215219977,142022.5662901308,150522.73870392394,157371.19143876337,168640.0823424495,174089.69084423306,177532.15487514864,186568.8100475624,188594.40309155767,193773.89803804996,210694.46284185495,223415.25118906063,229834.0098097503,237377.22621878714,243945.0692627824,253336.25118906068,271375.3772294887,297802.5532104637,312802.8858501783,332491.56747919146,347058.08590963145,360761.0749108204,397679.9500594531,411185.75980975037,435107.31777645665,456144.4806777647,472916.39625445893,493102.28656361473,501927.9607609988,515466.33888228296,539690.0237812129,570208.903983353,574032.0047562425,574935.1462544589,579848.5469678954,607311.1807372174
0,329,0.0,0.0,-1.55179678084652,-1.250924225927511,-0.300872554919009,86.58233675819488,1.500539348414693,688.3258288692631,2279.7314318807007,1861.274214564934,13.895139922222175,False,1,0.2991008997,874.551724137931,876.948275862069,878.7241379310345,880.1379310344828,881.7413793103449,884.4827586206897,886.7241379310345,888.2931034482758,889.9655172413793,891.8103448275862,893.4310344827586,895.0344827586207,897.0862068965517,898.551724137931,900.7931034482758,902.9655172413793,905.1206896551724,907.3620689655172,909.3448275862069,911.3448275862069,913.5689655172414,915.8103448275862,917.7758620689655,919.6206896551724,921.6034482758621,923.8620689655172,926.1551724137931,928.3448275862069,930.3793103448276,932.7413793103449,934.3448275862069,936.5,938.2241379310345,939.8965517241379,942.3448275862069,943.8448275862069,945.6724137931035,947.3965517241379,949.1379310344828,950.8448275862069,952.2241379310345,953.5862068965517,954.3448275862069,955.8793103448276,957.2413793103449,959.8965517241379,91471.86801426871,110959.04904875149,112720.99286563617,111590.63614744353,116110.77794292508,126149.45659928658,133890.44114149825,141126.62098692034,153920.03329369798,167109.05023781213,178990.62455410222,198483.20570749108,222276.90636147445,244041.1783590963,252636.26753864446,273815.79191438766,288472.24405469676,310254.6792508918,324061.50178359094,335151.9155766944,360489.45214030915,378689.49851367425,389128.5532104638,405974.33888228296,423468.96343638527,438074.8775267538,458141.9931629014,490761.12247324607,511041.71819262777,536786.4331153389,551478.5707491081,574868.7672413794,607932.449762188,629056.6099881094,648013.4328180737,666397.5104042805,687489.1857907253,705120.4806777646,717403.7395957194,743912.7862663495,770449.3118311535,808578.3115338882,821621.3638525564,836005.4854340072,837363.0451843045,882194.5065398336
0,239,0.0,0.0,-1.35376613539475,-1.058109633499749,-0.2956565018950008,85.22429578705503,1.4770034403963432,592.5957376325089,2215.9529593639577,1748.6765680212013,13.65777254492603,False,1,0.2988017988003,874.551724137931,875.3793103448276,876.2068965517242,877.0689655172414,877.3965517241379,877.8965517241379,879.2413793103449,880.6724137931035,881.7413793103449,882.0689655172414,883.1034482758621,883.6206896551724,884.6034482758621,885.448275862069,886.6551724137931,887.8103448275862,889.2068965517242,890.448275862069,891.5172413793103,892.0,892.948275862069,894.3448275862069,895.6896551724138,897.4310344827586,898.3103448275862,899.8793103448276,900.9827586206897,902.2068965517242,903.4827586206897,904.6896551724138,905.2931034482758,906.0,907.2586206896551,908.051724137931,909.0172413793103,909.6896551724138,911.1551724137931,912.6206896551724,913.3275862068965,914.2758620689655,915.0172413793103,915.4310344827586,915.9655172413793,916.9655172413793,918.7758620689655,919.5689655172414,91471.86801426871,101486.37336504163,102451.37098692033,103137.85731272296,105979.61860879905,117656.57550535076,126735.63139120095,132827.4616527943,135984.57104637337,145414.6159334126,147973.2996432818,160296.75267538644,171330.82550535075,180150.8335315101,183804.12247324613,194794.25713436387,202498.75029726516,213225.0059453032,216934.14625445896,228123.2068965517,249249.7387039239,268657.0879904875,282853.5588585018,295691.24524375744,302010.627824019,321491.1750891796,337364.25832342444,361820.7847800238,371983.66349583823,391989.3174791914,400445.6209869204,410883.7586206897,430881.22621878714,444603.7731866825,460882.43073721754,484278.14506539836,508147.4069560048,517593.85612366226,527136.5306183115,544362.544589774,563212.9824613556,584857.107312723,583300.3781212842,593517.1712247323,589662.6221759808,608832.9693816884
0,77,1.9882407903671264,2.5272722959518434,-1.2394972534719164,-0.9442304725390043,-0.29526678093291187,85.01183978399679,1.4733214123484502,608.2374100719425,2280.8978417266185,1765.1066346922462,9.651606349090237,False,1,0.2985029970014997,874.551724137931,875.1724137931035,876.5862068965517,877.8793103448276,879.3965517241379,881.6551724137931,883.2586206896551,884.9310344827586,886.7068965517242,888.0,889.4137931034483,891.0862068965517,892.5689655172414,894.3275862068965,895.5,897.4310344827586,899.5344827586207,901.1034482758621,902.4310344827586,904.3620689655172,906.1034482758621,907.551724137931,909.1206896551724,910.1379310344828,911.7931034482758,913.6379310344828,914.948275862069,916.3103448275862,917.8448275862069,919.2586206896551,920.5344827586207,922.2586206896551,923.6379310344828,924.9655172413793,926.5689655172414,928.1724137931035,929.551724137931,930.7068965517242,932.2586206896551,934.2586206896551,935.448275862069,937.2931034482758,938.4137931034483,939.8793103448276,941.3965517241379,942.5862068965517,91471.86801426871,98004.59096313914,97712.79429250892,96484.89922711057,94865.92895362664,98985.5707491082,106994.84690844233,114716.71938168847,121755.7244351962,129305.93103448275,132893.82877526755,141328.04429250892,155234.03834720573,165753.28923900117,175789.5603448276,187398.5211058264,194932.07639714627,208100.7479191439,226766.14179548158,240591.40338882283,261801.1272294887,278532.4542211653,292643.62336504157,308944.7051129608,327300.1640903687,348683.024078478,370318.7042211653,398399.3864447088,426357.61385255645,455534.4331153389,466003.9384661117,500034.1917360285,540911.8171819263,566326.9988109394,594426.0383472057,624398.1771700357,648015.3507728894,656661.0692627825,676811.674494649,699848.7089774078,734569.8680142687,774675.7934007136,802009.2425683709,834567.2440546966,859050.549643282,904697.5873959572
0,249,1.3217674255371095,1.2012877464294434,-1.2085735095961758,-1.043136936303002,-0.16543657329317352,47.33079632170645,0.8222958010239824,659.0594244021079,1740.7391163356303,1320.638508309688,14.569094950755659,False,1,0.29820449400449817,874.551724137931,876.551724137931,878.2586206896551,879.448275862069,881.0344827586207,883.0689655172414,884.7586206896551,886.3275862068965,887.9137931034483,888.9827586206897,890.2068965517242,891.551724137931,893.0172413793103,894.1896551724138,895.8620689655172,897.5172413793103,898.6551724137931,899.7931034482758,901.2068965517242,902.0,904.0,905.2931034482758,906.7068965517242,907.5172413793103,909.2758620689655,910.7413793103449,912.5172413793103,914.7758620689655,916.3965517241379,917.2758620689655,917.7758620689655,919.4310344827586,920.7758620689655,922.2413793103449,923.8103448275862,925.6379310344828,927.051724137931,928.6551724137931,929.7931034482758,931.7758620689655,933.1724137931035,935.1551724137931,935.5344827586207,936.5,937.7241379310345,939.5689655172414,91471.86801426871,104893.2818073722,97042.53656361475,99994.28180737219,103019.13674197382,110995.89179548157,123739.9072532699,132425.2547562426,140298.28567181926,159753.98246135554,179331.4744351962,196625.52318668252,209720.70659928655,226082.7054102259,233960.8085612366,249570.28418549348,249236.12247324613,257105.19857312727,264812.4744351962,266181.1379310345,287646.0,298221.20719381684,308209.75891795487,324713.87039239006,336487.1307966707,358875.8124256837,375056.6290130797,393544.6911414981,412545.89447086793,431272.61355529126,444813.76010701543,461976.55558858503,485054.7601070155,500188.631391201,518505.1192033293,537210.6792508918,556162.4283590963,566244.5707491082,577974.9916765755,590436.2773483947,608313.2806183116,629493.2345422116,627149.9729488705,663173.4913793104,675271.475624257,686155.1762782402
0,829,1.6000068426132201,1.302266275882721,-1.3987389012631928,-1.3231490416968061,-0.07558985956638681,20.87461523579225,0.37575895307435847,670.4141447918408,1482.2594883798695,1072.9142283899014,16.433851673074834,False,1,0.2979062895104937,874.551724137931,876.3620689655172,876.8275862068965,877.1379310344828,877.8793103448276,878.3965517241379,878.8793103448276,879.7413793103449,880.0172413793103,880.8103448275862,881.2931034482758,881.8620689655172,882.3965517241379,883.3620689655172,883.7931034482758,884.0862068965517,884.8965517241379,885.5689655172414,886.3448275862069,887.0344827586207,887.6896551724138,888.0,888.6896551724138,889.2586206896551,889.2413793103449,889.4137931034483,890.3793103448276,890.9827586206897,891.1034482758621,891.7758620689655,892.0862068965517,892.4655172413793,892.3103448275862,892.6724137931035,893.4827586206897,893.7068965517242,894.0,894.3103448275862,894.4137931034483,894.5862068965517,894.8103448275862,895.7758620689655,896.0172413793103,896.7586206896551,896.9137931034483,897.5689655172414,91471.86801426871,108837.85166468489,106323.0737217598,110123.77407847799,118367.31302021403,128338.37722948867,136352.62336504163,147454.26070154578,159452.84453032105,171668.39506539833,179079.55202140313,201036.8085612366,211160.37722948875,223638.67925089182,228058.95719381684,240348.32015457787,250673.0237812128,258524.48662306773,265918.15695600474,278970.92984542216,293864.9726516052,308882.2413793103,325228.4554102259,341634.15725326986,357542.21759809746,360919.2770511296,375033.3043995244,395569.56866825203,415924.33412604046,439218.82907253265,463506.5960166468,481340.3522592152,520372.38644470874,541330.5651010701,563955.5600475624,592167.1382282996,615400.9310344828,618526.8347205708,623055.3804994054,627358.7942925089,660779.1536860879,678135.1739001188,692873.4652199761,727437.9762187871,734188.5960166468,758610.7624851366
0,1973,1.8133357524871827,0.9242048919200897,-1.6080600986244498,-1.5668576746186587,-0.04120242400579045,10.88300486738936,0.2052726666835851,649.6708060510273,1415.2853917362836,943.6294874689546,14.588682871253758,False,1,0.2976083832209832,874.551724137931,875.9655172413793,876.4310344827586,876.6379310344828,876.5344827586207,876.6896551724138,876.5689655172414,876.5344827586207,876.6379310344828,876.9655172413793,877.3103448275862,877.3275862068965,877.3620689655172,877.5,878.0689655172414,878.3965517241379,878.3620689655172,878.4310344827586,878.5689655172414,878.5862068965517,878.948275862069,878.9655172413793,879.0344827586207,879.4137931034483,879.3275862068965,879.4827586206897,880.1206896551724,880.2931034482758,880.6724137931035,881.1724137931035,881.1896551724138,881.2068965517242,881.051724137931,881.2586206896551,881.3793103448276,881.3793103448276,881.4310344827586,881.448275862069,881.5689655172414,882.2758620689655,882.6896551724138,882.7413793103449,882.2931034482758,882.0,882.2758620689655,882.6724137931035,91471.86801426871,102320.30915576695,103711.7280023781,108009.05856123663,117683.007431629,130769.80023781213,139487.72800237813,150669.66260404282,163537.92063020213,181312.96432818074,196331.5933412604,220651.11682520813,235007.02407847802,261515.3879310345,268998.02972651605,287627.0324019025,299900.81718192634,309990.90041617124,318561.7280023781,335244.8632580262,363566.3938763377,375267.92984542216,389878.79191438766,411935.0701545779,420166.5651010701,435068.9393579072,451974.6233650416,490905.1727110582,517786.04785969085,546085.9357907253,571842.153686088,593165.8882282997,648961.8766349582,671353.8813912009,686316.1664684899,730240.2354340071,760616.6935196195,774733.4542211654,794485.9004161713,817088.1307966707,852033.7657550535,888893.950356718,930353.9658145063,985822.5862068966,994869.1997621879,1036923.0478596909
0,1816,1.8282806158065796,0.6918553829193115,-1.6298157057657972,-1.5987078502591443,-0.031107855506652828,7.859650686434782,0.154429210188309,649.9257487757659,1407.9183464297917,918.8439813233117,16.4799886667593,False,1,0.29731077483776225,874.551724137931,875.448275862069,874.6551724137931,874.1379310344828,873.7241379310345,872.5862068965517,871.8103448275862,871.1896551724138,870.8793103448276,870.1896551724138,870.1724137931035,869.8620689655172,869.9310344827586,869.3620689655172,869.0862068965517,868.6896551724138,868.3965517241379,868.0344827586207,868.4310344827586,868.2413793103449,867.5344827586207,867.5862068965517,867.3620689655172,866.8448275862069,866.3965517241379,866.0,865.5862068965517,864.7931034482758,864.2413793103449,863.6896551724138,863.3965517241379,862.7413793103449,861.6896551724138,861.4655172413793,861.1034482758621,860.2413793103449,859.7758620689655,859.5172413793103,859.1896551724138,858.6551724137931,858.0689655172414,857.2758620689655,857.0689655172414,856.6724137931035,856.3620689655172,856.6379310344828,91471.86801426871,107219.04042806182,113490.84661117717,117922.94649227112,131262.2687277051,149539.65636147445,161693.49851367416,177429.42954815694,191516.2440546968,219048.2571343638,235438.97027348392,269257.63614744355,289691.68489892985,311423.43787158147,317513.9753269917,332131.8692033293,340181.3082639714,355667.033293698,360359.55558858503,383523.6313912008,402267.8005350773,416424.4839476813,426999.64476813324,446644.2345422117,458514.3772294887,474563.8620689655,484120.3115338883,511558.75029726524,532563.9072532699,554976.6623067777,576878.7565398335,601072.1227705113,649229.2140309155,669429.1453626635,678737.368608799,720834.7693222355,749334.1049346016,757751.5600475625,770731.0847205707,787906.053507729,806807.4780023781,811715.6480380498,843049.1676575505,878038.5306183116,891022.9551129607,913211.6792508916
0,1385,2.2089380264282226,0.7963869750499726,-1.5026698218376706,-1.4759976537581523,-0.026672168079518138,6.657144977042201,0.13314968081749384,664.1498345201084,1379.2787082539364,938.2958579881657,14.489808065276597,False,1,0.2970134640629245,874.551724137931,876.0,876.4137931034483,876.6896551724138,877.5172413793103,878.6896551724138,878.9827586206897,879.3965517241379,879.5689655172414,879.5344827586207,880.0,880.1551724137931,880.5689655172414,880.6896551724138,881.0,881.3793103448276,881.551724137931,882.0344827586207,882.5172413793103,882.7931034482758,884.051724137931,884.2931034482758,884.5689655172414,885.2931034482758,886.2241379310345,886.4827586206897,887.1551724137931,887.7931034482758,888.6896551724138,889.5689655172414,889.7413793103449,890.2068965517242,890.7586206896551,891.0689655172414,891.4827586206897,891.3620689655172,891.8275862068965,892.0344827586207,892.2586206896551,892.5344827586207,893.0172413793103,893.551724137931,893.7758620689655,893.9137931034483,894.2241379310345,894.7758620689655,91471.86801426871,105496.06896551725,107021.0701545779,109333.04161712246,115651.21521997622,125337.45541022591,133979.4652199762,146366.89447086802,157131.93489892985,182315.90398335314,196743.2068965517,223607.751783591,240079.93489892987,262829.14506539836,272882.0689655172,291927.58026159334,301291.2473246136,319019.48156956,332563.2497027349,353732.405469679,375820.4973246135,388315.3106420928,405771.6590368609,419759.37960760994,440620.2428656362,450998.6634958383,455996.5793697979,484456.4399524376,505464.45541022584,523831.2797265161,553704.5710463733,572308.750297265,609847.9762187871,629419.8917954816,632987.1117717003,683769.3689060643,705015.6944114148,711816.4470868014,719502.329667063,719696.7315695601,741000.4652199761,734188.4887039239,768034.9325208084,808364.4580856123,816857.7601070155,835874.7601070155
