,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24272,25321,26161,27075,28079,28897,29907,30455,31180,31408,32518,32766,33516,34225,35219,36123,37042,38019,38021,39060,39377,39892,40846,41948,42837,43903,44901,45510,45952,47256,48144,48963,50204,51171,52808,53314,53368,54054,55865,56719,57477,58445,59218,60202,61000,61970,63031,63927,64977,65827,67052,68018,69225,70678,71226,72486,73208,74014,75102
2,54329,24371,25413,26302,27162,28221,29016,30051,30532,31307,31497,32632,32878,33638,34322,35337,36233,37124,38148,38170,39166,39444,40028,40953,42069,42939,44033,45005,45587,46032,47339,48225,49057,50282,51254,52897,53426,53495,54125,55988,56817,57606,58531,59300,60336,61137,62061,63126,63999,65057,65915,67166,68126,69311,70808,71293,72597,73310,74097,75236
3,54319,24453,25490,26399,27239,28330,29108,30160,30586,31398,31564,32731,32979,33727,34400,35454,36301,37200,38230,38277,39239,39498,40131,41043,42168,43021,44166,45112,45668,46098,47428,48319,49175,50385,51315,52971,53504,53606,54177,56072,56899,57730,58618,59375,60457,61263,62120,63198,64073,65121,65982,67253,68204,69370,70920,71355,72686,73386,74168,75337
4,54101,24590,25620,26604,27389,28541,29267,30362,30712,31589,31695,32919,33157,33898,34560,35621,36453,37342,38415,38459,39416,39610,40342,41223,42377,43188,44414,45340,45801,46247,47547,48434,49331,50521,51435,53108,53662,53778,54275,56202,57031,57935,58752,59480,60651,61470,62232,63332,64180,65234,66118,67414,68367,69485,71114,71457,72865,73547,74293,75517
5,66091,24765,25759,26869,27558,28834,29493,30645,30883,31830,31887,33109,33411,34121,34748,35858,36634,37494,38623,38721,39605,39759,40600,41460,42600,43396,44653,45560,45956,46427,47686,48590,49543,50678,51584,53274,53885,54039,54414,56385,57233,58207,58922,59635,60905,61770,62385,63517,64333,65394,66293,67613,68567,69672,71377,71633,73125,73788,74465,75783
6,66031,24868,25861,27027,27668,29010,29629,30797,30979,31972,32011,33246,33550,34265,34857,35997,36735,37607,38771,38870,39724,39845,40765,41582,42730,43515,44788,45681,46036,46523,47775,48694,49651,50785,51670,53376,54011,54183,54508,56489,57344,58362,59014,59733,61051,61921,62462,63623,64419,65490,66413,67768,68681,69770,71537,71719,73254,73942,74557,75944
7,66041,24968,25948,27176,27772,29179,29757,30949,31079,32115,32135,33378,33707,34393,34973,36150,36849,37700,38902,39016,39857,39945,40915,41751,42875,43646,44928,45814,46129,46638,47862,48792,49770,50874,51791,53478,54139,54346,54587,56622,57460,58520,59119,59816,61202,62094,62542,63732,64525,65583,66521,67882,68795,69870,71692,71802,73405,74090,74662,76085
8,66051,25035,26016,27294,27831,29276,29850,31049,31148,32213,32245,33459,33798,34476,35067,36246,36918,37771,38987,39104,39930,40011,41013,41830,42977,43743,45044,45903,46186,46704,47933,48874,49862,50935,51858,53554,54241,54442,54643,56748,57554,58629,59179,59880,61308,62189,62600,63804,64592,65644,66597,67966,68878,69966,71818,71867,73494,74204,74728,76174
9,66379,25137,26109,27456,27933,29451,29975,31214,31249,32348,32374,33588,33930,34600,35179,36409,37027,37868,39123,39221,40050,40085,41152,41943,43128,43888,45233,46070,46276,46805,48031,48976,49994,51019,51956,53696,54368,54574,54713,56847,57724,58800,59263,59978,61472,62341,62671,63905,64682,65728,66697,68068,68983,70072,71962,72013,73630,74316,74809,76300
