,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24278,25420,26110,27088,28033,28928,29851,30463,31208,31390,32541,32747,33493,34204,35276,36138,37113,37973,38022,39099,39412,39879,40892,41932,42818,43910,44988,45607,46026,47303,48155,48948,50208,51287,52911,53286,53351,54149,55987,56771,57486,58488,59294,60199,61036,62121,63147,64016,65109,65863,67145,68134,69300,70674,71240,72506,73222,74075,75120
2,54329,24367,25592,26199,27206,28134,29077,29952,30566,31350,31473,32651,32834,33608,34295,35418,36265,37240,38088,38142,39190,39494,39975,41032,42029,42914,44005,45127,45729,46130,47389,48229,49031,50293,51391,53041,53359,53460,54289,56139,56884,57572,58584,59381,60294,61146,62251,63265,64121,65257,65964,67242,68266,69390,70762,71333,72596,73321,74152,75255
3,54319,24451,25722,26272,27290,28225,29191,30033,30644,31458,31537,32753,32907,33690,34384,35572,36361,37343,38156,38232,39265,39568,40078,41146,42123,42989,44101,45265,45830,46223,47509,48336,49107,50449,51463,53135,53412,53533,54394,56238,56972,57641,58674,59468,60385,61252,62360,63365,64186,65362,66048,67320,68372,69467,70823,71416,72665,73422,74219,75349
4,54101,24570,25984,26394,27439,28379,29411,30173,30803,31657,31682,32924,33037,33852,34508,35813,36602,37561,38318,38426,39460,39691,40236,41366,42308,43126,44344,45564,46067,46412,47656,48445,49220,50579,51618,53332,53557,53706,54587,56415,57097,57773,58824,59625,60513,61416,62547,63545,64306,65580,66197,67451,68577,69588,70954,71545,72825,73577,74353,75545
5,66091,24725,26259,26546,27590,28550,29680,30336,31006,31902,31917,33086,33241,34041,34679,36122,36844,37796,38496,38689,39617,39879,40432,41645,42463,43286,44487,45829,46316,46644,47815,48584,49378,50731,51819,53564,53709,53923,54857,56652,57291,57935,59019,59799,60670,61636,62824,63821,64483,65827,66399,67631,68843,69766,71117,71713,73019,73802,74519,75814
6,66031,24818,26443,26629,27686,28679,29866,30434,31121,32051,32074,33192,33352,34153,34797,36306,36998,37940,38606,38835,39713,39975,40545,41805,42559,43373,44567,45970,46454,46763,47924,48686,49474,50823,51938,53709,53802,54054,55029,56784,57443,58020,59126,59896,60767,61757,62991,64012,64602,65981,66554,67742,69001,69869,71219,71809,73124,73911,74600,75963
7,66041,24908,26615,26708,27800,28784,30054,30538,31239,32207,32239,33307,33453,34270,34894,36481,37148,38080,38713,38987,39826,40073,40688,41975,42655,43471,44647,46119,46645,46908,48027,48767,49574,50926,52051,53844,53889,54178,55190,56946,57559,58120,59228,59994,60857,61885,63172,64186,64716,66108,66680,67856,69156,69966,71312,71927,73226,74036,74687,76128
8,66051,24971,26748,26831,27878,28856,30163,30601,31318,32319,32325,33382,33526,34352,34950,36603,37239,38181,38787,39114,39883,40133,40760,42076,42719,43549,44718,46233,46821,47011,48126,48844,49644,50997,52130,53956,53976,54270,55318,57052,57650,58192,59297,60060,60927,61964,63272,64290,64787,66204,66779,67944,69286,70030,71412,72011,73301,74113,74742,76228
9,66379,25075,26950,26976,28000,28990,30339,30694,31438,32481,32540,33529,33616,34481,35059,36823,37365,38340,38892,39237,40016,40227,40875,42249,42837,43681,44818,46371,46943,47286,48276,48973,49743,51121,52249,54077,54176,54382,55458,57171,57784,58279,59397,60168,61014,62101,63447,64435,64869,66340,66893,68062,69436,70127,71536,72096,73433,74220,74816,76353
