,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24278,25420,26142,27080,28026,28876,29857,30473,31172,31421,32517,32747,33477,34263,35239,36148,37067,38038,38124,39115,39400,39839,40825,41939,42825,43916,44921,45538,45981,47315,48159,49000,50265,51300,52898,53428,53537,54224,55950,56747,57501,58540,59285,60218,61021,62032,63073,64106,65077,65873,67166,68059,69256,70773,71235,72514,73226,74096,75173
2,54329,24367,25637,26332,27247,28190,29062,30024,30628,31375,31604,32660,32901,33640,34479,35398,36313,37222,38212,38295,39306,39584,39997,40966,42138,42987,44049,45079,45719,46140,47466,48328,49192,50472,51510,53033,53634,53739,54403,56139,56892,57674,58728,59428,60369,61210,62184,63213,64313,65255,66043,67392,68241,69441,70984,71356,72689,73397,74256,75419
3,54319,24451,25821,26492,27362,28372,29238,30143,30795,31537,31759,32792,33010,33771,34633,35529,36480,37379,38368,38476,39463,39739,40156,41066,42260,43152,44194,45216,45860,46281,47600,48489,49350,50626,51652,53186,53778,53903,54549,56293,57023,57819,58900,59544,60482,61382,62308,63369,64465,65417,66204,67562,68402,69614,71135,71506,72826,73561,74411,75595
4,54101,24570,26109,26729,27560,28556,29469,30326,31024,31746,31988,32992,33206,33981,34896,35754,36725,37594,38608,38685,39718,39913,40355,41257,42467,43378,44414,45440,46066,46498,47812,48673,49595,50893,51895,53373,53997,54136,54817,56525,57195,58041,59150,59745,60637,61643,62474,63566,64676,65602,66445,67803,68575,69832,71423,71683,73087,73784,74661,75879
5,66091,24725,26481,27032,27785,28790,29784,30543,31285,32047,32271,33253,33472,34245,35236,36093,36994,37875,38884,38996,40050,40168,40600,41468,42715,43642,44679,45698,46307,46777,48059,48924,49896,51189,52184,53578,54277,54454,55193,56806,57437,58286,59479,59959,60887,61976,62687,63773,64974,65850,66777,68104,68845,70059,71758,71919,73357,74094,75000,76251
6,66031,24818,26710,27236,27940,28952,30007,30709,31473,32249,32476,33471,33646,34420,35478,36300,37228,38069,39106,39200,40254,40353,40770,41641,42866,43850,44886,45874,46514,46955,48228,49087,50109,51383,52392,53735,54486,54701,55414,57003,57596,58469,59670,60147,61065,62198,62842,63959,65179,66034,66972,68354,69028,70236,71960,72113,73519,74310,75162,76472
7,66041,24908,26957,27425,28100,29121,30228,30884,31696,32482,32688,33677,33835,34606,35713,36506,37435,38272,39310,39394,40478,40604,40923,41808,43027,44060,45110,46042,46690,47149,48412,49262,50323,51566,52584,53887,54682,54904,55654,57190,57773,58664,59876,60353,61246,62412,63005,64126,65409,66231,67142,68568,69217,70404,72170,72309,73715,74534,75387,76718
8,66051,24971,27170,27598,28249,29264,30380,31023,31824,32644,32847,33845,33991,34756,35878,36680,37577,38414,39460,39586,40648,40781,41038,41949,43175,44193,45259,46160,46831,47302,48542,49393,50494,51714,52746,54037,54845,55088,55846,57333,57908,58821,60060,60490,61364,62572,63154,64234,65568,66396,67310,68749,69343,70538,72340,72432,73835,74678,75573,76901
9,66379,25075,27402,27775,28374,29421,30572,31167,32015,32818,33050,34022,34134,34922,36055,36870,37758,38619,39674,39756,40846,41024,41199,42083,43342,44384,45431,46319,47008,47490,48700,49581,50698,51866,52949,54201,55037,55273,56038,57480,58051,58992,60259,60619,61496,62769,63322,64333,65734,66552,67484,68968,69545,70685,72521,72560,74020,74865,75751,77133
