,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean54009,headway_mean54339,headway_mean54329,headway_mean54319,headway_mean54101,headway_mean66091,headway_mean66031,headway_mean66041,headway_mean66051,headway_mean66379,headway_mean66359,headway_mean62141,headway_mean62059,headway_mean62049,headway_mean62039,headway_mean62029,headway_mean62019,headway_mean70309,headway_mean70299,headway_mean70289,headway_mean70279,headway_mean70269,headway_mean71161,headway_mean71151,headway_mean71141,headway_mean71121,headway_mean71131,headway_mean71091,headway_mean72021,headway_mean72061,headway_mean72071,headway_mean84499,headway_mean84489,headway_mean84461,headway_mean84471,headway_mean84621,headway_mean84611,headway_mean84631,headway_mean84601,headway_mean75341,headway_mean75061,headway_mean76289,headway_mean76129,headway_mean76119,headway_mean76051,headway_mean75009,headway_var54009,headway_var54339,headway_var54329,headway_var54319,headway_var54101,headway_var66091,headway_var66031,headway_var66041,headway_var66051,headway_var66379,headway_var66359,headway_var62141,headway_var62059,headway_var62049,headway_var62039,headway_var62029,headway_var62019,headway_var70309,headway_var70299,headway_var70289,headway_var70279,headway_var70269,headway_var71161,headway_var71151,headway_var71141,headway_var71121,headway_var71131,headway_var71091,headway_var72021,headway_var72061,headway_var72071,headway_var84499,headway_var84489,headway_var84461,headway_var84471,headway_var84621,headway_var84611,headway_var84631,headway_var84601,headway_var75341,headway_var75061,headway_var76289,headway_var76129,headway_var76119,headway_var76051,headway_var75009
0,762,2.505027595607714,2.9558652190641426,-1.2209157124043548,-1.1921177407819226,-0.028797971622432143,7.17114270392029,0.1428887988168987,578.0904641850808,1247.4618122497404,792.6820406347323,10.418419547235262,874.551724137931,875.051724137931,875.3620689655172,875.3103448275862,875.7758620689655,876.0862068965517,876.1724137931035,876.3448275862069,876.5,876.448275862069,876.4827586206897,876.5862068965517,877.0689655172414,877.0344827586207,877.1206896551724,877.1379310344828,877.3965517241379,877.448275862069,877.4310344827586,877.6379310344828,877.9827586206897,878.2931034482758,878.6551724137931,878.6724137931035,878.7758620689655,879.2068965517242,879.2586206896551,879.3448275862069,879.5,879.4827586206897,879.9310344827586,880.0172413793103,879.8275862068965,879.8793103448276,880.0,879.8620689655172,879.8620689655172,880.0862068965517,880.1379310344828,880.1724137931035,881.2931034482758,881.3793103448276,881.1206896551724,881.1206896551724,881.0862068965517,881.5344827586207,91471.86801426871,97054.2559453032,100114.5068370987,102920.48989298454,110458.20838287752,119598.87187871583,127471.14268727705,135834.74316290132,142849.2844827586,154391.59215219974,164020.00832342447,180979.75980975025,188449.7883472057,200956.30915576697,208515.31302021403,218254.22235434005,219990.3082639715,229555.3507728894,235228.93489892987,243430.12752675384,253177.18935790725,265598.5520214031,278038.15695600474,291312.3926872771,300428.65665873955,310713.2330558859,319147.26070154575,335281.5362663496,344657.9051724138,359873.4221165279,378667.4435196195,397616.7755648039,428634.4530321047,441210.93370986916,458741.4482758621,486402.5671819263,504649.4292508917,508578.8029131986,514228.7051129608,523242.55648038053,538524.7934007135,547291.8906064209,573886.8302615933,595158.864744352,609567.5270511297,625785.8005350773
0,1652,3.526083202197634,2.263341019550959,-1.8392494178235024,-1.8087531606712213,-0.030496257152280933,7.755840649731631,0.15174103506204817,760.5575648920415,1424.9915036246005,1092.425676202354,17.530620428670233,874.551724137931,877.4310344827586,878.0172413793103,878.3793103448276,879.3965517241379,881.1724137931035,882.0,882.8448275862069,883.4310344827586,883.6034482758621,884.0862068965517,884.5689655172414,885.3275862068965,885.9655172413793,886.2931034482758,886.9310344827586,887.2413793103449,888.2758620689655,888.6034482758621,888.8103448275862,889.6896551724138,890.9137931034483,891.4655172413793,892.0344827586207,892.3448275862069,892.7413793103449,893.2241379310345,894.3965517241379,895.0,895.8103448275862,896.3275862068965,897.448275862069,898.1379310344828,899.0,899.7068965517242,900.4827586206897,901.1724137931035,901.4310344827586,902.051724137931,902.6379310344828,903.3793103448276,904.4827586206897,904.6724137931035,904.9655172413793,905.8448275862069,906.8103448275862,91471.86801426871,115641.07282996435,121120.39625445897,128816.44233055884,149512.44619500593,169685.10820451844,187976.10344827586,206614.09661117717,223791.93489892985,254947.79102259217,270512.2511890607,315259.1762782402,333639.56510107015,364436.2746730083,377069.72443519614,404519.0986920332,414456.355529132,431144.7170035672,440543.2737812128,461824.5329964328,484645.5243757431,497611.59601664677,522069.283293698,539081.9643281808,556245.6397146254,569576.5365636147,582713.4152794293,625416.9979191439,652005.3103448276,675759.1192033294,701999.116825208,725419.4887039239,758422.7395957194,771234.551724138,778387.3451248514,830395.6290130797,848301.5564803806,848942.8659334126,858382.4973246136,864619.8861474436,895654.4768133175,897895.5945303208,926257.56510107,964913.929845422,982647.7173008323,996977.4640309155
0,2141,4.625314465884505,2.3988293205527054,-1.8971952325672725,-1.8523756101887114,-0.044819622378560915,12.038900020950555,0.2238934939798079,918.2148560692478,1524.1603703952223,1357.25773334228,15.985725487224013,874.551724137931,877.0172413793103,877.1379310344828,877.2931034482758,877.6206896551724,878.551724137931,878.8793103448276,879.2758620689655,879.5344827586207,879.6724137931035,880.0344827586207,880.2413793103449,881.0862068965517,881.2586206896551,881.4827586206897,881.7241379310345,882.0862068965517,882.2758620689655,882.551724137931,882.7241379310345,883.3275862068965,883.6551724137931,883.8793103448276,884.1724137931035,884.3103448275862,884.8620689655172,885.5,886.2068965517242,886.4655172413793,887.1551724137931,887.2931034482758,887.7413793103449,887.8448275862069,888.0344827586207,888.3965517241379,888.4655172413793,888.6379310344828,888.8275862068965,889.5689655172414,890.2931034482758,890.4310344827586,891.2758620689655,890.6379310344828,890.6551724137931,890.9827586206897,891.5689655172414,91471.86801426871,116386.53418549347,122244.63614744351,125991.55202140308,141611.8561236623,158954.55766944116,169259.5543995244,188350.8549346017,203070.93846611175,235260.97889417358,251326.55053507732,290853.49346016644,315144.18222354347,340478.12277051137,359017.6290130797,386691.26872770506,402632.8029131987,424245.26872770506,440870.8680142687,470739.2687277051,491539.56510107015,506869.4328180737,524056.7268133175,544418.1082045183,560861.8347205708,583540.5671819262,600261.6637931034,637607.7502972652,659937.903983353,691709.6828180738,724536.2416765755,734349.2262187871,794023.3724732461,822491.8953626635,829178.2048156956,887389.2832936979,923401.5413198574,949994.7288941736,968206.8659334128,991410.3106420927,1026631.8659334126,1041114.2687277051,1064877.4033888227,1118619.5707491082,1145875.9824613554,1193383.0038644471
0,2774,5.506526150922666,2.5278755597684572,-1.9348601416597813,-1.8871152771464013,-0.047744864513380135,12.957021830446422,0.23888014604388932,727.3115687992988,1545.6177914110428,1141.4478527607362,17.93832753940755,874.551724137931,876.3620689655172,876.4655172413793,876.3965517241379,876.551724137931,877.0172413793103,877.051724137931,877.2241379310345,877.4827586206897,877.4655172413793,877.6034482758621,877.8965517241379,878.0689655172414,878.1551724137931,878.2758620689655,878.6206896551724,878.6896551724138,878.7758620689655,878.8965517241379,879.1206896551724,879.2931034482758,879.4137931034483,879.8448275862069,880.3965517241379,880.4827586206897,880.6724137931035,880.7586206896551,880.9827586206897,881.1551724137931,881.2068965517242,881.2758620689655,881.6551724137931,881.5,881.7241379310345,881.8620689655172,882.0,882.0344827586207,882.0862068965517,882.1034482758621,882.1896551724138,882.0862068965517,882.2068965517242,881.8275862068965,881.7413793103449,881.7241379310345,881.8965517241379,91471.86801426871,116164.54131985732,124212.07639714627,132424.8255053508,153463.7990487515,173875.15487514864,191277.04904875153,208039.3807966706,222470.28418549342,250385.80053507732,270820.89447086793,316772.5755053508,344298.0986920333,369458.3379904875,384232.51010701543,404995.7526753864,421675.6967895362,428914.4152794292,442708.7134363852,462983.0026753864,487114.41409036855,504405.1736028537,516340.3379904876,544891.4461950059,565410.0083234245,589200.9099286564,614828.1486325803,653132.9824613554,686383.2690249704,722222.7847800235,754200.5790725326,773778.7086801428,810179.525862069,840335.7859690845,857127.394768133,908885.448275862,931414.8953626635,925246.4925683711,950120.816884661,963356.3950653983,1002793.1132580263,1010814.1296076099,1052632.418549346,1100370.2607015457,1129625.820451843,1166119.6444708682
0,532,6.228294057407599,2.974476363809629,-1.6284849549202702,-1.4491374625241507,-0.17934749239611986,51.37426490880393,0.8925948609068406,774.7980624914723,1786.7713194160185,1543.2421203438396,15.315771234671749,874.551724137931,877.1724137931035,878.0,878.3275862068965,879.1896551724138,880.8965517241379,882.1551724137931,883.8448275862069,885.2586206896551,885.8448275862069,886.3448275862069,887.3275862068965,888.6551724137931,889.2758620689655,890.2586206896551,891.3620689655172,892.2413793103449,894.3275862068965,895.2413793103449,896.2758620689655,898.1034482758621,898.8965517241379,899.9827586206897,901.6896551724138,903.5172413793103,904.6206896551724,905.8965517241379,907.0172413793103,907.5344827586207,909.051724137931,909.9137931034483,911.0862068965517,911.8103448275862,913.3275862068965,914.8448275862069,915.1379310344828,916.5689655172414,918.1379310344828,918.2413793103449,919.6551724137931,920.6724137931035,921.5862068965517,922.1379310344828,923.051724137931,924.1034482758621,925.1379310344828,91471.86801426871,115053.24613555291,116779.06896551725,115150.15130796669,124510.32609988112,141585.644470868,152327.23454221163,163522.75178359094,185880.43311533885,204291.23454221163,223160.39833531508,245857.28923900117,270577.2948870392,292635.9239001189,314165.91587395954,334218.9206302021,353883.9072532699,376719.3237217598,389540.87277051125,407432.0618311534,429423.67895362666,456348.85136741976,484524.8445303211,502982.2140309155,522280.28418549354,535083.1664684898,551017.7824019025,576118.8445303212,587291.3177764566,616424.9456004754,642262.5960166468,656940.3546373365,659777.3605826398,668261.5651010702,682505.8552318669,703662.1189060643,717678.2107609988,743737.1533888229,755354.8382877526,776241.77764566,797981.9099286564,812110.2770511297,808943.1189060643,842839.3249108205,854043.5755053507,881424.4637336504
0,268,6.919297369047143,2.714056169849703,-1.1969141606337121,-1.0564769945442072,-0.14043716608950507,40.12574049459128,0.7001494052011228,609.4742333630232,1663.915383636595,1162.8899351062475,11.458862059999712,874.551724137931,874.7413793103449,874.6551724137931,874.8620689655172,874.6724137931035,873.7931034482758,873.7241379310345,873.7586206896551,874.3103448275862,874.6206896551724,875.3448275862069,875.7758620689655,876.4655172413793,876.4655172413793,876.5172413793103,876.8620689655172,877.3620689655172,877.3103448275862,877.7586206896551,878.3620689655172,878.7413793103449,878.7758620689655,879.0344827586207,879.2413793103449,879.5344827586207,879.6724137931035,879.7758620689655,879.551724137931,879.4310344827586,879.3103448275862,879.5862068965517,880.1206896551724,879.8103448275862,880.2931034482758,880.2586206896551,880.3448275862069,880.8965517241379,881.7586206896551,882.1551724137931,882.5344827586207,882.551724137931,881.9655172413793,882.3448275862069,882.7931034482758,883.6379310344828,883.8275862068965,91471.86801426871,102169.46759809752,102359.50178359097,103622.53269916764,107981.87544589773,120675.85374554103,126410.5445897741,137549.63139120094,141728.93816884662,150734.89060642093,156097.5362663496,172675.4152794293,182340.69708680143,195094.07639714621,196534.56004756247,210877.22235434008,208937.92063020213,215469.903686088,225078.1486325803,232526.47235434008,244441.6400118906,253367.89803804993,264369.3781212842,277184.01070154575,284729.1108799049,292979.4961355529,311563.27734839474,334552.109393579,359070.17627824016,388341.179548157,406797.0011890607,431113.0026753864,465967.42954815703,485188.93133174797,494571.1572532699,522008.01902497024,544967.8513674198,552722.803804994,561153.1655766944,588966.73156956,606330.1783590963,636198.2401902499,648064.5707491081,666338.6123662307,686861.0930439952,721494.1771700357
0,335,7.6800337605092714,2.8389525276491008,-1.1596761532776612,-0.9846613825254953,-0.1750147707521657,50.2341251476306,0.872854202085196,609.6462940943321,1793.6704716607214,1318.1784383670233,13.671842218868292,874.551724137931,876.0689655172414,877.1896551724138,877.5344827586207,878.5344827586207,880.3620689655172,882.0,883.3448275862069,884.2586206896551,884.8965517241379,885.7068965517242,886.6206896551724,888.1896551724138,889.8103448275862,891.0344827586207,891.9655172413793,893.1379310344828,894.1379310344828,895.8103448275862,896.3793103448276,897.6206896551724,899.948275862069,901.1034482758621,902.2586206896551,903.9137931034483,905.0,906.4137931034483,907.448275862069,908.5,909.6724137931035,910.7413793103449,912.2758620689655,913.551724137931,915.1724137931035,916.2413793103449,916.8103448275862,917.7068965517242,918.6551724137931,919.3965517241379,920.5172413793103,922.1724137931035,923.5,924.2413793103449,926.3793103448276,928.551724137931,930.3103448275862,91471.86801426871,105133.82282996432,103099.18816884662,103562.17984542208,107952.59363852555,121264.29994054696,130628.1724137931,144394.50178359094,150760.12277051125,161563.71343638527,172273.7244351962,191350.75267538644,204386.49851367416,213904.32609988106,221577.5505350773,231939.13674197384,231197.25683709866,247317.36028537454,252566.53299643283,267944.9940546968,281132.54577883467,284870.11801426875,309395.09274673014,314612.67449464917,325545.28567181923,327544.3103448276,336636.79429250886,349421.86801426875,367528.2844827586,377494.77199762187,399252.4675980975,428763.1997621878,445620.76456599287,464197.6599286564,484221.87277051125,514699.0157550536,531537.6554696789,545545.77764566,556207.6186087992,571120.4565992866,600461.6599286563,633475.9051724138,663396.527942925,684097.8216409037,710678.3507728896,763055.9381688465
0,337,8.4061788169817,3.3166609910027733,-1.095888770300097,-0.9503039686788528,-0.14558480162124424,41.54461511799567,0.7257945864688858,610.1961722488038,1662.1178915993412,1223.0865950270609,13.90285881994679,874.551724137931,876.5172413793103,877.1724137931035,878.5172413793103,878.8620689655172,880.1896551724138,880.8965517241379,882.1896551724138,883.7241379310345,884.1206896551724,885.6724137931035,886.6034482758621,887.5344827586207,888.1896551724138,889.1034482758621,890.3965517241379,891.5344827586207,892.2241379310345,893.051724137931,893.9827586206897,895.4827586206897,896.1896551724138,897.0,898.1896551724138,898.9137931034483,899.8103448275862,900.6379310344828,901.6206896551724,902.1034482758621,903.4655172413793,904.1034482758621,905.4310344827586,906.3275862068965,907.0689655172414,908.1724137931035,909.2413793103449,910.2758620689655,911.5689655172414,913.3448275862069,914.1206896551724,915.8448275862069,917.2413793103449,918.051724137931,919.1379310344828,920.551724137931,922.6896551724138,91471.86801426871,110587.5600475624,103175.34958382879,103814.0083234245,107020.18787158144,112725.94678953626,117727.644470868,122518.60196195004,128980.64803804994,142052.83026159334,149397.18579072534,167443.9289536267,164304.3867419738,166826.4640309156,170441.36860879906,173656.51516052324,169160.66260404282,174300.6566587396,175831.39387633768,179824.46521997626,188016.11177170035,187015.84334126042,193572.1724137931,201364.84334126042,203764.21670630205,211517.153686088,221388.3689060642,240584.68370986916,259841.40309155767,278520.5591557669,296785.8858501784,319068.7624851368,352944.11682520807,367862.5124851367,392586.418549346,429345.73483947676,450457.75148632575,467090.48662306776,495515.19143876346,519694.51991676574,555620.3724732462,600864.7003567182,625050.7731866825,671645.0844233056,708080.040428062,765637.8347205707
0,209,8.99892781520712,3.7521608766468098,-1.2610704199815153,-1.0918153893843858,-0.1692550305971294,48.30819032687948,0.8406965892920358,581.9604086845466,1721.1763729246488,1251.9863346104726,11.352143262169301,874.551724137931,875.5,876.1724137931035,876.8103448275862,877.1724137931035,877.7413793103449,878.0,878.0862068965517,878.8620689655172,878.7931034482758,878.9137931034483,879.1034482758621,879.1896551724138,880.1034482758621,880.9310344827586,881.0862068965517,882.7758620689655,883.2586206896551,883.9655172413793,884.0344827586207,884.6034482758621,885.0862068965517,885.948275862069,886.1724137931035,886.4310344827586,886.551724137931,887.1724137931035,887.4655172413793,888.6379310344828,889.5344827586207,890.2586206896551,891.0172413793103,891.3103448275862,891.9655172413793,892.7758620689655,893.551724137931,894.2413793103449,894.9137931034483,896.3448275862069,897.1551724137931,897.8275862068965,898.6551724137931,899.5689655172414,899.9827586206897,900.2068965517242,900.8793103448276,91471.86801426871,98023.66379310345,99773.62544589775,94925.67092746729,101880.5219976219,113199.12277051127,116354.06896551725,128174.04429250892,133161.0154577883,144956.06064209275,152031.83739595715,161906.60998810938,174861.0157550535,185331.71343638527,190803.3400713436,208203.8718787158,218648.346313912,223728.5710463734,227901.34363852555,237995.55053507732,260427.6875743163,273078.3546373365,286690.70422116533,297213.6599286564,304568.555588585,312107.35077288945,323064.4530321047,338378.283293698,364216.23097502976,384839.00743162894,401552.43311533885,429632.2583234246,457412.28299643286,488503.6539833531,513388.4152794292,536986.7645659929,563649.1141498216,580892.2856718191,597674.2259215219,616618.4414387634,631777.3151010701,669149.8121284186,686984.3831747919,702035.6031510107,730477.6123662306,774624.1750891797
0,111,9.66038385204885,3.723926767193038,-1.1802687398138585,-1.0173113307546113,-0.1629574090592471,46.46419608544107,0.8085504620176399,750.9937760709793,1724.1520889889425,1426.8032841157385,13.425035407930192,874.551724137931,876.4827586206897,877.4310344827586,877.2931034482758,877.9655172413793,878.8620689655172,879.6724137931035,880.5344827586207,881.3275862068965,880.8965517241379,881.948275862069,882.3275862068965,883.3620689655172,884.3620689655172,885.0344827586207,885.9655172413793,886.6896551724138,888.1551724137931,888.7413793103449,888.9827586206897,890.0862068965517,891.051724137931,892.3448275862069,892.9827586206897,893.9310344827586,894.9655172413793,895.8965517241379,896.7758620689655,897.6724137931035,898.2586206896551,899.5172413793103,899.948275862069,900.3103448275862,901.2586206896551,902.4137931034483,902.6379310344828,903.0689655172414,904.0689655172414,905.1724137931035,905.7758620689655,906.1034482758621,906.948275862069,906.8620689655172,907.551724137931,908.6206896551724,909.7931034482758,91471.86801426871,116017.31866825208,115935.76248513673,117666.4140903686,124294.96432818075,134221.60166468492,140337.3237217598,149467.38674197384,165008.1168252081,177432.43757431625,187955.29042806185,208890.56510107015,213443.47235434008,223964.12752675387,226988.03329369798,239785.2401902497,242689.5243757432,253722.09661117717,260039.26070154583,270382.8100475624,272205.1132580262,280230.2904280618,290923.84661117714,293897.0514268727,303848.4435196195,303211.6884661118,313168.6789536266,337443.4152794293,345808.15130796673,361325.70897740783,373110.7324613555,379208.49732461345,394993.62782401906,406957.5020808561,417840.51843043993,434730.19649227103,446494.89179548144,457112.82282996434,469593.7978596909,485676.5532104636,507424.7824019025,532928.462841855,543573.325802616,582590.1783590963,604582.0630202141,645185.8882282996
