,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24290,25377,26131,27101,28018,28890,29894,30449,31189,31384,32538,32776,33467,34237,35239,36088,37054,38011,38043,39153,39385,39869,40853,41969,42845,43920,44989,45546,45967,47359,48188,48990,50301,51313,52900,53458,53526,54154,55992,56712,57538,58526,59331,60234,60994,62058,63155,64084,65100,65915,67184,68054,69281,70708,71288,72506,73231,74111,75049
2,54329,24412,25496,26234,27198,28121,29017,30043,30535,31316,31455,32644,32889,33577,34351,35369,36178,37142,38126,38139,39301,39479,39975,40958,42099,42977,44035,45114,45636,46055,47499,48285,49121,50407,51454,52967,53645,53662,54253,56113,56837,57683,58640,59428,60382,61093,62135,63284,64212,65183,66069,67332,68151,69367,70806,71382,72622,73365,74247,75147
3,54319,24491,25602,26324,27267,28203,29110,30157,30601,31404,31513,32742,32982,33681,34451,35495,36250,37211,38208,38214,39419,39538,40054,41053,42235,43059,44183,45238,45733,46120,47665,48397,49229,50505,51525,53038,53751,53783,54320,56212,56910,57833,58756,59523,60538,61178,62209,63382,64304,65262,66180,67458,68221,69440,70877,71455,72705,73448,74343,75202
4,54101,24661,25791,26474,27414,28340,29282,30346,30730,31619,31636,32928,33153,33835,34615,35712,36395,37385,38400,38402,39690,39714,40204,41232,42453,43259,44457,45540,45948,46273,47880,48552,49415,50668,51668,53167,53962,53982,54478,56354,57052,58041,58916,59667,60746,61312,62311,63547,64502,65381,66388,67663,68337,69565,71020,71613,72866,73627,74528,75313
5,66091,24869,25990,26653,27586,28505,29467,30627,30898,31854,31874,33079,33393,34025,34817,35954,36536,37531,38626,38643,39983,40008,40393,41431,42687,43466,44710,45778,46124,46441,48140,48741,49655,50872,51855,53315,54251,54276,54708,56549,57225,58319,59122,59851,61022,61499,62469,63792,64750,65545,66668,67927,68501,69725,71184,71811,73084,73868,74785,75467
6,66031,24984,26130,26757,27709,28600,29579,30787,31014,32004,32022,33186,33532,34117,34947,36102,36617,37623,38744,38767,40157,40180,40525,41537,42826,43586,44843,45910,46221,46538,48315,48850,49812,51018,51973,53409,54425,54433,54816,56655,57329,58466,59234,59955,61182,61608,62553,63931,64886,65668,66873,68128,68594,69833,71280,71933,73205,74006,74942,75547
7,66041,25111,26253,26876,27823,28697,29694,30941,31108,32151,32182,33287,33674,34220,35066,36255,36708,37721,38871,38886,40329,40329,40640,41657,42981,43717,44976,46061,46357,46641,48460,48966,49947,51144,52086,53498,54582,54626,54930,56776,57446,58631,59354,60064,61350,61744,62652,64104,65027,65798,67034,68296,68712,69934,71367,72064,73332,74166,75107,75630
8,66051,25202,26353,26950,27901,28764,29775,31043,31161,32260,32304,33364,33764,34286,35144,36379,36770,37793,38956,38961,40441,40441,40730,41736,43078,43807,45052,46147,46505,46757,48626,49045,50082,51256,52189,53578,54715,54813,55004,56848,57626,58736,59437,60142,61461,61810,62722,64205,65133,65868,67152,68410,68779,70048,71467,72138,73411,74258,75200,75681
9,66379,25354,26484,27040,28019,28885,29899,31231,31263,32407,32487,33506,33907,34401,35280,36562,36851,37905,39100,39189,40631,40684,40828,41875,43262,43964,45170,46291,46613,46989,48772,49254,50258,51437,52319,53684,54932,54967,55094,56962,57723,58965,59545,60250,61627,61903,62824,64374,65254,65949,67312,68552,68882,70170,71575,72246,73566,74388,75338,75752
10,66359,25435,26562,27119,28086,28945,29989,31341,31378,32564,32597,33607,34002,34488,35400,36713,36908,38008,39251,39257,40773,40835,40929,41985,43380,44072,45266,46391,46704,47054,48897,49383,50404,51521,52405,53761,55056,55064,55189,57052,57798,59076,59637,60353,61741,61974,62915,64472,65384,66025,67457,68666,68949,70275,71669,72331,73665,74473,75438,75806
