,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24317,25330,26104,27080,28032,28846,29881,30483,31133,31433,32562,32721,33469,34208,35188,36090,37050,37980,38008,39095,39450,39826,40864,41921,42830,43832,44908,45532,46037,47305,48161,48950,50221,51236,52832,53313,53354,54112,55925,56738,57518,58427,59250,60130,60947,62045,63039,63969,65031,65850,67066,67993,69264,70651,71218,72423,73187,73999,75046
2,54329,24445,25401,26192,27170,28150,28931,30026,30588,31246,31541,32694,32791,33557,34303,35267,36177,37142,38097,38123,39212,39580,39929,40961,42040,42929,43930,45005,45609,46167,47427,48240,49034,50318,51334,52950,53430,53461,54222,56089,56887,57655,58520,59340,60223,61041,62147,63136,64066,65149,65987,67185,68106,69399,70764,71285,72517,73279,74075,75138
3,54319,24536,25457,26262,27236,28234,28988,30119,30676,31315,31620,32816,32866,33646,34376,35345,36254,37205,38184,38206,39300,39688,39997,41058,42147,43027,44021,45124,45683,46276,47552,48323,49105,50439,51419,53024,53507,53544,54304,56198,56983,57775,58606,59422,60315,61121,62230,63199,64129,65243,66097,67275,68165,69511,70847,71348,72589,73355,74129,75207
4,54101,24736,25602,26392,27361,28391,29104,30327,30828,31444,31766,33017,33069,33799,34503,35468,36386,37334,38342,38368,39491,39898,40129,41227,42324,43187,44208,45337,45844,46517,47744,48446,49227,50577,51568,53185,53655,53706,54448,56383,57157,57971,58732,59543,60455,61259,62369,63336,64251,65421,66298,67430,68290,69710,71003,71468,72733,73505,74234,75332
5,66091,25002,25777,26571,27506,28589,29259,30571,31058,31605,31974,33297,33322,33959,34687,35634,36552,37490,38533,38594,39711,40169,40295,41401,42538,43371,44383,45528,46023,46786,47958,48614,49366,50766,51783,53368,53869,53946,54685,56661,57414,58248,58898,59703,60640,61457,62576,63520,64427,65644,66550,67628,68427,69977,71228,71614,72924,73710,74386,75504
6,66031,25150,25873,26671,27594,28701,29365,30722,31181,31695,32118,33424,33471,34055,34806,35720,36672,37625,38643,38731,39847,40323,40399,41509,42667,43472,44479,45626,46118,46932,48097,48707,49449,50881,51899,53475,53992,54079,54807,56824,57559,58398,58995,59789,60765,61557,62706,63615,64540,65798,66727,67750,68507,70142,71361,71719,73050,73824,74466,75593
7,66041,25296,25957,26785,27685,28822,29454,30884,31300,31801,32240,33561,33621,34180,34911,35806,36777,37725,38763,38870,39984,40477,40521,41617,42794,43582,44597,45760,46216,47084,48215,48798,49526,50989,52015,53577,54116,54212,54959,56996,57731,58556,59094,59884,60883,61679,62844,63735,64668,65940,66870,67889,68618,70303,71482,71802,73157,73940,74571,75697
8,66051,25399,26031,26867,27754,28906,29508,30987,31373,31876,32310,33650,33727,34247,34974,35875,36845,37803,38850,38946,40066,40580,40595,41677,42874,43676,44693,45846,46287,47208,48322,48880,49594,51068,52109,53652,54217,54293,55059,57123,57867,58657,59162,59961,60962,61744,62927,63800,64743,66043,66959,67968,68677,70412,71584,71859,73250,74016,74621,75754
9,66379,25536,26114,26979,27844,29042,29587,31152,31485,31967,32410,33828,33899,34350,35084,35963,36959,37893,38946,39058,40196,40719,40754,41793,43017,43808,44848,45966,46456,47352,48459,48961,49697,51185,52246,53776,54341,54411,55178,57257,58016,58785,59254,60059,61065,61840,63059,63908,64834,66179,67089,68072,68750,70574,71715,71932,73372,74120,74700,75838
10,66359,25634,26167,27040,27901,29132,29642,31267,31564,32030,32505,33974,34034,34418,35181,36033,37036,37974,39036,39143,40286,40843,40860,41884,43106,43890,44927,46043,46523,47469,48570,49038,49759,51272,52335,53863,54437,54491,55262,57370,58135,58888,59319,60126,61142,61908,63142,63996,64910,66312,67196,68164,68814,70695,71804,71998,73466,74202,74758,75896
11,62141,25739,26228,27124,27975,29227,29696,31366,31640,32119,32578,34109,34114,34493,35257,36105,37128,38080,39139,39222,40404,40949,40966,42000,43217,43996,45081,46196,46648,47614,48721,49122,49838,51450,52477,54006,54571,54593,55424,57560,58376,59046,59414,60226,61258,62000,63257,64085,65060,66484,67345,68285,68905,70915,71938,72066,73607,74311,74836,75974
12,62059,25865,26294,27211,28039,29326,29776,31487,31746,32192,32674,34223,34243,34583,35363,36175,37208,38154,39232,39323,40514,41084,41089,42083,43315,44088,45164,46284,46737,47756,48834,49195,49912,51556,52571,54100,54664,54758,55526,57686,58503,59180,59491,60307,61361,62082,63358,64177,65159,66590,67458,68374,68966,71073,72037,72130,73704,74418,74908,76062
13,62049,25996,26360,27304,28123,29442,29852,31643,31849,32268,32777,34344,34359,34657,35473,36248,37292,38247,39318,39452,40671,41208,41208,42183,43445,44181,45282,46398,46832,47888,48937,49274,49978,51670,52663,54206,54761,54880,55643,57844,58622,59305,59603,60381,61454,62187,63466,64258,65253,66709,67583,68486,69052,71235,72149,72197,73798,74536,74981,76143
14,62039,26059,26406,27344,28158,29497,29887,31716,31904,32308,32830,34404,34429,34696,35521,36298,37350,38300,39381,39506,40733,41278,41286,42234,43508,44231,45336,46452,46888,47956,48993,49319,50024,51731,52719,54258,54811,54940,55716,57914,58683,59373,59645,60447,61502,62230,63516,64297,65295,66764,67644,68561,69086,71323,72200,72230,73849,74589,75026,76183
15,62029,26182,26474,27426,28229,29600,29951,31840,31997,32377,32941,34519,34548,34777,35607,36366,37433,38379,39467,39613,40850,41405,41413,42344,43614,44318,45426,46542,46971,48079,49098,49393,50097,51834,52823,54344,54927,55059,55818,58064,58819,59501,59721,60524,61602,62317,63609,64377,65391,66872,67778,68659,69166,71461,72300,72313,73937,74707,75099,76263
16,62019,26245,26508,27467,28281,29648,29984,31895,32060,32411,32991,34570,34626,34813,35656,36401,37509,38414,39514,39664,40907,41472,41504,42391,43672,44368,45507,46585,47010,48150,49158,49435,50131,51877,52872,54388,54977,55119,55868,58151,58889,59561,59759,60562,61645,62369,63659,64419,65445,66930,67858,68731,69197,71541,72359,72391,73982,74783,75132,76315
