,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24293,25331,26096,27060,27994,28854,29858,30449,31158,31377,32496,32737,33507,34206,35153,36094,37032,37967,37981,39043,39384,39828,40838,41869,42776,43780,44824,45488,45962,47261,48131,48901,50130,51135,52716,53210,53360,54062,55775,56677,57459,58362,59208,60066,60880,61952,62925,63904,65001,65808,66996,67969,69209,70570,71246,72340,73169,73997,75046
2,54329,24408,25435,26172,27150,28077,28927,29985,30548,31259,31455,32594,32820,33631,34329,35240,36178,37109,38069,38095,39137,39486,39901,40955,41954,42871,43866,44921,45584,46041,47352,48206,48984,50219,51240,52843,53276,53489,54145,55898,56795,57600,58449,59314,60141,60960,62056,63002,64012,65132,65952,67102,68057,69305,70656,71368,72423,73275,74089,75179
3,54319,24493,25515,26233,27221,28176,28986,30076,30648,31341,31504,32653,32899,33727,34415,35308,36247,37172,38154,38199,39210,39547,39960,41041,42023,42939,43947,44998,45652,46104,47438,48276,49065,50291,51311,52945,53328,53574,54227,55987,56869,57704,58528,59411,60227,61045,62129,63096,64090,65230,66037,67214,68115,69387,70721,71436,72527,73345,74159,75261
4,54101,24647,25652,26345,27356,28278,29115,30252,30803,31516,31608,32773,33021,33912,34607,35423,36391,37304,38306,38377,39331,39681,40071,41199,42149,43078,44097,45154,45806,46223,47573,48395,49182,50422,51457,53136,53435,53750,54334,56146,57014,57897,58668,59566,60359,61170,62287,63199,64241,65410,66215,67365,68227,69533,70839,71577,72634,73487,74290,75442
5,66091,24867,25822,26526,27534,28423,29278,30487,31001,31722,31754,32932,33203,34166,34832,35562,36556,37473,38505,38640,39520,39854,40219,41409,42304,43236,44284,45332,46003,46389,47751,48550,49383,50571,51654,53370,53583,54004,54485,56362,57221,58160,58856,59776,60528,61352,62495,63351,64462,65666,66447,67560,68388,69726,70997,71779,72807,73723,74467,75680
6,66031,24994,25929,26613,27636,28512,29372,30623,31116,31840,31857,33033,33306,34314,34956,35662,36661,37562,38620,38808,39620,39954,40308,41527,42397,43329,44372,45447,46111,46480,47855,48655,49499,50704,51763,53516,53664,54161,54571,56476,57334,58334,58965,59916,60627,61454,62615,63458,64576,65832,66583,67690,68489,69838,71119,71894,72887,73842,74586,75812
7,66041,25119,26032,26700,27738,28602,29500,30767,31229,31970,31978,33119,33420,34455,35077,35746,36760,37653,38751,38973,39714,40057,40397,41665,42493,43429,44466,45548,46222,46577,47971,48740,49590,50840,51883,53651,53746,54306,54658,56617,57454,58492,59068,60051,60726,61585,62748,63548,64708,65974,66714,67799,68577,69968,71219,72017,73003,73971,74704,75947
8,66051,25195,26103,26762,27809,28660,29575,30864,31307,32046,32046,33181,33481,34550,35154,35802,36829,37710,38829,39072,39775,40115,40477,41750,42552,43510,44538,45637,46297,46635,48051,48801,49658,50897,51964,53745,53796,54397,54724,56718,57543,58595,59135,60126,60791,61652,62824,63632,64787,66067,66794,67898,68632,70044,71287,72084,73089,74045,74771,76032
9,66379,25307,26191,26832,27900,28762,29666,30994,31407,32165,32182,33272,33579,34697,35267,35898,36944,37797,38938,39195,39875,40230,40550,41867,42640,43628,44634,45757,46414,46729,48147,48902,49742,50982,52066,53873,53899,54528,54802,56871,57640,58741,59219,60235,60881,61744,62936,63723,64898,66201,66909,68006,68717,70138,71368,72172,73167,74155,74857,76141
10,66359,25389,26255,26902,27960,28816,29764,31085,31477,32249,32262,33361,33648,34797,35350,35957,37019,37860,39022,39286,39954,40301,40604,41956,42703,43694,44723,45840,46483,46788,48248,48966,49832,51063,52147,53976,53976,54617,54857,56969,57726,58838,59303,60316,60948,61810,63036,63808,64978,66299,67000,68085,68782,70218,71430,72239,73236,74242,74921,76225
