,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24317,25417,26106,27118,28052,28880,29883,30481,31162,31399,32533,32722,33486,34196,35271,36093,37106,37983,38016,39090,39381,39862,40866,41919,42878,43863,44976,45573,45978,47338,48146,48970,50197,51236,52829,53276,53335,54129,55928,56677,57488,58419,59298,60149,61018,62034,63097,64015,65045,65793,67110,68019,69238,70633,71283,72500,73197,74020,75060
2,54329,24456,25566,26181,27244,28157,29005,30031,30600,31272,31481,32610,32791,33584,34282,35421,36189,37255,38078,38122,39221,39452,39993,40976,42013,43021,43966,45075,45680,46095,47446,48236,49045,50288,51332,52975,53362,53428,54232,56044,56768,57585,58508,59400,60249,61142,62141,63222,64099,65171,65896,67249,68131,69332,70732,71391,72624,73277,74100,75152
3,54319,24558,25690,26241,27333,28237,29087,30134,30683,31360,31546,32699,32849,33673,34358,35554,36260,37372,38148,38230,39312,39512,40077,41058,42089,43131,44069,45197,45791,46192,47577,48317,49121,50401,51397,53063,53422,53514,54305,56131,56850,57664,58590,59509,60357,61248,62224,63321,64159,65254,65969,67346,68214,69401,70819,71479,72728,73330,74166,75238
4,54101,24761,25898,26356,27513,28386,29266,30337,30839,31515,31663,32857,32952,33828,34478,35765,36421,37631,38277,38390,39497,39640,40255,41234,42261,43338,44267,45424,46022,46377,47741,48437,49234,50533,51524,53262,53532,53665,54435,56256,56957,57811,58720,59651,60508,61424,62345,63499,64279,65423,66093,67536,68334,69538,70949,71651,72938,73445,74279,75367
5,66091,25018,26182,26503,27727,28569,29485,30575,31053,31713,31849,33002,33120,34011,34623,36034,36600,37915,38425,38632,39709,39794,40484,41429,42457,43587,44467,45625,46262,46599,47963,48624,49393,50699,51685,53494,53685,53887,54646,56428,57112,58006,58882,59849,60708,61687,62535,63768,64451,65626,66258,67762,68503,69704,71135,71881,73225,73621,74448,75538
6,66031,25163,26364,26584,27857,28681,29609,30719,31183,31835,31953,33108,33198,34115,34717,36201,36707,38086,38511,38784,39830,39881,40613,41542,42554,43734,44576,45758,46432,46746,48096,48735,49496,50802,51783,53642,53774,54007,54753,56521,57205,58118,58968,59953,60856,61844,62653,63907,64546,65767,66364,67916,68590,69800,71238,72022,73370,73699,74537,75625
7,66041,25312,26519,26665,28016,28818,29751,30868,31307,31945,32081,33194,33279,34218,34802,36366,36814,38253,38607,38924,39954,39967,40745,41664,42657,43883,44700,45879,46579,46864,48232,48828,49578,50896,51888,53774,53900,54125,54858,56611,57328,58228,59063,60060,60980,62014,62768,64077,64666,65896,66476,68064,68681,69899,71344,72188,73516,73795,74632,75722
8,66051,25420,26651,26712,28105,28891,29836,30963,31387,32021,32140,33253,33330,34302,34857,36511,36886,38378,38659,39028,40033,40049,40854,41740,42722,44005,44800,45998,46702,46938,48354,48897,49651,50964,51953,53885,53959,54210,54937,56674,57437,58316,59122,60133,61064,62102,62842,64183,64736,65997,66554,68161,68749,69987,71446,72280,73604,73848,74690,75785
9,66379,25555,26824,26839,28257,29009,29973,31113,31500,32125,32221,33369,33397,34438,34943,36700,36991,38560,38742,39150,40167,40193,40997,41880,42831,44226,44947,46124,46911,47041,48498,48991,49747,51070,52053,54085,54135,54354,55054,56784,57534,58424,59206,60241,61167,62243,62935,64324,64823,66126,66657,68279,68834,70090,71590,72410,73739,73920,74780,75869
