,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean54009,headway_mean54339,headway_mean54329,headway_mean54319,headway_mean54101,headway_mean66091,headway_mean66031,headway_mean66041,headway_mean66051,headway_mean66379,headway_mean66359,headway_mean62141,headway_mean62059,headway_mean62049,headway_mean62039,headway_mean62029,headway_mean62019,headway_mean70309,headway_mean70299,headway_mean70289,headway_mean70279,headway_mean70269,headway_mean71161,headway_mean71151,headway_mean71141,headway_mean71121,headway_mean71131,headway_mean71091,headway_mean72021,headway_mean72061,headway_mean72071,headway_mean84499,headway_mean84489,headway_mean84461,headway_mean84471,headway_mean84621,headway_mean84611,headway_mean84631,headway_mean84601,headway_mean75341,headway_mean75061,headway_mean76289,headway_mean76129,headway_mean76119,headway_mean76051,headway_mean75009,headway_var54009,headway_var54339,headway_var54329,headway_var54319,headway_var54101,headway_var66091,headway_var66031,headway_var66041,headway_var66051,headway_var66379,headway_var66359,headway_var62141,headway_var62059,headway_var62049,headway_var62039,headway_var62029,headway_var62019,headway_var70309,headway_var70299,headway_var70289,headway_var70279,headway_var70269,headway_var71161,headway_var71151,headway_var71141,headway_var71121,headway_var71131,headway_var71091,headway_var72021,headway_var72061,headway_var72071,headway_var84499,headway_var84489,headway_var84461,headway_var84471,headway_var84621,headway_var84611,headway_var84631,headway_var84601,headway_var75341,headway_var75061,headway_var76289,headway_var76129,headway_var76119,headway_var76051,headway_var75009
0,2530,4.134360259291769,1.5822878346360962,-1.527879142229412,-1.5039339978900996,-0.02394514433931232,5.898561295318887,0.11964567260562711,642.3209314097696,1381.6278157428499,879.6178182738547,13.992970102014553,874.551724137931,875.1034482758621,874.3965517241379,874.1896551724138,873.7068965517242,872.8620689655172,872.6551724137931,872.2068965517242,871.9137931034483,871.2586206896551,871.3275862068965,871.0172413793103,870.9137931034483,870.5344827586207,870.2758620689655,869.8103448275862,870.1551724137931,869.8965517241379,869.7758620689655,869.3448275862069,868.8620689655172,868.5344827586207,868.3275862068965,868.1551724137931,867.7758620689655,867.3620689655172,867.0862068965517,866.448275862069,865.9655172413793,865.8620689655172,866.3620689655172,865.9827586206897,865.0862068965517,864.6206896551724,864.551724137931,864.6551724137931,866.0,866.1206896551724,866.2241379310345,866.5689655172414,866.8965517241379,867.5689655172414,867.6206896551724,867.7413793103449,867.8448275862069,868.4310344827586,91471.86801426871,102825.57550535077,106600.61860879904,111741.94678953628,121599.65546967897,135300.774078478,145142.0190249703,156795.02615933408,168092.8029131986,189349.81242568375,204000.1857907253,230223.53418549345,242293.07877526755,262421.6626040428,271063.6480380499,289713.6709274673,294775.78626634966,308713.50653983356,321711.5876932224,342743.32936979784,365818.3947681332,384216.9729488704,405497.3237217598,428915.44143876346,448871.6911414982,466216.02407847793,481162.63049940544,523570.59215219977,551568.9643281808,593229.3947681331,627535.024078478,669128.7755648036,719183.6649821642,735805.0975029726,746804.3507728894,794868.9500594533,808448.2068965518,814338.4509512484,822531.346313912,830267.3486920333,854239.2306777646,852563.6245541023,868264.1319857313,902362.0193222355,917916.7862663494,928019.4176575505
0,844,5.555524302625108,1.6666140683080959,-1.0512742956578731,-1.024150344260673,-0.027123951397200374,6.871147092828399,0.13523606232773672,572.6336360687642,1323.1050924424262,774.4218293869608,9.030082045791296,874.551724137931,875.4655172413793,875.7413793103449,875.7758620689655,876.2068965517242,876.9655172413793,877.1034482758621,877.4137931034483,877.6896551724138,878.0689655172414,878.1551724137931,878.2586206896551,878.5,878.5862068965517,878.9655172413793,878.9310344827586,878.9827586206897,878.9137931034483,879.2758620689655,879.8620689655172,880.0862068965517,880.1896551724138,880.2931034482758,880.3275862068965,880.3793103448276,880.5862068965517,880.8620689655172,881.2931034482758,881.8275862068965,882.448275862069,882.6206896551724,882.6724137931035,882.6551724137931,882.7758620689655,882.7931034482758,882.9137931034483,883.0344827586207,883.0862068965517,883.1551724137931,883.7241379310345,884.1379310344828,884.5689655172414,884.4137931034483,884.3620689655172,884.3275862068965,884.5,91471.86801426871,98660.45570749108,99733.8124256837,103667.38079667064,108222.6468489893,119864.72294887037,125424.88585017837,133882.69084423306,140656.0760998811,153577.02972651608,161281.20005945303,174267.64001189056,184957.9051724138,196714.13912009512,201676.3781212842,214247.6159334126,218478.4652199762,226479.59601664686,232619.57907253274,245699.3258026159,263317.3546373365,269143.5329964328,280563.0692627824,294704.70303210465,307700.47681331745,318278.93222354347,328479.3947681332,351295.4830558859,368767.38406658743,383341.79904875153,396621.2699167658,412786.0478596909,434218.7086801427,438300.7601070155,441786.1985731273,457444.7684304399,468659.8608799049,476513.32015457796,482760.7173008324,492893.096313912,510549.774078478,530151.6245541023,552956.1391200951,573392.8861474436,587179.0133769322,603341.2844827586
0,2102,7.142483944180367,2.341488255166459,-2.053883144759855,-1.9507944818658314,-0.10308866289402364,29.218618773708357,0.516903515522972,714.3543499511242,1642.0679374389051,1235.7337895079831,11.714883759917909,874.551724137931,875.1034482758621,875.8448275862069,876.7241379310345,877.1551724137931,878.4310344827586,879.2068965517242,880.0172413793103,880.6896551724138,880.8448275862069,881.4655172413793,881.9827586206897,882.8448275862069,883.6551724137931,885.2586206896551,886.0344827586207,887.2068965517242,888.1896551724138,888.7068965517242,889.7758620689655,890.0,890.7068965517242,891.551724137931,892.8103448275862,893.8793103448276,894.7758620689655,895.8965517241379,896.5,897.5,897.6551724137931,898.3965517241379,899.2586206896551,899.7241379310345,900.7931034482758,901.8448275862069,902.4137931034483,903.2068965517242,904.1896551724138,905.1034482758621,906.0344827586207,907.1551724137931,907.9827586206897,908.3620689655172,909.3448275862069,910.2068965517242,911.5862068965517,91471.86801426871,95865.98929845422,96170.13109393578,100587.19976218787,105638.85523186681,115297.76248513674,126872.85374554101,145043.5686682521,163278.59334126042,184166.40695600474,202064.1453626635,226022.9134958383,255515.4414387634,281626.8466111772,296891.43311533885,324633.1712247324,339486.0606420928,369037.39506539836,388882.7244351962,418535.1394173602,467336.8620689655,498427.20719381684,538529.0059453031,567953.4985136742,586883.2095719381,631859.8635552912,660898.7479191439,701258.6293103448,743514.2155172414,789554.4673008325,824314.446195006,879620.9503567183,945253.8894173603,1002421.5434007135,1049522.0276456599,1095675.7598097501,1135496.8882282993,1177972.0847205708,1223018.4030915578,1259628.136741974,1311950.096611177,1356217.8790130797,1405946.6102853746,1455908.8810939356,1497522.5089179548,1582799.7598097504
0,1713,9.019028392331352,2.362198447359019,-1.9952900038510912,-1.882795559581073,-0.11249444427001834,32.218477870380696,0.567424567487042,852.7687389261228,1804.7185887065712,1507.3247053385717,16.830440376898434,874.551724137931,876.3103448275862,877.1206896551724,877.7931034482758,878.5862068965517,880.8448275862069,882.3275862068965,883.5172413793103,884.3448275862069,884.5,884.9137931034483,885.3103448275862,886.4137931034483,887.051724137931,887.3620689655172,888.0344827586207,889.0172413793103,889.6379310344828,890.448275862069,890.6551724137931,891.4310344827586,892.4310344827586,892.6379310344828,893.3275862068965,893.6896551724138,893.948275862069,894.4137931034483,895.6896551724138,896.1551724137931,897.551724137931,898.0689655172414,899.3965517241379,900.3965517241379,901.5689655172414,902.6551724137931,903.0344827586207,904.1896551724138,904.9137931034483,905.7931034482758,907.0344827586207,908.2068965517242,909.448275862069,909.2586206896551,909.9827586206897,910.4655172413793,912.0344827586207,91471.86801426871,113815.35196195004,119200.48543400712,122908.8192627824,130746.00118906064,146905.30350772888,164095.94441141497,179616.45659928655,197796.19143876334,218668.5603448276,237198.5615338882,276092.1105826397,295714.7598097503,315148.60077288945,339858.4033888229,352085.51605231874,379053.396254459,397129.3344233056,412321.3507728894,436759.6052318668,472250.3142092746,487827.93489892985,514634.40338882286,542008.0823424495,560304.2485136742,588934.5318073721,614119.6218787157,658280.6967895362,697635.6828180739,741610.6956004754,776774.8917954816,819380.9634363854,870496.2048156955,919873.2797265161,960612.8121284185,1005825.9298454222,1057563.8433412604,1101979.0442925089,1147682.3365041618,1178875.929845422,1244122.5434007137,1310435.936979786,1343770.8469084424,1389853.9824613556,1402255.8005350772,1502925.9988109395
0,590,10.674399074466749,3.011783127469578,-1.4239760968793482,-1.31775416275109,-0.10622193412825867,29.998556514549502,0.5289715324799754,691.3243947287772,1602.3939626110941,1209.816426601287,15.09825073207392,874.551724137931,876.9827586206897,877.8965517241379,878.8965517241379,880.2586206896551,882.6034482758621,883.8103448275862,884.9827586206897,886.3275862068965,887.7931034482758,888.5,888.9310344827586,890.1551724137931,890.8275862068965,891.1724137931035,892.1034482758621,892.7241379310345,893.3965517241379,894.2586206896551,895.1551724137931,896.8793103448276,898.2068965517242,899.2758620689655,900.4310344827586,901.5,902.8448275862069,904.5344827586207,906.0862068965517,907.0172413793103,908.4137931034483,909.4137931034483,911.1724137931035,912.4137931034483,914.0,914.7241379310345,915.3965517241379,916.7758620689655,918.0862068965517,918.8275862068965,920.2241379310345,921.4310344827586,922.9827586206897,923.5,924.5,925.4655172413793,927.5172413793103,91471.86801426871,110443.22384066587,105743.0927467301,103980.40309155767,109796.05380499408,119333.92895362664,130702.36058263973,141634.81004756244,155100.42717003566,180308.37098692034,200851.0775862069,235730.85731272298,257248.4414387634,267161.62544589775,276577.8668252081,287536.920332937,290808.3032104638,300381.10136741976,294980.5710463734,302604.1655766944,314866.5199167658,326500.577883472,339313.0273483948,347900.1417954816,364659.8362068966,376367.26902497024,386862.6626040428,404371.3201545779,422861.9134958383,438227.9322235434,451969.27705112955,482939.14268727705,505793.8632580261,527062.448275862,551109.2687277052,585758.2048156955,617724.8980380498,621771.8029131986,632878.9702734839,659095.3463139121,681121.7280023781,709543.1203923898,718696.525862069,759054.3534482758,760003.835017836,801334.7324613555
0,900,12.437197619471057,3.6377488223985694,-1.3560355194467246,-1.307980866259558,-0.048054653187166244,12.875503778896247,0.238976041534994,641.8912310286678,1390.2381353890628,933.2649963864129,14.25079485166581,874.551724137931,876.8275862068965,877.2068965517242,878.5344827586207,879.4310344827586,881.1724137931035,883.1034482758621,883.8965517241379,884.4655172413793,885.3103448275862,885.7241379310345,886.2586206896551,886.948275862069,888.0344827586207,888.3793103448276,889.0689655172414,889.6551724137931,890.1379310344828,890.9827586206897,891.8793103448276,893.0689655172414,893.551724137931,894.7758620689655,895.3620689655172,896.0172413793103,897.1206896551724,897.6551724137931,898.7758620689655,899.551724137931,900.551724137931,901.0,902.0344827586207,903.1896551724138,903.8448275862069,904.6896551724138,905.5,906.5172413793103,907.1206896551724,907.4827586206897,908.1551724137931,909.2413793103449,910.4310344827586,910.7586206896551,911.1724137931035,911.7586206896551,912.8103448275862,91471.86801426871,104203.76337693223,105894.75029726516,107891.59363852555,114966.62455410225,129646.5564803805,141267.47205707492,156107.26516052315,167999.1798454221,192384.31747919144,209456.71700356717,238001.60552913198,255693.8076694412,268759.3436385255,277812.3733650416,294218.2366230678,298875.63971462543,308320.63614744355,313706.0169441141,327439.7957788348,349631.4435196195,351759.14387633774,366790.27734839474,378304.26545778837,392743.7755648038,400472.7612960761,413963.225921522,450172.4497621879,476567.661117717,503262.69560047553,527285.3448275862,561162.585017836,607300.6709274673,619552.1310939359,634011.8002378122,679637.9051724138,708999.8014268727,707366.0716409036,711958.0428061831,727467.1655766944,757818.7003567182,789549.7624851367,835492.3210463733,875668.1426872772,887757.90725327,929291.1192033293
0,1597,14.116321859688595,3.727524339125074,-1.5158845087337103,-1.4679463498068257,-0.047938158926884356,12.91194116078304,0.23937379124174518,640.8481082573875,1392.1355979011323,933.1146092239712,13.483777413922876,874.551724137931,874.448275862069,874.4655172413793,874.3448275862069,872.9655172413793,871.9827586206897,871.3448275862069,870.9310344827586,870.6034482758621,870.0,869.948275862069,869.3620689655172,868.8103448275862,867.7586206896551,867.9827586206897,867.6379310344828,867.5172413793103,866.948275862069,866.948275862069,867.2068965517242,866.6379310344828,866.8103448275862,866.7931034482758,866.7758620689655,866.1551724137931,866.3448275862069,865.7931034482758,864.6206896551724,863.8965517241379,862.9827586206897,863.2068965517242,862.6034482758621,861.3793103448276,861.3448275862069,860.7931034482758,860.3448275862069,859.8448275862069,859.8448275862069,860.2758620689655,859.5344827586207,858.8793103448276,857.5689655172414,856.9655172413793,856.0862068965517,855.7931034482758,854.9655172413793,91471.86801426871,106528.0059453032,110348.35225921524,114776.5707491082,122558.37812128419,138585.5686682521,151020.29488703926,166195.4780023781,172461.20481569562,187944.93103448275,195995.60077288945,214002.92063020213,230907.77437574317,250259.14863258024,258568.08590963142,273677.299940547,287751.6634958383,298291.911117717,309667.11801426875,326541.61236623063,347514.9551129608,360122.01575505355,368258.0261593341,384791.96700356714,403438.85523186694,417354.8810939358,434846.3020214032,464387.8561236623,489465.57550535083,509231.05142687267,535094.1640903685,559142.9979191439,598738.0975029727,626999.6397146255,647885.0606420927,680824.3293697978,702468.1310939358,722384.6138525564,741628.4066587393,777477.110879905,811512.3819857313,860321.6590368608,903694.653983353,941888.5270511296,957798.3365041618,1005859.0332936979
0,1536,15.782207768538902,4.28179262458593,-1.1800819800540736,-1.1543509136981764,-0.025731066355896934,6.462281162008182,0.12864358558649935,573.9563138806462,1296.6627101879328,779.8946587537092,9.719405139719338,874.551724137931,874.3965517241379,874.0689655172414,873.7413793103449,872.7586206896551,871.5862068965517,871.2068965517242,870.448275862069,869.9137931034483,869.6724137931035,869.1724137931035,868.7413793103449,868.2413793103449,867.9827586206897,867.7931034482758,867.2413793103449,866.9655172413793,866.6896551724138,866.3965517241379,866.0172413793103,865.2931034482758,865.1724137931035,865.1551724137931,864.6724137931035,864.2931034482758,864.1379310344828,863.7586206896551,863.2241379310345,863.1206896551724,862.4827586206897,862.3965517241379,861.7931034482758,861.1551724137931,860.6551724137931,860.3965517241379,859.6206896551724,859.2758620689655,859.2758620689655,859.0172413793103,858.448275862069,857.8965517241379,856.9137931034483,856.3965517241379,856.0172413793103,855.6206896551724,854.8448275862069,91471.86801426871,96715.61860879905,97193.96076099882,97982.36414982165,102549.8727705113,108737.55291319855,114879.68133174792,123478.31629013078,129833.42360285376,140514.4616527943,148234.5909631391,162378.77794292508,171571.45897740783,186929.9479785969,192422.92271105823,205278.3900118906,213938.68846611178,219076.9726516052,228955.72205707492,240552.2928061831,257115.34512485136,272943.14268727705,281372.57936979784,291292.87544589775,303800.68995243753,314290.32580261596,324011.0107015458,344410.7945897741,353633.6578478002,365710.49108204513,378665.9634363852,390273.3365041617,411419.78626634966,422686.70868014276,430533.2737812128,451673.20095124847,466385.88941736025,469896.6480380498,478672.81004756247,488047.69560047565,509046.8168846611,529859.492568371,546872.8944708679,565667.8445303211,581395.1319857313,589806.5104042805
0,485,17.26944661962575,5.653289907965167,-1.0615298185691087,-1.0102539302642453,-0.05127588830486338,13.815569029863694,0.2557843798570173,722.0213839015533,1394.888171609172,1106.1198977876404,14.406951314618459,874.551724137931,876.5344827586207,876.7413793103449,876.551724137931,876.1206896551724,876.1034482758621,875.8965517241379,875.551724137931,875.3965517241379,874.8275862068965,874.6034482758621,874.5172413793103,874.2586206896551,873.8448275862069,873.9655172413793,874.6034482758621,874.7931034482758,874.5862068965517,874.948275862069,874.6724137931035,874.2931034482758,874.5344827586207,874.0862068965517,874.0862068965517,874.3965517241379,874.4137931034483,874.5689655172414,874.3620689655172,874.3620689655172,874.948275862069,875.3620689655172,875.2586206896551,874.8275862068965,874.6206896551724,874.2931034482758,873.6724137931035,873.3620689655172,873.2586206896551,873.051724137931,872.7586206896551,872.448275862069,872.0689655172414,871.5,871.1551724137931,871.2758620689655,871.5689655172414,91471.86801426871,112277.80053507727,115607.57104637337,120880.4887039239,130235.55439952438,131674.85136741973,135834.81688466112,136225.4542211653,142740.03240190248,147641.41854934604,156124.92895362663,173846.38763376934,180095.98483947682,191899.0966111772,193149.13674197384,200301.75653983353,201303.12960761,203642.41498216407,208949.60077288942,217340.9788941736,228012.86236623063,229854.007431629,235216.25118906068,243608.38912009512,253602.61860879906,262562.3460166469,269257.2107609988,285498.88614744355,297303.6792508918,315240.80766944116,331195.7137336504,344957.32966706296,364903.970273484,377686.13198573136,390084.1382282996,422024.01337693236,431831.4723543401,436085.0193222355,438347.84215219977,448475.5624256837,467904.936979786,488284.7883472058,508917.4568965517,531443.4069560048,541652.7859690844,569942.9348989299
0,1172,18.757290155038067,5.31586804095356,-0.9423815835199381,-0.8981047729207071,-0.04427681059923097,11.776395109402857,0.22075117785505513,553.3436540429888,1371.3888178096213,828.7749488229273,10.817644899709636,874.551724137931,874.6724137931035,874.7241379310345,874.2931034482758,873.7413793103449,872.6896551724138,872.0862068965517,871.4310344827586,870.9310344827586,870.5172413793103,870.2413793103449,870.1034482758621,869.7931034482758,869.2931034482758,869.8965517241379,869.3448275862069,869.0,868.6379310344828,868.4310344827586,868.0689655172414,867.4827586206897,867.0689655172414,867.2758620689655,866.8103448275862,866.3965517241379,866.6034482758621,866.7241379310345,866.1551724137931,865.7586206896551,865.1551724137931,864.8448275862069,864.4655172413793,863.8620689655172,863.3965517241379,862.9310344827586,862.3103448275862,861.8620689655172,861.6206896551724,861.3275862068965,860.8275862068965,860.7586206896551,860.1896551724138,859.4137931034483,859.5862068965517,859.3620689655172,858.7931034482758,91471.86801426871,99414.25475624255,100810.16527942925,103289.44857312723,110122.67449464923,117438.86920332936,119771.6649821641,124083.65903686086,124932.75386444709,129913.38763376932,136906.35552913198,151597.5065398335,155420.81926278237,160619.103745541,160844.26516052315,169068.63971462546,173134.37931034484,179425.85166468492,183158.79696789535,189735.581450654,203547.2152199762,209981.89179548158,214757.6135552913,222647.01575505352,230534.06688466112,236266.75653983353,237625.78596908442,258653.26902497033,268058.2520808561,283093.8207491082,298905.23454221163,318876.8350178359,350779.22235434,366844.4117122473,384613.1676575505,408127.62782401906,425906.1189060642,431607.85612366226,440586.73751486326,466451.65992865624,490503.2865636148,518913.63644470857,550380.5873959572,574739.6563614744,584946.8171819262,610430.1640903687
