,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24301,25403,26104,27114,28026,28868,29862,30440,31154,31379,32566,32773,33473,34219,35243,36133,37054,38022,38028,39068,39409,39817,40913,41926,42862,43950,44913,45539,46036,47316,48267,48964,50235,51254,52947,53318,53335,54153,55945,56740,57485,58499,59340,60159,61022,62114,63044,64010,65066,65849,67091,68097,69222,70694,71285,72503,73245,74064,75097
2,54329,24438,25540,26190,27245,28109,28954,29969,30525,31247,31447,32691,32872,33567,34325,35364,36232,37140,38143,38170,39156,39504,39916,41053,42039,42969,44062,44985,45666,46151,47424,48408,49051,50349,51342,53085,53402,53424,54242,56076,56847,57603,58620,59437,60274,61138,62236,63126,64091,65189,65954,67176,68224,69315,70799,71386,72601,73371,74175,75193
3,54319,24535,25644,26254,27342,28181,29019,30043,30590,31328,31499,32814,32949,33668,34421,35490,36321,37205,38235,38321,39237,39572,39986,41188,42151,43073,44162,45072,45765,46260,47564,48532,49148,50477,51444,53185,53460,53491,54308,56185,56938,57717,58726,59539,60402,61232,62354,63215,64166,65269,66043,67252,68321,69378,70872,71472,72671,73450,74251,75288
4,54101,24707,25836,26382,27510,28313,29149,30182,30722,31481,31595,33018,33087,33782,34569,35693,36488,37360,38455,38491,39421,39724,40114,41425,42322,43268,44381,45259,45944,46457,47719,48731,49270,50631,51564,53376,53590,53623,54418,56335,57086,57845,58905,59681,60579,61380,62524,63334,64280,65441,66192,67401,68506,69485,70997,71637,72817,73611,74403,75426
5,66091,24937,26084,26521,27712,28469,29298,30360,30882,31650,31771,33232,33288,33942,34764,35916,36683,37499,38676,38717,39572,39916,40269,41689,42524,43479,44574,45421,46154,46692,47920,48997,49417,50829,51712,53630,53747,53833,54594,56540,57303,58008,59116,59911,60814,61576,62783,63513,64445,65647,66384,67568,68738,69633,71155,71870,72993,73826,74605,75604
6,66031,25078,26246,26604,27844,28569,29397,30464,30982,31772,31854,33366,33400,34034,34882,36052,36792,37585,38804,38846,39674,40026,40358,41830,42643,43625,44680,45502,46274,46822,48042,49155,49506,50949,51801,53781,53863,53944,54677,56660,57433,58095,59242,60017,60940,61689,62912,63625,64538,65791,66523,67721,68886,69721,71253,71988,73077,73957,74714,75703
7,66041,25210,26396,26689,27976,28663,29487,30579,31080,31868,31946,33493,33520,34128,34994,36188,36903,37671,38945,38972,39779,40145,40462,41972,42765,43746,44807,45600,46382,46957,48144,49322,49591,51063,51890,53935,53966,54079,54765,56797,57552,58191,59376,60126,61077,61811,63070,63741,64652,65932,66631,67826,69027,69807,71344,72112,73172,74081,74827,75798
8,66051,25292,26509,26742,28076,28743,29543,30671,31143,31939,31995,33587,33592,34187,35066,36299,36977,37738,39049,39094,39841,40212,40516,42065,42860,43841,44901,45683,46463,47054,48237,49458,49646,51152,51955,54049,54090,54154,54842,56897,57673,58257,59480,60207,61169,61886,63165,63812,64724,66045,66716,67923,69145,69877,71438,72186,73236,74159,74910,75881
9,66379,25438,26670,26824,28231,28854,29645,30798,31237,32044,32070,33775,33861,34290,35184,36471,37089,37833,39182,39271,39938,40301,40607,42247,42982,44026,45018,45818,46640,47175,48337,49620,49721,51302,52067,54201,54251,54270,54931,57013,57855,58346,59616,60307,61294,61986,63299,63924,64833,66159,66822,68014,69275,69970,71564,72321,73329,74260,75022,75967
