,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24267,25340,26087,27054,28028,28843,29846,30427,31129,31393,32530,32748,33470,34168,35155,36133,37006,37972,37998,39032,39403,39817,40817,41907,42834,43849,44830,45503,45970,47264,48186,48956,50206,51149,52685,53242,53321,54041,55782,56661,57393,58373,59257,60073,60909,61968,63040,63930,64963,65760,67006,67964,69211,70603,71237,72416,73194,73988,75024
2,54329,24357,25430,26164,27139,28136,28936,29948,30504,31213,31477,32646,32852,33559,34250,35238,36249,37089,38074,38105,39121,39506,39898,40910,42003,42944,43954,44904,45602,46085,47363,48308,49063,50337,51226,52774,53323,53419,54116,55898,56759,57474,58465,59396,60156,60994,62042,63161,64028,65049,65841,67104,68054,69297,70689,71331,72496,73309,74063,75107
3,54319,24451,25499,26239,27212,28229,29020,30042,30580,31293,31558,32748,32948,33651,34329,35312,36345,37169,38144,38203,39205,39603,39977,40994,42079,43041,44039,44978,45693,46189,47460,48418,49160,50457,51297,52845,53391,53512,54190,55981,56849,57552,58548,59501,60235,61072,62116,63274,64119,65127,65919,67172,68135,69375,70762,71420,72571,73414,74137,75172
4,54101,24591,25624,26372,27344,28399,29169,30212,30713,31436,31700,32916,33119,33798,34469,35444,36521,37310,38284,38378,39377,39774,40113,41141,42227,43221,44196,45108,45862,46377,47615,48619,49337,50669,51426,52966,53519,53675,54321,56138,57014,57692,58699,59698,60377,61207,62251,63486,64285,65267,66059,67296,68281,69517,70896,71580,72706,73605,74269,75294
5,66091,24789,25817,26574,27544,28657,29394,30470,30912,31630,31914,33149,33374,34020,34681,35646,36788,37523,38469,38638,39592,40023,40319,41365,42436,43491,44432,45307,46111,46660,47852,48922,49603,50992,51621,53155,53709,53920,54518,56380,57264,57904,58927,59995,60592,61412,62457,63808,64535,65480,66271,67487,68503,69733,71102,71822,72913,73894,74467,75464
6,66031,24904,25976,26743,27711,28856,29576,30648,31080,31762,32090,33293,33573,34200,34855,35814,36992,37699,38587,38841,39737,40182,40490,41545,42608,43697,44618,45473,46277,46874,48039,49136,49808,51226,51786,53313,53834,54114,54685,56568,57459,58078,59110,60215,60768,61582,62627,64041,64731,65654,66445,67647,68683,69908,71271,72014,73083,74112,74634,75559
7,66041,25017,26150,26927,27894,29055,29774,30819,31257,31896,32281,33436,33759,34377,35045,35998,37199,37891,38704,39059,39883,40338,40677,41741,42795,43918,44820,45645,46443,47103,48241,49341,50028,51448,51966,53461,53960,54295,54867,56771,57644,58268,59309,60416,60960,61768,62812,64262,64942,65843,66634,67822,68878,70099,71437,72221,73267,74311,74817,75657
8,66051,25089,26282,27094,28060,29204,29945,30938,31394,31985,32453,33538,33895,34513,35216,36165,37350,38060,38791,39231,39993,40437,40847,41915,42953,44086,44983,45781,46567,47297,48398,49484,50216,51597,52132,53574,54050,54427,55034,56919,57779,58439,59467,60557,61111,61935,62979,64413,65114,65985,66804,67983,69051,70270,71566,72401,73413,74451,74984,75713
9,66379,25204,26422,27267,28233,29364,30122,31068,31538,32097,32646,33660,34049,34658,35390,36341,37514,38233,38899,39413,40115,40562,41026,42100,43119,44267,45151,45926,46705,47508,48569,49651,50422,51761,52321,53695,54163,54573,55225,57083,57931,58613,59638,60710,61272,62119,63162,64589,65294,66138,66999,68152,69251,70466,71704,72599,73571,74598,75167,75801
10,66359,25273,26541,27416,28384,29490,30276,31176,31659,32189,32811,33771,34171,34773,35537,36492,37639,38379,38993,39567,40220,40668,41180,42258,43266,44418,45292,46055,46822,47685,48717,49787,50600,51892,52507,53793,54259,54693,55411,57223,58050,58763,59787,60839,61409,62272,63322,64730,65444,66269,67176,68297,69425,70655,71824,72765,73709,74722,75320,75859
11,62141,25348,26647,27555,28528,29619,30426,31291,31772,32291,32972,33872,34293,34894,35677,36639,37768,38514,39093,39706,40327,40769,41326,42406,43410,44556,45418,46176,46943,47852,48865,49919,50772,52041,52700,53917,54355,54805,55604,57380,58167,58908,59933,60966,61529,62414,63481,64864,65581,66384,67339,68433,69587,70833,71935,72920,73847,74854,75458,75926
12,62059,25441,26771,27693,28685,29765,30582,31422,31894,32404,33139,34001,34439,35026,35821,36800,37920,38655,39211,39861,40448,40899,41475,42561,43563,44719,45566,46314,47087,48027,49025,50085,50964,52198,52902,54022,54474,54944,55819,57527,58311,59054,60090,61114,61669,62562,63650,65033,65740,66522,67511,68577,69758,71015,72070,73075,73994,74997,75596,76002
13,62049,25533,26890,27831,28835,29909,30739,31557,32014,32531,33297,34134,34583,35160,35961,36953,38067,38790,39336,40011,40569,41034,41626,42714,43716,44884,45716,46448,47231,48199,49188,50247,51149,52357,53092,54128,54597,55083,56032,57675,58451,59204,60251,61264,61812,62711,63818,65203,65898,66663,67666,68723,69916,71186,72205,73227,74146,75144,75725,76079
14,62039,25580,26983,27944,28954,30017,30859,31648,32106,32626,33418,34221,34688,35266,36073,37075,38172,38885,39432,40116,40653,41125,41745,42834,43833,44998,45822,46548,47342,48325,49311,50358,51289,52458,53236,54206,54681,55186,56204,57777,58552,59324,60373,61363,61917,62827,63950,65318,66010,66766,67785,68834,70035,71317,72307,73343,74264,75244,75815,76119
15,62029,25671,27104,28081,29106,30168,31009,31780,32222,32753,33564,34357,34829,35406,36216,37231,38328,39010,39562,40257,40774,41266,41887,42982,43986,45157,45965,46678,47494,48498,49468,50526,51472,52625,53405,54314,54803,55330,56396,57919,58701,59467,60528,61519,62057,62967,64115,65485,66162,66908,67936,68975,70191,71474,72444,73498,74410,75397,75927,76197
16,62019,25722,27197,28191,29225,30276,31122,31870,32311,32855,33678,34448,34931,35509,36329,37352,38439,39101,39657,40358,40859,41368,42005,43096,44106,45268,46068,46779,47604,48624,49587,50644,51606,52737,53536,54392,54888,55438,56545,58020,58808,59580,60646,61619,62172,63079,64250,65596,66271,67021,68058,69090,70313,71593,72552,73615,74526,75502,76004,76234
17,70309,25791,27311,28318,29356,30403,31249,31981,32412,32970,33801,34556,35050,35633,36454,37485,38570,39206,39775,40478,40962,41488,42140,43227,44240,45403,46188,46895,47740,48769,49725,50786,51761,52875,53675,54486,54995,55564,56703,58142,58934,59713,60781,61747,62298,63212,64393,65734,66399,67144,68193,69216,70449,71726,72677,73746,74656,75629,76089,76290
18,70299,25841,27405,28431,29470,30511,31356,32068,32494,33069,33908,34642,35145,35741,36569,37603,38678,39292,39876,40572,41048,41582,42256,43342,44357,45514,46288,46995,47855,48889,49843,50900,51889,52986,53793,54562,55082,55677,56846,58242,59037,59829,60896,61846,62406,63325,64520,65839,66505,67257,68308,69332,70566,71838,72788,73857,74769,75728,76155,76327
19,70289,25919,27512,28555,29597,30644,31478,32177,32592,33192,34028,34754,35256,35866,36698,37734,38802,39394,39990,40681,41148,41700,42384,43475,44493,45647,46407,47110,47987,49030,49978,51045,52037,53126,53917,54651,55182,55809,57001,58362,59157,59957,61028,61966,62530,63452,64662,65974,66628,67388,68436,69461,70704,71965,72913,73985,74897,75845,76231,76387
20,70279,26029,27657,28711,29757,30819,31635,32330,32723,33346,34179,34915,35413,36024,36862,37898,38969,39534,40142,40838,41288,41863,42548,43644,44663,45826,46566,47253,48164,49217,50154,51245,52231,53323,54072,54775,55324,55980,57186,58525,59323,60120,61196,62143,62690,63616,64836,66169,66794,67553,68599,69622,70878,72127,73072,74151,75057,76017,76334,76479
21,70269,26103,27772,28839,29886,30952,31757,32438,32826,33469,34298,35030,35529,36149,36995,38031,39094,39641,40264,40951,41395,41984,42682,43779,44801,45956,46686,47368,48300,49358,50291,51393,52383,53471,54198,54870,55432,56123,57340,58647,59448,60252,61328,62269,62816,63752,64979,66302,66922,67688,68731,69758,71023,72257,73201,74279,75186,76133,76406,76536
22,71161,26181,27889,28964,30015,31086,31876,32547,32932,33595,34416,35145,35649,36278,37124,38162,39216,39750,40381,41061,41505,42108,42816,43911,44939,46084,46803,47486,48439,49502,50427,51543,52530,53614,54317,54969,55543,56264,57494,58769,59572,60380,61459,62395,62943,63890,65121,66437,67045,67818,68859,69890,71164,72384,73330,74409,75314,76247,76475,76592
23,71151,26250,28003,29091,30143,31219,31995,32659,33040,33717,34534,35260,35768,36402,37257,38292,39336,39859,40502,41174,41615,42234,42950,44045,45075,46214,46922,47602,48578,49642,50565,51691,52678,53762,54432,55069,55657,56409,57644,58892,59698,60512,61589,62520,63070,64026,65263,66574,67173,67952,68990,70024,71306,72512,73460,74536,75442,76357,76541,76650
24,71141,26319,28120,29218,30271,31350,32114,32767,33151,33843,34650,35376,35890,36531,37386,38423,39460,39971,40622,41286,41728,42361,43084,44176,45212,46344,47041,47720,48718,49786,50701,51842,52826,53909,54550,55170,55773,56550,57792,59014,59825,60642,61718,62645,63197,64164,65405,66711,67299,68084,69118,70158,71449,72639,73591,74667,75569,76459,76607,76706
25,71121,26391,28234,29347,30400,31481,32235,32873,33263,33968,34767,35491,36013,36660,37519,38555,39583,40083,40744,41392,41841,42488,43217,44310,45347,46478,47164,47841,48860,49930,50840,51993,52972,54052,54665,55271,55891,56693,57937,59138,59954,60774,61847,62770,63324,64300,65547,66847,67430,68218,69249,70294,71590,72766,73723,74796,75697,76555,76670,76762
26,71131,26457,28351,29476,30528,31610,32354,32979,33376,34097,34883,35606,36131,36788,37651,38687,39701,40195,40866,41498,41950,42616,43350,44443,45484,46609,47287,47965,49001,50075,50979,52143,53119,54190,54777,55372,56012,56840,58078,59260,60082,60906,61975,62895,63452,64438,65689,66979,67560,68353,69380,70430,71731,72893,73855,74929,75825,76647,76732,76817
27,71091,26592,28516,29653,30707,31804,32524,33151,33529,34278,35048,35792,36314,36972,37837,38866,39887,40359,41040,41671,42119,42806,43531,44636,45671,46806,47464,48137,49206,50292,51180,52375,53333,54414,54927,55521,56186,57050,58269,59448,60275,61090,62160,63101,63632,64626,65881,67200,67748,68543,69565,70612,71927,73073,74037,75124,76002,76814,76839,76927
28,72021,26684,28659,29808,30863,31959,32662,33279,33662,34421,35185,35934,36462,37120,37996,39022,40027,40493,41178,41808,42255,42955,43691,44790,45830,46955,47606,48282,49370,50457,51344,52551,53503,54581,55056,55643,56330,57225,58433,59592,60426,61251,62311,63255,63781,64791,66048,67363,67902,68702,69722,70773,72098,73218,74195,75280,76148,76917,76927,77009
29,72061,26799,28818,29976,31032,32136,32818,33432,33814,34582,35342,36104,36634,37285,38169,39193,40193,40645,41337,41967,42413,43126,43863,44963,46002,47133,47766,48445,49557,50651,51529,52757,53701,54778,55198,55781,56498,57419,58613,59763,60603,61425,62485,63439,63951,64971,66231,67559,68080,68878,69894,70953,72282,73383,74366,75459,76312,77055,77065,77101
30,72071,26847,28929,30101,31158,32246,32922,33526,33921,34697,35449,36203,36743,37401,38290,39316,40287,40750,41442,42060,42520,43240,43992,45083,46130,47240,47873,48563,49686,50775,51657,52886,53832,54883,55298,55878,56613,57557,58744,59877,60721,61551,62602,63543,64076,65101,66366,67663,68193,69002,70015,71087,72411,73503,74492,75576,76430,77115,77126,77142
31,84499,26964,29087,30270,31329,32419,33078,33673,34075,34860,35605,36373,36916,37568,38459,39481,40451,40904,41602,42216,42682,43414,44166,45256,46304,47418,48036,48727,49876,50971,51844,53094,54030,55072,55440,56020,56784,57753,58917,60052,60901,61725,62774,63728,64248,65279,66547,67855,68371,69175,70185,71264,72594,73674,74665,75751,76592,77254,77271,77282
32,84489,27104,29261,30452,31516,32620,33251,33844,34246,35042,35779,36565,37110,37760,38650,39667,40636,41080,41779,42393,42869,43617,44356,45453,46497,47615,48226,48912,50092,51191,52052,53331,54252,55284,55601,56181,56980,57973,59109,60251,61100,61916,62968,63936,64445,65477,66747,68074,68571,69372,70377,71460,72800,73869,74855,75953,76771,77424,77440,77446
33,84461,27196,29412,30613,31679,32772,33389,33975,34388,35187,35922,36710,37259,37921,38816,39826,40773,41223,41919,42527,43019,43777,44521,45619,46660,47763,48375,49076,50268,51361,52231,53511,54433,55437,55731,56314,57140,58155,59274,60407,61257,62084,63130,64088,64607,65651,66920,68232,68730,69536,70545,71629,72972,74030,75021,76115,76917,77528,77559,77562
34,84471,27284,29565,30777,31844,32921,33526,34113,34531,35330,36064,36857,37407,38081,38977,39983,40914,41366,42058,42665,43168,43937,44690,45782,46825,47909,48524,49242,50439,51531,52411,53690,54610,55584,55859,56449,57301,58340,59438,60562,61414,62248,63288,64242,64767,65826,67091,68395,68889,69698,70711,71800,73145,74186,75186,76274,77057,77632,77674,77684
35,84621,27389,29721,30934,32003,33069,33664,34247,34673,35473,36206,37006,37558,38240,39138,40137,41051,41505,42197,42802,43315,44092,44852,45944,46985,48062,48672,49403,50609,51696,52587,53867,54788,55729,55988,56586,57463,58518,59596,60718,61570,62410,63446,64395,64928,65997,67263,68554,69045,69859,70876,71974,73313,74341,75348,76431,77195,77742,77797,77800
36,84611,27483,29872,31091,32161,33215,33799,34374,34818,35620,36350,37155,37707,38396,39298,40290,41187,41652,42334,42942,43467,44253,45014,46105,47145,48211,48822,49564,50779,51868,52763,54048,54962,55871,56116,56726,57621,58696,59753,60873,61729,62572,63601,64549,65089,66167,67434,68710,69207,70019,71041,72142,73477,74497,75511,76587,77330,77852,77913,77921
37,84631,27528,29991,31214,32285,33315,33896,34459,34932,35729,36459,37253,37814,38517,39422,40409,41278,41761,42433,43039,43579,44369,45140,46229,47268,48308,48932,49690,50907,51987,52895,54172,55092,55953,56215,56838,57748,58830,59878,60988,61844,62698,63724,64651,65216,66304,67570,68806,69324,70144,71169,72280,73587,74619,75637,76700,77429,77904,77971,77982
38,84601,27572,30101,31319,32407,33415,33992,34548,35043,35834,36567,37344,37916,38633,39545,40524,41369,41859,42529,43128,43683,44470,45266,46352,47391,48407,49030,49815,51016,52103,53027,54277,55216,56036,56306,56947,57865,58963,60000,61101,61959,62823,63838,64748,65342,66435,67682,68891,69436,70267,71297,72408,73698,74740,75763,76812,77522,77961,78029,78043
39,75341,27662,30242,31449,32537,33537,34118,34675,35173,35970,36699,37486,38056,38775,39695,40650,41499,41992,42657,43262,43826,44619,45414,46489,47525,48534,49171,49971,51167,52264,53198,54432,55381,56177,56422,57078,58006,59110,60152,61231,62109,62975,63971,64895,65497,66581,67828,69029,69588,70422,71431,72549,73836,74877,75895,76941,77643,78068,78144,78164
40,75061,27762,30385,31584,32671,33660,34245,34803,35305,36088,36833,37613,38200,38920,39821,40773,41616,42125,42786,43399,43968,44770,45563,46622,47662,48661,49315,50129,51315,52409,53369,54587,55545,56319,56543,57215,58142,59251,60286,61364,62240,63102,64105,65029,65647,66724,67974,69169,69739,70571,71564,72695,73975,75007,76030,77070,77764,78178,78262,78287
41,76289,27915,30577,31766,32853,33850,34427,35001,35486,36259,37001,37813,38411,39105,39999,40943,41807,42311,42956,43604,44168,44969,45743,46816,47850,48861,49519,50310,51529,52627,53580,54827,55758,56528,56713,57380,58338,59456,60465,61566,62438,63284,64296,65250,65849,66915,68171,69401,69955,70754,71755,72890,74172,75192,76218,77259,77932,78359,78463,78498
42,76129,28007,30710,31894,32978,33959,34525,35105,35590,36368,37109,37921,38519,39221,40118,41059,41915,42411,43057,43708,44281,45087,45866,46938,47973,48978,49630,50437,51661,52756,53720,54963,55883,56633,56825,57494,58464,59586,60591,61684,62558,63404,64419,65367,65970,67044,68306,69525,70074,70875,71883,73028,74298,75314,76345,77377,78018,78441,78553,78595
