,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24307,25336,26114,27125,28017,28845,29835,30423,31146,31415,32569,32732,33457,34189,35186,36123,37074,37979,37992,39051,39372,39819,40829,41904,42789,43854,44854,45484,45925,47264,48164,48914,50204,51175,52720,53268,53353,54082,55795,56660,57456,58388,59234,60076,60897,61919,63014,63958,65005,65745,66986,67946,69193,70592,71245,72433,73112,74018,75075
2,54329,24429,25435,26207,27260,28111,28934,29955,30499,31240,31509,32696,32813,33534,34280,35284,36215,37200,38093,38118,39156,39443,39887,40903,41998,42872,43982,44941,45579,45995,47344,48285,48990,50332,51259,52810,53370,53462,54180,55924,56762,57570,58506,59332,60182,60986,61999,63131,64054,65118,65828,67081,68030,69292,70670,71358,72538,73176,74134,75222
3,54319,24514,25504,26275,27369,28187,28991,30037,30562,31322,31590,32822,32891,33603,34350,35360,36291,37303,38178,38221,39224,39504,39942,40981,42072,42939,44087,45014,45664,46060,47422,48414,49059,50454,51321,52879,53448,53560,54270,56007,56842,57680,58623,59414,60282,61068,62057,63217,64132,65225,65881,67139,68101,69357,70732,71440,72622,73224,74223,75331
4,54101,24698,25643,26419,27562,28310,29114,30189,30675,31466,31748,33030,33055,33720,34472,35490,36424,37508,38342,38416,39382,39623,40051,41112,42210,43053,44312,45168,45825,46201,47545,48596,49175,50634,51455,53014,53594,53748,54428,56155,56988,57854,58801,59548,60420,61195,62164,63374,64284,65420,65999,67250,68227,69483,70843,71609,72793,73338,74376,75528
5,66091,24930,25839,26646,27855,28507,29298,30413,30854,31665,31992,33310,33336,33906,34667,35699,36624,37800,38551,38712,39581,39809,40224,41290,42414,43228,44575,45379,46049,46394,47723,48875,49360,50904,51658,53206,53801,54033,54675,56371,57219,58113,59073,59757,60637,61397,62338,63630,64523,65693,66187,67422,68422,69677,71018,71867,73035,73518,74615,75812
6,66031,25059,25989,26816,28059,28660,29445,30566,30999,31788,32172,33474,33542,34055,34819,35857,36778,38002,38663,38922,39697,39945,40366,41431,42569,43367,44759,45539,46182,46545,47861,49061,49509,51095,51814,53344,53920,54229,54856,56529,57390,58297,59267,59916,60800,61553,62476,63811,64699,65879,66336,67556,68572,69826,71156,72053,73209,73665,74789,75978
7,66041,25203,26154,27001,28259,28829,29607,30712,31159,31915,32368,33633,33734,34220,34985,36031,36947,38205,38776,39146,39814,40072,40522,41587,42739,43522,44957,45693,46313,46712,48015,49234,49674,51298,51986,53482,54036,54416,55052,56703,57569,58493,59458,60091,60978,61724,62631,64007,64889,66049,66500,67706,68738,69991,71306,72254,73365,73827,74978,76145
8,66051,25282,26277,27156,28388,28965,29750,30811,31287,31998,32532,33732,33862,34350,35131,36180,37090,38343,38852,39303,39884,40164,40664,41725,42880,43660,45090,45808,46400,46859,48149,49348,49820,51432,52134,53583,54114,54542,55217,56830,57698,58632,59587,60227,61102,61871,62769,64146,65046,66159,66646,67838,68881,70133,71421,72419,73471,73972,75131,76253
9,66379,25410,26408,27326,28544,29108,29915,30921,31423,32100,32715,33880,34004,34486,35296,36335,37246,38500,38952,39477,39981,40267,40828,41887,43024,43821,45257,45935,46507,47031,48296,49480,49990,51582,52310,53697,54221,54690,55412,56971,57848,58795,59735,60377,61241,62039,62931,64304,65218,66290,66818,67995,69051,70301,71548,72603,73589,74132,75303,76390
