,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24308,25323,26148,27074,28014,28863,29818,30468,31128,31411,32516,32776,33486,34229,35208,36137,37011,37984,38033,39043,39448,39861,40822,41917,42825,43874,44872,45512,45948,47293,48142,48978,50169,51189,52708,53268,53372,54125,55804,56655,57440,58422,59255,60167,60927,61974,62949,63937,64978,65761,67106,67984,69201,70675,71267,72379,73165,74018,75025
2,54329,24427,25422,26303,27204,28137,28995,29934,30618,31258,31570,32636,32954,33634,34379,35353,36308,37133,38112,38202,39175,39635,40039,40973,42062,42974,44034,45024,45671,46108,47427,48288,49145,50318,51339,52843,53416,53574,54306,55954,56799,57604,58588,59426,60351,61078,62105,63067,64082,65119,65892,67285,68136,69319,70841,71440,72512,73295,74173,75155
3,54319,24527,25515,26437,27322,28246,29113,30040,30749,31374,31705,32751,33108,33765,34510,35486,36456,37249,38226,38349,39294,39793,40190,41107,42190,43107,44175,45162,45812,46251,47553,48423,49293,50453,51472,52966,53545,53744,54464,56087,56927,57749,58735,59574,60508,61209,62226,63175,64207,65247,66009,67434,68272,69427,70980,71587,72627,73411,74303,75270
4,54101,24721,25662,26664,27496,28422,29300,30201,30955,31546,31904,32926,33335,33958,34714,35689,36704,37418,38417,38563,39477,40041,40426,41322,42391,43316,44404,45375,46026,46459,47745,48626,49523,50665,51663,53146,53722,54000,54691,56291,57107,57970,58947,59797,60745,61391,62394,63335,64401,65426,66173,67675,68474,69592,71214,71813,72811,73572,74511,75440
5,66091,24981,25863,26979,27723,28663,29553,30418,31238,31774,32168,33159,33640,34212,34988,35963,37041,37643,38672,38845,39722,40374,40742,41612,42665,43599,44709,45659,46303,46732,48003,48899,49840,50953,51913,53383,53950,54345,54993,56566,57342,58272,59233,60099,61065,61630,62615,63547,64672,65660,66392,68005,68739,69813,71538,72120,73057,73787,74800,75670
6,66031,25123,26008,27192,27894,28837,29733,30579,31428,31936,32354,33327,33845,34396,35183,36161,37268,37812,38853,39041,39896,40591,40960,41815,42858,43799,44926,45861,46502,46927,48190,49094,50059,51155,52097,53555,54120,54569,55206,56763,57518,58483,59435,60310,61285,61808,62780,63704,64859,65843,66559,68229,68933,69975,71748,72330,73238,73951,74996,75831
7,66041,25268,26157,27403,28069,29016,29918,30745,31624,32100,32543,33495,34052,34582,35378,36360,37496,37988,39033,39235,40074,40810,41177,42022,43052,44002,45145,46068,46704,47126,48378,49291,50281,51362,52285,53728,54293,54793,55421,56961,57695,58694,59641,60522,61507,61990,62952,63868,65053,66028,66730,68455,69130,70140,71961,72541,73420,74117,75193,75993
8,66051,25356,26278,27562,28213,29158,30062,30881,31773,32232,32690,33630,34210,34733,35532,36518,37669,38136,39173,39388,40214,40970,41345,42183,43206,44161,45321,46234,46866,47286,48531,49448,50452,51523,52437,53867,54435,54958,55591,57122,57841,58858,59804,60688,61677,62138,63094,64003,65203,66181,66875,68628,69287,70278,72122,72704,73564,74254,75345,76120
9,66379,25487,26417,27754,28376,29329,30228,31037,31946,32382,32862,33788,34392,34905,35710,36702,37872,38302,39337,39564,40375,41162,41538,42369,43394,44351,45523,46427,47049,47468,48708,49628,50651,51715,52611,54028,54597,55153,55789,57312,58006,59052,59987,60880,61873,62306,63253,64156,65380,66350,67035,68832,69464,70439,72314,72893,73727,74406,75522,76267
