,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24248,25387,26082,27087,28002,28841,29851,30430,31137,31379,32504,32733,33490,34172,35193,36090,37018,37935,37936,39074,39383,39864,40806,41891,42825,43859,44852,45479,45936,47300,48124,48990,50179,51171,52674,53271,53349,54040,55768,56654,57430,58398,59252,60100,60907,61971,62966,63939,64998,65758,67009,68018,69242,70616,71221,72362,73140,74010,75062
2,54329,24332,25552,26224,27265,28149,28979,30023,30569,31294,31510,32652,32876,33660,34316,35358,36243,37163,38079,38132,39238,39518,40042,40959,42051,43005,44058,45021,45619,46072,47502,48288,49189,50365,51323,52831,53448,53523,54191,55935,56799,57604,58593,59432,60263,61066,62129,63125,64106,65168,65914,67169,68209,69449,70793,71367,72512,73280,74191,75238
3,54319,24401,25690,26351,27419,28279,29102,30173,30693,31429,31626,32782,33000,33804,34443,35504,36379,37291,38206,38287,39380,39638,40188,41094,42192,43159,44228,45169,45742,46191,47673,48432,49356,50529,51459,52974,53597,53670,54323,56085,56929,57752,58759,59588,60407,61205,62269,63265,64250,65316,66052,67311,68371,69627,70952,71496,72646,73404,74344,75392
4,54101,24528,25901,26523,27647,28456,29273,30394,30862,31625,31788,32963,33179,34020,34617,35713,36567,37467,38381,38494,39582,39805,40414,41278,42390,43388,44483,45378,45911,46358,47929,48633,49612,50760,51643,53163,53819,53893,54510,56284,57104,57973,59007,59815,60612,61402,62464,63459,64458,65526,66244,67507,68615,69888,71168,71673,72830,73572,74575,75612
5,66091,24698,26185,26741,27950,28680,29490,30685,31078,31885,31998,33197,33413,34307,34841,35987,36810,37693,38605,38774,39843,40020,40722,41512,42648,43694,44824,45647,46128,46575,48273,48892,49957,51061,51878,53400,54117,54192,54753,56533,57327,58266,59339,60114,60879,61660,62716,63708,64732,65801,66492,67760,68937,70233,71442,71900,73066,73790,74883,75899
6,66031,24795,26362,26901,28154,28847,29649,30882,31236,32065,32147,33367,33574,34500,35003,36177,36985,37860,38768,38952,40027,40172,40922,41686,42832,43902,45054,45839,46287,46728,48502,49078,50185,51275,52052,53579,54316,54393,54926,56720,57493,58465,59562,60320,61067,61843,62898,63888,64924,65995,66670,67942,69155,70468,71643,72065,73238,73949,75090,76101
7,66041,24901,26535,27061,28357,29014,29810,31080,31395,32244,32298,33538,33735,34693,35167,36368,37161,38028,38932,39131,40213,40326,41122,41861,43017,44110,45284,46033,46447,46882,48730,49266,50413,51489,52228,53759,54517,54594,55100,56910,57661,58664,59786,60527,61256,62027,63080,64069,65116,66190,66848,68126,69373,70704,71846,72232,73411,74111,75295,76303
8,66051,24970,26654,27192,28510,29154,29941,31233,31525,32381,32417,33677,33859,34839,35301,36516,37303,38165,39065,39262,40360,40450,41268,42003,43164,44268,45457,46190,46578,47004,48900,49416,50581,51658,52372,53909,54668,54713,55239,57066,57799,58814,59954,60688,61406,62172,63225,64215,65265,66343,66991,68275,69537,70886,72012,72366,73551,74242,75450,76461
9,66379,25057,26795,27338,28689,29308,30087,31408,31671,32539,32552,33833,34002,35008,35451,36686,37462,38318,39215,39416,40526,40616,41441,42163,43331,44450,45657,46366,46724,47143,49098,49586,50778,51850,52532,54076,54844,54921,55397,57239,57953,58987,60148,60872,61576,62337,63389,64379,65436,66516,67153,68443,69728,71094,72198,72517,73709,74389,75629,76642
10,66359,25123,26909,27467,28842,29448,30219,31559,31803,32677,32754,33973,34127,35153,35584,36834,37605,38455,39350,39547,40674,40745,41589,42306,43478,44609,45831,46524,46856,47266,49266,49738,50947,52019,52678,54229,54995,55072,55536,57395,58091,59138,60317,61032,61726,62482,63535,64526,65586,66669,67296,68593,69894,71276,72366,72654,73851,74521,75783,76801
11,62141,25196,27020,27595,28993,29588,30350,31709,31935,32816,32904,34114,34252,35298,35719,36982,37747,38593,39485,39678,40822,40875,41736,42449,43626,44768,46003,46682,46986,47388,49434,49891,51115,52189,52824,54380,55146,55223,55675,57550,58230,59289,60485,61193,61877,62627,63680,64674,65735,66822,67440,68743,70059,71458,72534,72791,73994,74654,75937,76960
12,62059,25272,27154,27738,29168,29743,30497,31882,32082,32976,33080,34272,34396,35467,35870,37150,37907,38747,39636,39833,40988,41023,41911,42609,43792,44952,46205,46859,47134,47528,49630,50063,51312,52383,52988,54546,55322,55399,55832,57721,58383,59465,60679,61377,62048,62794,63846,64838,65907,66997,67602,68911,70251,71666,72721,72945,74154,74801,76116,77141
13,62049,25356,27286,27881,29344,29900,30646,32056,32230,33136,33255,34429,34540,35636,36022,37319,38069,38901,39789,39987,41154,41243,42087,42770,43959,45135,46405,47037,47283,47668,49824,50235,51508,52577,53152,54713,55498,55577,55990,57893,58539,59640,60873,61563,62219,62960,64012,65003,66080,67172,67766,69078,70441,71875,72909,73099,74313,74950,76295,77322
14,62039,25398,27363,27993,29468,30026,30766,32183,32349,33254,33377,34555,34648,35757,36141,37445,38196,39023,39912,40095,41281,41373,42208,42898,44087,45267,46548,47177,47403,47776,49959,50370,51645,52725,53284,54850,55626,55677,56113,58033,58665,59766,61013,61702,62352,63087,64140,65131,66209,67305,67893,69209,70578,72028,73060,73222,74442,75069,76420,77459
15,62029,25485,27490,28134,29641,30183,30915,32357,32496,33414,33552,34712,34805,35925,36293,37614,38358,39178,40063,40249,41447,41558,42385,43059,44254,45449,46747,47357,47552,47917,50151,50543,51841,52918,53448,55017,55803,55880,56272,58202,58821,59940,61206,61889,62525,63253,64304,65296,66380,67479,68056,69376,70767,72234,73248,73377,74603,75219,76598,77638
16,62019,25532,27564,28244,29763,30310,31033,32482,32615,33533,33674,34838,34915,36046,36414,37741,38484,39301,40184,40357,41573,41688,42507,43188,44382,45581,46891,47497,47672,48026,50286,50679,51978,53066,53581,55154,55929,56005,56396,58338,58948,60065,61345,62029,62658,63381,64432,65424,66509,67612,68184,69507,70904,72386,73399,73501,74733,75339,76723,77774
17,70309,25592,27662,28367,29908,30451,31165,32631,32748,33672,33821,34980,35045,36191,36551,37888,38627,39440,40319,40488,41717,41844,42655,43332,44530,45738,47061,47656,47807,48153,50449,50834,52144,53236,53730,55305,56079,56155,56537,58490,59087,60214,61511,62190,62811,63528,64578,65571,66659,67765,68330,69656,71067,72565,73568,73682,74878,75471,76873,77931
18,70299,25630,27733,28474,30026,30578,31282,32755,32867,33789,33943,35105,35155,36311,36672,38013,38752,39563,40439,40595,41843,41973,42775,43459,44658,45870,47203,47797,47928,48263,50580,50970,52280,53383,53862,55438,56204,56280,56660,58625,59212,60338,61648,62327,62943,63656,64705,65699,66787,67896,68458,69787,71202,72716,73719,73810,75006,75588,76995,78065
19,70289,25696,27847,28594,30169,30718,31415,32901,33001,33929,34091,35247,35340,36456,36807,38157,38895,39700,40573,40726,41985,42128,42923,43602,44804,46026,47373,47955,48063,48388,50741,51123,52445,53552,54011,55587,56354,56430,56801,58776,59352,60487,61812,62488,63096,63802,64851,65846,66936,68048,68603,69935,71362,72891,73888,74001,75151,75722,77142,78221
20,70279,25793,27986,28744,30360,30889,31579,33092,33167,34112,34289,35422,35514,36648,36975,38344,39073,39870,40739,40905,42167,42337,43126,43778,44988,46230,47598,48153,48256,48545,50960,51313,52668,53767,54192,55767,56554,56591,56978,58959,59524,60684,62030,62697,63289,63988,65033,66029,67128,68242,68784,70119,71574,73121,74094,74208,75329,75887,77342,78421
21,70269,25853,28068,28863,30500,31030,31713,33237,33341,34255,34436,35563,35633,36792,37112,38487,39217,40010,40875,41036,42310,42491,43274,43923,45133,46384,47766,48314,48400,48671,51121,51467,52832,53937,54343,55916,56705,56783,57122,59110,59665,60831,62192,62859,63443,64136,65179,66175,67277,68394,68932,70266,71733,73294,74263,74377,75476,76021,77489,78576
22,71161,25919,28170,28980,30639,31171,31847,33381,33513,34397,34584,35704,35796,36936,37249,38631,39361,40150,41009,41167,42451,42646,43423,44068,45277,46536,47932,48474,48577,48799,51281,51621,52994,54105,54493,56066,56856,56931,57265,59259,59807,60977,62353,63021,63596,64285,65325,66321,67424,68544,69079,70413,71893,73465,74432,74545,75622,76157,77634,78731
23,71151,25978,28254,29097,30776,31312,31981,33523,33685,34539,34731,35845,35937,37078,37385,38773,39502,40286,41143,41298,42593,42801,43572,44214,45422,46689,48100,48635,48738,48928,51441,51775,53157,54272,54644,56214,57005,57079,57408,59408,59949,61123,62513,63183,63750,64433,65470,66465,67570,68694,69226,70560,72050,73633,74600,74712,75767,76292,77778,78886
24,71141,26038,28332,29215,30912,31452,32115,33664,33856,34681,34878,35986,36078,37221,37522,38913,39644,40422,41277,41429,42735,42955,43721,44358,45566,46841,48266,48796,48892,49056,51601,51929,53318,54439,54794,56361,57153,57226,57551,59555,60092,61268,62672,63343,63905,64578,65614,66608,67716,68844,69373,70706,72205,73799,74768,74871,75910,76428,77921,79039
25,71121,26095,28416,29331,31047,31592,32247,33805,34027,34823,35025,36127,36218,37362,37659,39053,39786,40558,41411,41560,42875,43110,43869,44502,45710,46992,48429,48955,49047,49185,51761,52083,53478,54605,54945,56506,57300,57374,57694,59702,60232,61413,62828,63503,64056,64724,65759,66752,67862,68993,69517,70849,72356,73963,74933,75029,76055,76561,78064,79193
26,71131,26151,28494,29446,31178,31730,32377,33944,34198,34964,35173,36267,36357,37502,37796,39193,39927,40695,41545,41691,43013,43263,44015,44646,45852,47143,48590,49113,49214,49314,51921,52236,53637,54770,55095,56651,57448,57525,57836,59849,60371,61555,62981,63662,64208,64869,65901,66893,68007,69141,69660,70991,72505,74125,75099,75208,76200,76694,78206,79346
27,71091,26268,28658,29606,31379,31913,32554,34153,34450,35168,35396,36456,36563,37714,37980,39398,40122,40879,41725,41895,43210,43497,44244,44838,46050,47368,48837,49331,49439,49531,52168,52447,53886,55004,55296,56843,57671,57761,58033,60048,60555,61770,63215,63893,64421,65074,66100,67089,68216,69350,69858,71187,72730,74367,75320,75395,76395,76873,78427,79563
28,72021,26352,28773,29737,31527,32064,32702,34310,34646,35332,35568,36613,36723,37878,38134,39558,40283,41032,41873,42050,43369,43675,44419,45000,46211,47542,49023,49510,49618,49710,52356,52622,54074,55193,55465,57004,57842,57939,58195,60214,60712,61935,63391,64076,64593,65240,66261,67250,68380,69516,70022,71348,72897,74552,75503,75550,76557,77023,78595,79734
29,72061,26448,28912,29884,31698,32230,32863,34487,34869,35518,35766,36787,36905,38065,38304,39741,40459,41201,42037,42228,43548,43880,44621,45177,46392,47741,49235,49709,49821,49868,52574,52815,54292,55404,55649,57183,58038,58146,58376,60396,60883,62122,63593,64282,64787,65426,66441,67429,68566,69700,70203,71527,73087,74763,75702,75808,76735,77189,78791,79925
30,72071,26489,29003,29983,31773,32349,32978,34589,35004,35640,35886,36913,37019,38181,38427,39862,40583,41322,42155,42335,43669,44005,44740,45305,46516,47873,49358,49849,49956,50048,52701,52950,54421,55546,55786,57317,58159,58266,58502,60528,61007,62232,63709,64414,64919,65553,66566,67553,68684,69817,70327,71650,73154,74888,75845,75929,76865,77308,78906,80048
31,84499,26592,29151,30128,31911,32513,33139,34724,35220,35825,36083,37087,37202,38369,38596,40046,40759,41489,42318,42513,43847,44208,44941,45482,46698,48064,49567,50046,50158,50211,52862,53141,54640,55754,55971,57496,58351,58472,58682,60709,61174,62410,63907,64617,65112,65738,66747,67732,68863,69995,70506,71824,73307,75094,76041,76143,77042,77473,79094,80235
32,84489,26716,29339,30289,32086,32690,33316,34891,35462,36032,36307,37279,37407,38583,38781,40252,40949,41674,42497,42715,44043,44438,45169,45676,46901,48278,49803,50261,50382,50474,53061,53350,54888,55983,56172,57691,58564,58707,58880,60907,61355,62608,64132,64842,65325,65944,66946,67929,69059,70192,70701,72012,73484,75292,76254,76355,77237,77655,79304,80442
