,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24248,25387,26093,27074,28031,28855,29827,30452,31159,31388,32489,32770,33463,34257,35171,36100,37017,37981,38010,39055,39400,39833,40823,41892,42835,43827,44834,45482,45942,47254,48165,49003,50127,51156,52687,53272,53354,54101,55798,56643,57416,58347,59239,60108,60922,62005,62997,63928,64961,65756,67014,67992,69253,70644,71282,72370,73189,73998,75016
2,54329,24332,25508,26179,27164,28127,28937,29927,30540,31261,31465,32578,32877,33558,34396,35259,36190,37098,38071,38094,39146,39498,39920,40912,41991,42956,43908,44947,45562,46025,47347,48285,49129,50207,51239,52781,53367,53467,54225,55923,56717,57491,58443,59337,60235,61020,62097,63090,64009,65054,65830,67092,68082,69380,70777,71389,72438,73310,74096,75089
3,54319,24401,25602,26242,27240,28200,28998,29988,30601,31343,31526,32665,32961,33618,34514,35318,36264,37156,38140,38141,39216,39562,39985,41000,42061,43064,43986,45039,45635,46104,47442,48395,49253,50293,51296,52850,53441,53555,54321,56012,56778,57551,58523,59419,60331,61111,62167,63158,64083,65122,65886,67176,68153,69473,70867,71470,72494,73401,74163,75150
4,54101,24528,25787,26364,27370,28331,29105,30119,30713,31486,31650,32787,33122,33743,34713,35432,36410,37278,38258,38314,39373,39699,40116,41149,42206,43258,44121,45249,45771,46243,47594,48572,49434,50397,51409,52991,53578,53728,54500,56177,56876,57651,58657,59563,60509,61257,62304,63300,64200,65248,65989,67324,68302,69654,71045,71611,72595,73577,74297,75275
5,66091,24698,26025,26524,27528,28507,29263,30280,30878,31682,31823,32938,33362,33897,34984,35589,36602,37425,38399,38540,39538,39891,40299,41332,42387,43509,44286,45472,45942,46414,47777,48802,49706,50539,51572,53176,53787,53985,54751,56403,57016,57798,58840,59780,60753,61466,62496,63496,64369,65417,66130,67501,68488,69902,71291,71819,72740,73815,74495,75433
6,66031,24795,26170,26615,27623,28619,29353,30373,30975,31803,31919,33028,33501,33983,35138,35679,36720,37511,38489,38666,39644,39998,40406,41432,42494,43657,44378,45597,46038,46510,47895,48944,49858,50620,51667,53278,53904,54130,54893,56529,57093,57888,58949,59894,60895,61581,62606,63606,64468,65525,66220,67607,68597,70053,71436,71937,72817,73950,74602,75523
7,66041,24901,26317,26707,27713,28731,29443,30466,31075,31922,32015,33121,33634,34073,35295,35773,36830,37596,38583,38798,39741,40108,40508,41541,42601,43803,44480,45737,46134,46618,48000,49078,50010,50697,51762,53382,54019,54274,55041,56672,57171,57970,59060,60007,61034,61705,62731,63723,64579,65630,66301,67728,68705,70197,71575,72052,72903,74090,74715,75613
8,66051,24970,26405,26761,27780,28795,29507,30530,31136,31994,32072,33184,33733,34126,35392,35832,36903,37651,38633,38877,39817,40175,40569,41611,42665,43911,44552,45835,46200,46684,48088,49164,50113,50744,51824,53451,54097,54368,55140,56788,57230,58023,59133,60080,61131,61779,62806,63803,64641,65698,66351,67803,68781,70297,71678,72125,72965,74179,74782,75665
9,66379,25057,26544,26839,27873,28912,29595,30618,31236,32103,32149,33273,33864,34209,35552,35926,37009,37741,38729,38981,39905,40267,40660,41715,42767,44073,44661,46014,46283,46779,48194,49276,50242,50812,51908,53554,54201,54487,55266,56913,57303,58104,59227,60184,61257,61886,62901,63905,64737,65785,66423,67902,68893,70429,71822,72229,73036,74311,74880,75738
