,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean54009,headway_mean54339,headway_mean54329,headway_mean54319,headway_mean54101,headway_mean66091,headway_mean66031,headway_mean66041,headway_mean66051,headway_mean66379,headway_mean66359,headway_mean62141,headway_mean62059,headway_mean62049,headway_mean62039,headway_mean62029,headway_mean62019,headway_mean70309,headway_mean70299,headway_mean70289,headway_mean70279,headway_mean70269,headway_mean71161,headway_mean71151,headway_mean71141,headway_mean71121,headway_mean71131,headway_mean71091,headway_mean72021,headway_mean72061,headway_mean72071,headway_mean84499,headway_mean84489,headway_mean84461,headway_mean84471,headway_mean84621,headway_mean84611,headway_mean84631,headway_mean84601,headway_mean75341,headway_mean75061,headway_mean76289,headway_mean76129,headway_mean76119,headway_mean76051,headway_mean75009,headway_var54009,headway_var54339,headway_var54329,headway_var54319,headway_var54101,headway_var66091,headway_var66031,headway_var66041,headway_var66051,headway_var66379,headway_var66359,headway_var62141,headway_var62059,headway_var62049,headway_var62039,headway_var62029,headway_var62019,headway_var70309,headway_var70299,headway_var70289,headway_var70279,headway_var70269,headway_var71161,headway_var71151,headway_var71141,headway_var71121,headway_var71131,headway_var71091,headway_var72021,headway_var72061,headway_var72071,headway_var84499,headway_var84489,headway_var84461,headway_var84471,headway_var84621,headway_var84611,headway_var84631,headway_var84601,headway_var75341,headway_var75061,headway_var76289,headway_var76129,headway_var76119,headway_var76051,headway_var75009
0,4,0.0,0.0,-0.6238737720505065,-0.4772072386390515,-0.14666653341145514,41.396248285847896,0.7236189210967263,514.503355704698,1652.5925215723873,1048.8227640049308,7.331720904692633,874.551724137931,875.3793103448276,875.948275862069,875.6206896551724,875.4655172413793,875.1724137931035,875.6896551724138,875.7586206896551,876.1206896551724,876.3275862068965,876.7241379310345,876.3448275862069,876.6724137931035,876.3103448275862,876.6724137931035,876.8620689655172,877.051724137931,877.3275862068965,877.948275862069,878.6034482758621,878.7758620689655,879.3965517241379,879.9827586206897,880.051724137931,880.551724137931,880.2586206896551,880.551724137931,880.0344827586207,879.6551724137931,880.0172413793103,880.5344827586207,880.3620689655172,880.7586206896551,880.8448275862069,881.9827586206897,881.2413793103449,880.9137931034483,880.9310344827586,880.7931034482758,880.3275862068965,880.0,880.0,879.7758620689655,879.4137931034483,880.051724137931,879.7586206896551,91471.86801426871,104219.99405469678,102593.46284185493,98314.06302021403,99560.45570749108,107053.5564803805,108079.59334126038,110171.66587395956,111497.62336504163,112044.53061831152,109453.23424494649,111935.15695600476,115820.56510107014,112731.76575505351,113081.22027348397,114968.42925089179,112349.73870392391,106392.70303210465,105833.18697978594,109220.85998810938,113332.27734839478,113957.13585017835,115126.98246135551,116350.2214625446,115968.661117717,115361.53656361475,115296.83353151011,128138.17122473248,130414.29488703923,136488.70659928655,137571.73156956004,142780.95511296074,152358.73483947682,159746.20005945305,164903.84453032105,165333.42449464923,164786.87187871584,156307.54696789535,147940.26753864446,147841.35820451844,154143.3448275862,165981.44827586206,174628.48424494645,187233.69084423303,196628.98008323423,226263.70035671815
0,16,0.0,0.0,-0.6034525576157074,-0.46408299871712105,-0.13936955889858618,39.29563995884608,0.6872347351772184,507.8750855110138,1578.9029963059243,1019.7836913394445,6.6413539194161295,874.551724137931,875.2758620689655,875.2931034482758,875.1551724137931,875.7931034482758,875.8275862068965,875.9310344827586,876.3275862068965,876.9827586206897,877.4827586206897,878.0689655172414,879.2931034482758,879.8275862068965,880.9655172413793,881.8275862068965,882.2413793103449,883.3275862068965,883.8448275862069,884.7068965517242,884.8448275862069,884.8965517241379,884.8103448275862,885.5,886.3275862068965,887.3448275862069,888.5862068965517,888.9310344827586,888.8103448275862,889.5344827586207,889.7068965517242,890.0689655172414,890.5172413793103,890.1551724137931,890.4827586206897,890.8965517241379,890.7586206896551,890.8793103448276,891.8620689655172,893.0172413793103,893.7068965517242,893.4655172413793,893.4310344827586,893.0689655172414,893.0862068965517,892.8103448275862,892.2586206896551,91471.86801426871,101891.47562425685,92685.65546967895,83717.06212841856,82562.37098692033,91149.28061831152,93624.34007134364,96633.84096313911,92140.01694411415,94872.21521997623,95523.58145065399,95174.17271105826,99896.9013079667,102352.20570749108,103022.9013079667,106546.73483947682,102130.46165279429,100545.71730083232,96460.68995243758,102285.5104042806,113161.02378121285,114164.77437574317,113759.21551724138,118620.80648038052,119808.19143876339,118960.69084423303,120228.75386444709,137168.05023781213,135950.00743162903,144167.17271105826,140366.99524375744,150027.49108204516,165367.13109393578,170154.11177170032,171363.6099881094,175272.14863258024,175544.1061236623,165219.29131985732,158892.6031510107,160755.1727110583,173007.66260404282,192168.62455410225,209182.30558858503,228700.14774078483,239629.7743757432,270511.2951843044
0,12,0.0,0.0,-0.665638711264974,-0.5183785913437937,-0.1472601199211801,41.523392046660035,0.7257066899261804,504.0804534144319,1647.5728504285319,1049.213021841305,7.598825163072144,874.551724137931,874.1379310344828,874.0344827586207,874.0172413793103,873.2758620689655,872.6551724137931,872.0862068965517,872.1034482758621,871.7758620689655,871.1206896551724,871.7758620689655,872.1034482758621,872.3965517241379,872.8793103448276,873.1896551724138,872.3448275862069,872.8275862068965,873.0862068965517,873.8965517241379,874.5344827586207,874.4137931034483,874.4137931034483,874.5689655172414,874.2931034482758,874.3275862068965,874.551724137931,874.4827586206897,874.3620689655172,874.2241379310345,874.0344827586207,874.4310344827586,874.2586206896551,873.6034482758621,874.3793103448276,874.2586206896551,874.1551724137931,873.7413793103449,873.7758620689655,874.0172413793103,873.1034482758621,872.4137931034483,871.3965517241379,870.5862068965517,869.8965517241379,869.5862068965517,868.3793103448276,91471.86801426871,99155.84304399524,90387.55053507729,86511.32728894174,87350.19976218787,92493.29488703923,94859.94084423306,99112.26516052318,97648.07045184304,100762.48543400712,100534.96700356719,107320.05826397147,109902.41171224733,117247.4164684899,117913.9812722949,124749.5707491082,124332.76337693224,128383.25118906064,124172.88585017837,123503.6281212842,133662.34601664686,130663.38049940548,131078.45214030915,133204.7589179548,130381.18579072533,131274.14387633768,131867.76694411415,143666.74821640903,146520.34631391198,155158.10225921523,155633.96938168848,161218.9158739596,168867.54964328182,165193.0285374554,166688.15725326992,167544.6483353151,167581.12277051128,163298.34631391204,158742.25832342452,160581.40309155767,165879.69084423306,177869.58412604046,184286.00118906063,194339.36860879904,196280.8632580262,220709.33888228302
0,22,0.0,0.0,-0.610046941778708,-0.46853397879822006,-0.14151296298048796,39.85881495464321,0.6967640906731911,508.9052898744323,1606.828079080951,1034.345845578413,6.880293033836088,874.551724137931,875.3448275862069,876.4827586206897,877.1034482758621,878.2413793103449,879.3275862068965,880.6551724137931,881.8965517241379,882.6206896551724,883.551724137931,884.7413793103449,885.4827586206897,887.0344827586207,887.6896551724138,888.3275862068965,889.1896551724138,890.5172413793103,891.4137931034483,892.1034482758621,892.9827586206897,893.3620689655172,894.0344827586207,895.6034482758621,896.948275862069,897.8103448275862,898.551724137931,899.5862068965517,900.8275862068965,901.2068965517242,902.448275862069,902.6379310344828,903.1379310344828,904.5172413793103,906.2758620689655,907.6724137931035,908.3965517241379,909.3103448275862,910.3103448275862,910.6379310344828,911.0344827586207,911.3965517241379,912.0344827586207,912.6379310344828,913.3448275862069,913.9655172413793,914.7413793103449,91471.86801426871,98447.95005945301,92671.0083234245,83415.05826397147,84642.63139120096,89905.77199762188,92929.5707491082,99875.7824019025,99593.37336504161,107040.86801426872,104970.81242568372,109219.90487514861,110574.8953626635,111271.52437574319,106202.77199762188,107850.63644470867,106027.31866825206,105678.89774078477,101775.60998810938,105220.25832342448,113191.74821640905,110076.96432818074,108598.23929845422,107840.18697978598,112117.01575505351,113986.76456599288,116681.00118906064,127606.34958382879,131606.0951248514,139189.17835909632,142557.05856123666,151623.6706302021,162931.2152199762,162469.9583828775,168664.04785969082,172638.61860879906,171815.93816884662,162898.17954815697,159247.50683709868,166322.6539833531,174261.2392984542,190590.48156956004,205099.0585612366,223828.53626634955,230069.20570749106,260467.43311533888
0,6,0.0,0.0,-0.6792847599103071,-0.5342025931343926,-0.1450821667759145,40.91422734373902,0.714437957176698,509.78041825095056,1630.9535578489952,1048.9775936990766,7.2228024671728654,874.551724137931,874.3793103448276,874.3275862068965,874.5689655172414,873.9827586206897,873.7413793103449,874.6034482758621,875.051724137931,875.8275862068965,876.0172413793103,876.8965517241379,877.5689655172414,878.6034482758621,879.0172413793103,880.4655172413793,881.051724137931,882.1379310344828,883.2241379310345,884.3275862068965,885.3448275862069,886.0,886.7758620689655,887.3620689655172,887.7758620689655,888.9827586206897,889.551724137931,890.2586206896551,890.6896551724138,891.5,892.4655172413793,893.3103448275862,893.551724137931,894.051724137931,894.6206896551724,895.2413793103449,895.4310344827586,896.0689655172414,896.8275862068965,897.8793103448276,898.7586206896551,898.2931034482758,898.9827586206897,898.9655172413793,899.0689655172414,899.3103448275862,899.0689655172414,91471.86801426871,100770.09750297265,95658.53061831153,87942.41765755054,91312.49970273483,97110.1227705113,98075.5496432818,99972.08353151008,99616.76337693224,102486.2583234245,103694.09274673008,108913.96938168847,111179.3772294887,112968.74108204519,109489.1453626635,110517.53180737217,110989.04994054697,113384.38079667064,112214.08234244946,114253.77764565994,122934.06896551725,124720.65665873958,127015.05856123663,130819.00148632581,131945.12039239003,135964.48870392388,140678.98483947682,153334.3864447087,160788.80172413794,166230.80053507732,163553.69678953628,173275.07491082043,184942.3938763377,186805.61474435194,187050.90725326995,193803.65903686086,197023.30558858503,193765.2116527943,190150.3819857313,194124.3900118906,201813.82788347205,220111.36177170035,232285.13674197384,244041.305588585,249436.42092746732,273984.68489892985
0,14,0.0,0.0,-0.5459170935341797,-0.41052388441785737,-0.1353932091163223,38.101898575041965,0.6662620711960512,495.76616379310343,1558.431573275862,1001.8376885775862,6.08938208382827,874.551724137931,875.1034482758621,875.3793103448276,875.8103448275862,876.8448275862069,876.948275862069,877.8793103448276,878.448275862069,879.1551724137931,880.1896551724138,880.4137931034483,880.9827586206897,881.5172413793103,881.8965517241379,882.4827586206897,883.1551724137931,884.1206896551724,884.4655172413793,884.8448275862069,885.0,885.5,886.0689655172414,887.5172413793103,888.7931034482758,889.1206896551724,889.5,890.2068965517242,891.2758620689655,891.6379310344828,892.3965517241379,893.0,894.0689655172414,894.3965517241379,895.5344827586207,896.0,895.948275862069,896.0862068965517,896.3793103448276,897.2931034482758,897.2241379310345,897.4655172413793,897.2758620689655,897.2586206896551,897.3793103448276,897.4827586206897,897.3275862068965,91471.86801426871,98688.50653983354,91934.9940546968,85871.1881688466,86435.95868014268,87901.08353151011,91557.03715814506,89964.69560047562,88852.16557669442,88396.46403091558,86282.58739595719,95562.36177170034,93190.21521997622,91126.95481569562,91177.6634958383,95292.02764565992,90413.41646848989,91977.90398335316,92907.09661117718,93113.5172413793,95670.56034482758,95642.92627824018,94313.35315101068,97416.30202140308,100691.20957193818,98622.11206896552,100397.54340071343,108306.68252080855,108392.64476813316,113692.41171224733,109199.06896551725,117919.58145065399,128525.85998810938,127813.45570749108,127993.0,131947.04904875148,134623.1477407848,128998.71819262784,124571.86236623069,126406.72562425685,132047.3177764566,147810.40665873955,159483.7779429251,170481.20095124852,179367.76694411415,200949.04785969085
0,7,0.0,0.0,-0.7032433942416028,-0.5601096266974718,-0.143133767544131,40.245730718472956,0.704934419623642,518.5340377156614,1614.471178280059,1044.5605189247024,8.020390217455214,874.551724137931,875.7413793103449,877.0,877.4827586206897,878.8620689655172,880.3793103448276,881.4655172413793,882.7931034482758,883.5862068965517,884.1551724137931,885.1551724137931,886.1724137931035,887.1379310344828,888.1724137931035,888.9310344827586,889.3793103448276,890.3620689655172,890.8620689655172,891.6896551724138,892.4827586206897,893.8103448275862,894.8275862068965,895.4827586206897,896.5689655172414,897.6379310344828,898.4655172413793,899.6379310344828,900.5172413793103,901.1551724137931,901.9310344827586,902.3620689655172,904.0,904.6551724137931,904.9827586206897,905.2586206896551,905.8448275862069,906.1896551724138,906.9137931034483,907.3620689655172,907.9655172413793,908.2413793103449,909.0689655172414,909.1206896551724,909.3275862068965,909.4310344827586,910.3620689655172,91471.86801426871,103943.26070154576,100364.1724137931,93979.3186682521,92528.84304399525,101074.64922711058,104491.35225921523,111425.26753864448,112293.69084423306,117549.82074910821,120375.51040428063,132553.17717003566,139143.70511296077,144590.14268727705,139612.20214030915,142043.30439952438,138005.78269916767,134110.84304399526,131420.9381688466,136830.45659928655,143875.29161712245,147818.55648038047,146116.90487514864,147690.27972651605,152223.9206302021,153189.5936385256,151751.88614744353,165353.90487514864,169338.2690249703,179494.89179548156,175861.26545778837,189524.24137931035,201141.74316290132,207622.43073721757,209059.9503567182,217108.06212841853,218058.9467895363,210221.87187871578,207344.71373365042,210081.757431629,218768.4244946492,239061.92627824016,253499.31302021406,272132.08234244946,280875.76248513674,309025.7137336505
0,6,0.0,0.0,-0.6070480372824394,-0.4687226601472633,-0.1383253771351761,38.989306562225416,0.6821513720110992,504.66193336974334,1580.950983069361,1011.8887220098306,7.392456445909157,874.551724137931,874.9655172413793,875.448275862069,876.1551724137931,875.9827586206897,875.9137931034483,876.2931034482758,876.6206896551724,877.3275862068965,877.7931034482758,878.6724137931035,879.4655172413793,880.7413793103449,881.6034482758621,882.2931034482758,882.5689655172414,883.8620689655172,884.9655172413793,885.9310344827586,886.7931034482758,887.2586206896551,887.9310344827586,888.2758620689655,888.551724137931,889.2758620689655,890.0,890.6379310344828,890.6551724137931,891.0,891.6206896551724,891.8793103448276,892.1034482758621,893.2758620689655,893.8103448275862,894.4137931034483,894.9827586206897,894.9655172413793,895.9827586206897,896.6551724137931,897.2758620689655,897.5862068965517,898.5689655172414,898.0172413793103,897.8793103448276,897.7586206896551,897.2068965517242,91471.86801426871,100662.99881093936,93242.1438763377,84945.02764565992,82789.63763376931,91406.21670630202,95036.03478002378,98428.54577883473,100366.9788941736,105894.85374554101,104570.77199762188,107205.80053507729,105648.01932223544,107503.96343638527,103844.86236623068,108920.38317479192,106607.77407847799,104666.96432818072,104595.1331747919,108182.43995243758,116575.53656361475,113556.96076099882,119535.19976218787,121030.62663495837,118804.37217598097,122567.1724137931,120270.40338882283,133688.36385255647,137201.6551724138,146500.1664684899,145148.48543400716,152516.05826397147,166972.37217598097,162182.98127229488,167474.07015457787,174719.396254459,173726.86087990485,173593.53418549345,167475.84661117717,176475.75148632584,188224.86325802616,207691.3831747919,221052.36177170038,237261.96819262783,246430.80380499404,275590.09512485133
0,30,0.0,0.0,-0.67253810520058,-0.5282334851555539,-0.1443046200450261,40.727227486587346,0.7118036155689966,537.6270916334661,1614.3814077025233,1059.9585657370517,7.766316468740068,874.551724137931,875.4310344827586,876.051724137931,877.0862068965517,878.0344827586207,879.6896551724138,880.5,880.9137931034483,882.1724137931035,882.9310344827586,883.2758620689655,884.1206896551724,884.8448275862069,885.9827586206897,887.1551724137931,888.1379310344828,889.2586206896551,890.4137931034483,891.2068965517242,892.1724137931035,893.1724137931035,894.4137931034483,895.1551724137931,896.551724137931,897.4827586206897,898.2068965517242,899.551724137931,900.1034482758621,901.0862068965517,902.0172413793103,902.7758620689655,903.6034482758621,904.7758620689655,905.5862068965517,906.2931034482758,906.3620689655172,906.7758620689655,907.0689655172414,907.8103448275862,908.448275862069,908.6896551724138,909.4827586206897,909.5172413793103,909.7413793103449,909.948275862069,910.2586206896551,91471.86801426871,105260.31420927469,103899.49732461355,99109.63049940547,101150.44708680143,110727.45541022593,119957.93965517242,130372.00980975032,131309.07372175978,136436.54696789532,137381.372175981,148819.20957193815,147498.20005945303,150444.70659928655,149273.61385255647,156313.91200951248,152384.1917360285,151964.69084423306,150384.12960761,151941.65992865636,161455.6599286564,159844.89774078477,161352.88971462546,166260.52318668252,166926.56004756244,169179.64684898927,173600.38525564806,189575.29964328182,198883.63049940547,212958.32728894174,215118.622175981,226429.23929845422,249071.72562425685,253708.0701545779,258113.1727110583,266986.61028537457,272662.7945897741,264313.47800237813,266625.5674791914,273180.936979786,286507.0071343638,307629.14625445905,326691.31866825203,349071.88139120094,358629.635255648,389979.2607015458
0,9,0.0,0.0,-0.5984200293202991,-0.460131602141208,-0.1382884271790911,38.98715793284875,0.681460547857606,510.83035955663695,1595.9098404974318,1026.3811841038118,7.517791406680886,874.551724137931,874.5689655172414,874.8965517241379,875.2931034482758,874.8620689655172,875.0689655172414,875.8620689655172,876.1379310344828,876.4827586206897,876.7241379310345,876.3448275862069,876.5862068965517,877.5172413793103,878.1206896551724,878.8965517241379,879.6551724137931,880.448275862069,881.5172413793103,882.3793103448276,882.6551724137931,882.9137931034483,884.0344827586207,885.2068965517242,886.1034482758621,886.8620689655172,887.5689655172414,887.948275862069,888.3620689655172,888.7068965517242,889.1034482758621,889.6551724137931,890.0689655172414,890.1724137931035,890.9137931034483,892.0,891.9655172413793,891.8448275862069,891.9827586206897,891.9655172413793,892.1551724137931,892.3448275862069,892.2241379310345,892.051724137931,892.2241379310345,892.3793103448276,892.3103448275862,91471.86801426871,99597.24524375741,91235.78240190248,85136.13822829965,88400.46373365042,97144.34007134364,101006.42925089179,108397.11890606422,110661.38763376931,112321.2342449465,112969.36385255647,122248.79429250892,125299.38763376931,130583.79577883471,118571.54102259214,118700.19143876337,111941.41973840665,113446.21521997622,109606.61474435196,108663.29488703923,119740.14774078477,115946.68846611178,115065.3365041617,115689.54102259214,114702.29131985731,118225.14179548158,115973.87663495837,127645.40338882282,131576.5520214031,134660.36860879904,131566.57074910818,132818.20214030918,141165.8323424495,144196.45808561236,142181.72413793104,145106.2746730083,151091.71730083236,143131.77556480383,141606.2057074911,144767.16557669442,153524.88109393578,176745.89803804996,190686.32491082043,204311.72562425685,210185.6837098692,234327.17954815694
