,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24275,25373,26082,27074,28025,28849,29858,30445,31167,31402,32481,32726,33442,34205,35184,36090,37047,37960,38032,39077,39391,39867,40824,41929,42885,43808,44805,45497,45952,47332,48102,48916,50144,51157,52746,53243,53360,54042,55810,56664,57482,58392,59196,60083,60980,61980,62981,63958,64945,65801,67031,67958,69207,70596,71256,72416,73177,73994,75061
2,54329,24376,25513,26237,27229,28149,28968,30021,30586,31336,31561,32600,32893,33620,34365,35345,36206,37226,38105,38240,39249,39556,40062,40963,42092,43077,43957,44941,45675,46150,47519,48223,49039,50305,51338,52932,53434,53542,54210,55970,56805,57648,58577,59357,60258,61170,62173,63169,64106,65083,65977,67162,68104,69302,70763,71460,72556,73346,74163,75237
3,54319,24453,25627,26314,27368,28272,29099,30149,30728,31491,31700,32719,33043,33721,34492,35465,36312,37346,38232,38379,39385,39711,40214,41099,42230,43190,44090,45051,45783,46302,47666,48351,49163,50416,51474,53094,53564,53683,54322,56122,56956,57797,58718,59494,60393,61290,62326,63306,64230,65211,66102,67262,68196,69403,70895,71588,72666,73506,74311,75388
4,54101,24606,25855,26483,27576,28444,29257,30353,30916,31711,31922,32834,33238,33907,34714,35678,36458,37536,38428,38608,39599,39905,40497,41289,42429,43371,44287,45213,45988,46522,47880,48501,49307,50556,51625,53308,53767,53906,54505,56363,57130,58039,58882,59662,60597,61529,62585,63447,64414,65390,66320,67410,68378,69564,71067,71806,72883,73685,74503,75595
5,66091,24817,26125,26697,27833,28636,29480,30590,31123,32032,32200,33017,33435,34118,34998,35930,36666,37782,38663,38921,39882,40103,40760,41550,42674,43634,44511,45403,46237,46840,48200,48748,49515,50761,51824,53584,54012,54167,54711,56651,57393,58364,59108,59898,60854,61807,62908,63666,64665,65619,66626,67657,68599,69795,71289,72103,73112,73921,74745,75873
6,66031,24941,26283,26848,27985,28814,29632,30758,31306,32235,32383,33146,33627,34240,35185,36117,36818,37978,38837,39138,40064,40262,40955,41696,42839,43835,44662,45555,46392,46993,48397,48895,49608,50913,51988,53726,54171,54339,54862,56838,57538,58589,59281,60068,61010,61973,63119,63818,64856,65805,66798,67829,68753,69919,71440,72301,73281,74088,74934,76048
7,66041,25065,26446,27030,28130,28984,29764,30945,31452,32430,32561,33271,33804,34399,35338,36301,36943,38163,39039,39324,40255,40431,41144,41858,43012,44015,44829,45711,46572,47190,48605,49054,49763,51053,52117,53905,54354,54526,54997,57010,57672,58764,59411,60212,61145,62181,63307,63979,64990,65934,66970,68029,68925,70032,71648,72495,73459,74291,75101,76227
8,66051,25142,26578,27170,28267,29077,29907,31034,31574,32577,32721,33362,33924,34529,35460,36433,37011,38311,39156,39475,40414,40579,41275,41983,43139,44212,44945,45811,46702,47317,48792,49185,49890,51146,52215,54021,54510,54651,55109,57116,57801,58921,59551,60357,61255,62311,63463,64128,65113,66053,67093,68162,69022,70146,71788,72622,73584,74429,75218,76376
9,66379,25252,26732,27304,28420,29210,30036,31200,31741,32778,32870,33438,34073,34672,35607,36580,37139,38462,39317,39633,40566,40729,41476,42146,43293,44371,45082,45914,46837,47481,49004,49345,50014,51264,52307,54208,54660,54833,55236,57283,57950,59064,59686,60517,61378,62483,63648,64296,65274,66190,67238,68304,69113,70265,71925,72779,73729,74554,75374,76507
10,66359,25326,26844,27413,28534,29286,30153,31351,31873,32917,33046,33561,34182,34788,35745,36709,37302,38590,39420,39765,40700,40862,41617,42302,43413,44522,45196,46005,46957,47605,49166,49455,50129,51339,52410,54333,54797,54957,55386,57392,58108,59176,59797,60602,61517,62604,63779,64398,65391,66298,67370,68408,69221,70363,72032,72889,73850,74656,75515,76632
11,62141,25412,26990,27543,28648,29391,30256,31453,31993,33059,33200,33666,34335,34922,35860,36833,37432,38714,39538,39902,40841,41022,41765,42431,43558,44686,45318,46125,47094,47732,49339,49613,50260,51458,52558,54531,54942,55102,55500,57590,58251,59329,59907,60722,61618,62725,63911,64508,65494,66396,67503,68524,69357,70443,72164,73031,73976,74766,75646,76784
12,62059,25513,27151,27704,28748,29553,30418,31614,32118,33230,33370,33799,34476,35089,36034,36991,37592,38858,39655,40093,41040,41150,41928,42570,43698,44859,45485,46265,47222,47910,49515,49767,50394,51578,52701,54672,55102,55252,55658,57765,58400,59481,60031,60872,61714,62886,64119,64644,65685,66563,67641,68661,69489,70570,72289,73152,74125,74925,75798,76964
13,62049,25616,27298,27876,28851,29657,30572,31725,32234,33443,33540,33942,34623,35239,36192,37141,37718,39001,39779,40262,41219,41314,42110,42677,43849,45006,45628,46417,47358,48036,49700,49914,50523,51731,52834,54857,55255,55418,55808,57931,58555,59680,60171,61019,61837,63032,64290,64769,65842,66706,67756,68826,69588,70689,72429,73319,74253,75079,75934,77125
14,62039,25670,27428,27991,28949,29763,30690,31840,32338,33554,33663,34069,34726,35331,36312,37257,37840,39092,39856,40436,41355,41436,42262,42759,43966,45125,45734,46523,47469,48132,49799,50006,50641,51831,52942,54958,55425,55540,55919,58057,58699,59805,60286,61128,61910,63146,64397,64850,65941,66806,67838,68902,69657,70825,72515,73411,74346,75189,76065,77261
15,62029,25779,27590,28114,29064,29872,30819,31968,32500,33728,33841,34214,34852,35502,36449,37407,38007,39233,40013,40627,41520,41605,42417,42900,44090,45289,45882,46650,47632,48273,49980,50154,50795,51968,53075,55148,55577,55720,56091,58202,58867,59996,60461,61276,62049,63310,64591,64987,66125,66920,68002,69069,69778,70929,72613,73543,74485,75315,76214,77440
16,62019,25830,27707,28207,29146,29980,30925,32049,32632,33877,33993,34355,34939,35596,36562,37539,38144,39325,40135,40789,41638,41743,42532,43011,44190,45416,45987,46716,47742,48395,50131,50278,50893,52075,53185,55229,55703,55844,56201,58316,58983,60140,60594,61372,62154,63431,64701,65111,66247,67020,68095,69192,69845,71039,72719,73639,74602,75432,76290,77570
17,70309,25910,27860,28343,29297,30104,31052,32163,32752,34004,34140,34487,35038,35731,36685,37674,38250,39421,40251,40920,41805,41875,42682,43115,44333,45570,46125,46832,47866,48544,50270,50427,50980,52191,53303,55366,55820,55969,56337,58466,59113,60297,60694,61486,62294,63568,64829,65210,66373,67147,68232,69333,69999,71173,72808,73779,74690,75570,76397,77702
18,70299,25958,27968,28428,29383,30188,31147,32292,32850,34126,34292,34627,35161,35833,36786,37777,38332,39551,40363,41047,41922,42008,42776,43261,44466,45658,46251,46969,47949,48664,50377,50544,51104,52310,53417,55493,55951,56109,56461,58577,59238,60415,60814,61614,62420,63686,64936,65306,66466,67277,68316,69396,70086,71231,72910,73889,74785,75693,76503,77832
19,70289,26041,28100,28571,29503,30305,31269,32384,33002,34281,34487,34755,35312,35977,36924,37905,38442,39676,40485,41196,42074,42160,42958,43383,44601,45804,46368,47068,48085,48772,50528,50716,51216,52373,53545,55669,56086,56242,56625,58722,59373,60573,60976,61735,62533,63810,65067,65422,66592,67388,68411,69492,70198,71318,73018,74022,74921,75811,76654,77964
20,70279,26162,28328,28733,29654,30468,31399,32524,33127,34473,34691,34938,35456,36124,37106,38096,38606,39859,40669,41382,42261,42376,43207,43576,44788,46005,46575,47261,48242,48940,50740,50885,51359,52500,53688,55834,56279,56401,56809,58908,59543,60805,61147,61916,62692,63970,65286,65569,66760,67528,68580,69632,70352,71468,73173,74222,75112,75973,76777,78127
21,70269,26236,28463,28839,29776,30570,31493,32648,33260,34621,34865,35064,35580,36233,37271,38187,38746,40009,40773,41502,42400,42525,43350,43708,44874,46134,46650,47348,48335,49059,50911,51039,51477,52636,53829,55995,56421,56535,56964,59079,59696,60969,61276,62052,62826,64061,65408,65689,66871,67635,68686,69758,70435,71571,73286,74330,75221,76120,76887,78250
22,71161,26310,28612,28962,29890,30688,31609,32767,33375,34738,35033,35197,35729,36346,37383,38325,38858,40145,40891,41614,42542,42715,43486,43844,44995,46260,46803,47458,48461,49163,51073,51202,51598,52722,53931,56174,56572,56700,57102,59202,59817,61075,61427,62184,62936,64171,65556,65856,66994,67745,68814,69878,70567,71705,73392,74473,75342,76231,77028,78364
23,71151,26385,28738,29075,30032,30773,31718,32898,33496,34874,35189,35331,35862,36452,37494,38454,38981,40283,41036,41719,42690,42918,43662,44010,45132,46403,46944,47571,48609,49285,51214,51367,51703,52818,54047,56340,56743,56873,57240,59337,59932,61215,61575,62309,63034,64316,65707,66014,67125,67873,68944,70029,70697,71814,73497,74603,75445,76359,77132,78495
24,71141,26468,28912,29198,30126,30884,31841,33008,33630,34973,35338,35475,36017,36554,37600,38567,39070,40397,41174,41836,42886,43103,43829,44164,45231,46537,47084,47674,48728,49433,51347,51505,51831,52957,54159,56512,56914,57017,57366,59478,60060,61359,61735,62398,63153,64444,65896,66152,67223,68013,69033,70154,70821,71927,73616,74746,75564,76472,77264,78656
25,71121,26543,29078,29334,30228,30990,31945,33109,33746,35151,35500,35603,36145,36728,37712,38711,39167,40493,41295,41970,43015,43256,44003,44306,45372,46670,47244,47827,48847,49577,51486,51667,51994,53054,54289,56650,57083,57198,57511,59598,60231,61520,61892,62528,63276,64580,66011,66251,67318,68122,69143,70262,70964,72047,73740,74848,75719,76577,77387,78794
26,71131,26614,29227,29462,30364,31107,32051,33216,33868,35290,35667,35770,36273,36849,37843,38853,39283,40636,41415,42061,43161,43415,44161,44442,45498,46834,47373,47927,48967,49742,51638,51834,52130,53146,54368,56805,57253,57369,57640,59750,60376,61657,62007,62679,63371,64689,66164,66419,67419,68202,69262,70397,71090,72172,73869,74969,75830,76708,77513,78923
27,71091,26759,29467,29649,30560,31267,32209,33413,34080,35523,35899,35941,36448,37005,38038,39015,39420,40832,41557,42235,43360,43644,44400,44636,45686,47033,47544,48122,49150,49926,51883,52015,52312,53303,54548,57077,57461,57569,57827,59967,60567,61875,62191,62900,63527,64894,66420,66620,67608,68378,69451,70575,71246,72366,74057,75167,76002,76886,77732,79120
28,72021,26856,29651,29795,30711,31407,32352,33551,34226,35663,36076,36169,36601,37111,38183,39145,39530,40963,41698,42415,43553,43839,44587,44782,45835,47177,47720,48283,49312,50089,52081,52184,52449,53411,54701,57263,57641,57773,57995,60134,60717,62046,62335,63061,63654,65015,66644,66762,67786,68464,69593,70724,71375,72507,74192,75318,76139,77034,77881,79297
29,72061,26982,29885,29986,30864,31550,32501,33690,34399,35884,36276,36371,36738,37274,38353,39305,39681,41136,41842,42603,43736,44045,44798,44942,46028,47347,47869,48418,49496,50256,52301,52376,52604,53554,54824,57470,57828,57975,58161,60302,60876,62257,62481,63254,63829,65183,66874,66988,67948,68620,69762,70882,71481,72618,74328,75482,76287,77210,78070,79478
30,72071,27041,30027,30141,30969,31658,32606,33753,34474,36020,36412,36536,36842,37374,38485,39428,39799,41264,41919,42726,43836,44203,44908,45083,46134,47456,47971,48561,49594,50377,52452,52535,52721,53665,54923,57611,57937,58136,58305,60412,60999,62371,62632,63338,63914,65244,67046,67131,68068,68711,69869,70957,71602,72724,74418,75573,76395,77325,78218,79598
31,84499,27167,30267,30347,31150,31832,32735,33886,34595,36202,36631,36732,36986,37530,38679,39600,39952,41428,42101,42904,44020,44411,45108,45262,46332,47675,48145,48734,49754,50560,52664,52743,52856,53846,55053,57856,58162,58337,58454,60609,61141,62572,62791,63507,64092,65438,67256,67363,68229,68862,70054,71107,71760,72900,74584,75752,76574,77487,78397,79800
32,84489,27326,30539,30612,31330,32008,32902,34103,34788,36465,36825,36935,37155,37706,38879,39786,40117,41626,42274,43114,44236,44628,45332,45455,46574,47880,48328,48894,49959,50766,52933,52955,53054,53997,55236,58126,58361,58542,58640,60831,61342,62808,62954,63686,64251,65649,67495,67579,68399,69041,70226,71287,71928,73057,74778,76007,76776,77643,78578,80002
33,84461,27421,30713,30801,31476,32148,33026,34260,34941,36674,37006,37109,37319,37879,39044,39929,40290,41783,42440,43240,44401,44836,45512,45616,46734,48056,48468,49034,50142,50968,53145,53261,53365,54133,55364,58347,58560,58713,58808,61018,61507,62978,63108,63789,64386,65822,67696,67843,68521,69167,70378,71418,72047,73194,74909,76145,76910,77788,78771,80176
34,84471,27517,30901,30992,31620,32285,33151,34406,35092,36853,37204,37315,37484,38036,39188,40093,40443,41943,42576,43392,44551,44994,45710,45823,46912,48213,48628,49192,50275,51140,53378,53500,53508,54292,55503,58564,58720,58883,58996,61182,61674,63186,63267,63932,64539,65982,67960,68048,68692,69321,70505,71565,72168,73294,75019,76319,77059,77950,78911,80342
35,84621,27630,31086,31202,31776,32441,33300,34542,35244,37054,37396,37495,37648,38177,39317,40239,40581,42093,42693,43508,44701,45151,45903,45996,47076,48406,48792,49329,50406,51300,53617,53734,53802,54438,55656,58775,58895,59059,59174,61384,61840,63359,63449,64096,64679,66156,68164,68290,68838,69464,70682,71685,72328,73437,75165,76482,77208,78099,79071,80494
36,84611,27727,31303,31413,31937,32541,33445,34699,35395,37239,37579,37697,37831,38310,39489,40399,40690,42271,42867,43661,44834,45333,46112,46143,47235,48562,48956,49484,50542,51436,53851,53880,54033,54561,55831,58976,59054,59234,59341,61552,61998,63555,63612,64224,64832,66314,68407,68453,68997,69589,70824,71807,72432,73566,75287,76643,77332,78218,79218,80682
37,84631,27778,31462,31581,32041,32578,33539,34808,35510,37384,37721,37831,37942,38421,39585,40516,40830,42430,42990,43788,44939,45462,46247,46282,47327,48694,49095,49608,50656,51536,54016,54129,54232,54682,55958,59137,59248,59381,59479,61673,62135,63693,63714,64353,64938,66430,68556,68667,69097,69704,70921,71889,72557,73684,75384,76767,77447,78312,79326,80808
38,84601,27828,31630,31750,32174,32692,33650,34921,35612,37554,37905,38003,38078,38522,39666,40639,40949,42568,43129,43894,45048,45597,46405,46425,47447,48838,49217,49721,50760,51637,54187,54310,54410,54790,56065,59299,59413,59520,59622,61804,62269,63892,64007,64499,65046,66520,68725,68812,69203,69819,71046,72006,72667,73776,75508,76899,77553,78388,79438,80927
39,75341,27922,31851,31926,32343,32800,33774,35095,35756,37769,38075,38162,38238,38670,39838,40829,41087,42755,43259,44057,45237,45787,46606,46706,47622,49004,49394,49880,50917,51795,54427,54542,54640,54931,56180,59492,59601,59693,59827,61986,62442,64124,64234,64628,65211,66670,68929,69048,69394,69948,71143,72176,72811,73864,75659,77111,77691,78509,79617,81148
40,75061,28026,32028,32127,32523,32940,33900,35223,35868,37970,38259,38352,38393,38818,39993,41006,41238,42939,43392,44193,45458,45938,46809,46907,47778,49190,49557,50028,51059,51911,54659,54768,54808,55098,56316,59668,59785,59927,60026,62187,62560,64351,64465,64803,65362,66828,69138,69284,69570,70095,71283,72353,72936,73986,75795,77289,77838,78703,79725,81342
41,76289,28194,32303,32398,32763,33145,34049,35438,36073,38269,38488,38629,38724,39043,40228,41242,41444,43206,43627,44388,45701,46214,47078,47174,48001,49476,49785,50232,51248,52104,54973,55054,55133,55299,56447,59953,60103,60215,60301,62461,62773,64670,64763,65036,65571,67055,69431,69576,69818,70300,71517,72580,73139,74110,75984,77550,78078,78921,79925,81604
42,76129,28292,32472,32581,32916,33274,34120,35569,36154,38387,38693,38776,38910,39176,40348,41377,41606,43361,43777,44503,45843,46374,47247,47360,48109,49635,49943,50333,51381,52201,55141,55186,55295,55429,56518,60139,60290,60393,60459,62612,62934,64851,64923,65167,65714,67179,69625,69783,69983,70388,71676,72725,73272,74180,76093,77723,78231,79059,80009,81756
