,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,65009,22266,23445,24354,25738,26350,26906,27980,28734,29456,30430,31588,32669,33397,34627,35611,36508,37322,38168,38715,39102,40197,40902,41096,42230,43137,44177,45056,46066,46829,47719,48878,50051,50862,51625,52683,53779,54622,55669,57201,59120,60070,61138,62375,62949,63701,64466,64875,65024,65669,66720,67845,69810,69863,71260,72456,73361,74408
1,65259,22348,23557,24443,25833,26423,27020,28114,28815,29549,30515,31663,32793,33491,34756,35687,36585,37407,38286,38783,39223,40330,41002,41176,42312,43248,44298,45178,46186,46922,47807,48969,50184,50954,51707,52785,53866,54715,55748,57334,59220,60179,61263,62453,63014,63797,64539,64956,65109,65773,66832,67964,69923,69925,71343,72598,73467,74504
2,65409,22401,23655,24522,25902,26515,27134,28221,28910,29646,30598,31731,32876,33594,34845,35764,36662,37486,38391,38878,39355,40448,41117,41295,42387,43347,44391,45274,46279,47015,47880,49042,50283,51052,51798,52872,53939,54792,55820,57446,59286,60253,61341,62527,63097,63880,64616,65051,65223,65872,66919,68047,69989,70034,71413,72689,73567,74575
3,65141,22471,23784,24617,25992,26621,27271,28357,29025,29764,30702,31818,32983,33717,34960,35857,36759,37584,38523,38988,39511,40596,41257,41432,42480,43474,44507,45392,46395,47126,47969,49135,50413,51169,51908,52984,54030,54886,55911,57594,59372,60346,61442,62620,63195,63983,64708,65160,65351,65990,67028,68154,70077,70156,71504,72809,73690,74663
4,65431,22510,23869,24684,26055,26691,27356,28439,29101,29837,30769,31876,33087,33795,35049,35923,36823,37650,38604,39066,39607,40685,41347,41528,42550,43554,44580,45465,46468,47199,48028,49198,50494,51246,51979,53055,54090,54948,55973,57688,59432,60407,61510,62682,63263,64049,64771,65234,65441,66067,67098,68223,70130,70244,71566,72888,73767,74718
5,67591,22597,24033,24795,26168,26815,27515,28604,29232,29974,30894,31983,33217,33938,35191,36033,36941,37766,38766,39191,39785,40864,41510,41681,42662,43710,44719,45606,46609,47330,48134,49314,50656,51382,52108,53194,54202,55064,56087,57875,59538,60522,61635,62798,63374,64173,64879,65360,65583,66201,67231,68355,70232,70374,71679,73037,73913,74822
6,67411,22667,24180,24893,26272,26922,27651,28744,29346,30092,31003,32079,33333,34061,35314,36130,37046,37868,38903,39299,39934,41015,41649,41813,42760,43847,44840,45727,46732,47441,48227,49419,50798,51500,52218,53314,54301,55166,56188,58039,59633,60625,61747,62902,63471,64281,64973,65467,65704,66317,67348,68470,70321,70485,71783,73168,74038,74913
7,67441,22735,24309,24976,26365,27012,27763,28860,29440,30190,31095,32162,33433,34163,35417,36213,37136,37955,39014,39392,40054,41138,41765,41924,42844,43962,44940,45829,46835,47535,48308,49511,50917,51597,52312,53416,54385,55253,56275,58179,59715,60712,61841,62991,63554,64373,65053,65555,65804,66412,67447,68567,70393,70579,71876,73277,74143,74989
8,67611,22872,24539,25121,26525,27174,27977,29085,29609,30372,31264,32309,33619,34354,35615,36360,37298,38113,39228,39549,40288,41377,41978,42112,42996,44181,45131,46020,47029,47708,48451,49675,51141,51775,52482,53607,54536,55411,56431,58455,59881,60872,62016,63148,63699,64542,65193,65712,65976,66587,67633,68748,70560,70733,72036,73488,74339,75128
9,67601,22987,24717,25237,26649,27301,28147,29265,29742,30517,31400,32430,33763,34503,35771,36479,37427,38242,39389,39675,40469,41568,42142,42258,43118,44357,45279,46172,47178,47845,48566,49810,51310,51914,52618,53761,54660,55540,56559,58679,60015,61001,62157,63271,63816,64676,65304,65836,66111,66726,67782,68894,70687,70855,72169,73652,74494,75240
10,67629,23095,24917,25372,26790,27446,28342,29457,29894,30682,31557,32569,33928,34678,35950,36617,37588,38388,39591,39818,40677,41776,42332,42424,43259,44557,45450,46348,47348,48001,48701,49975,51533,52074,52774,53939,54802,55690,56707,58929,60150,61151,62322,63409,63949,64828,65431,65976,66264,66888,67956,69063,70849,70992,72321,73838,74672,75369
11,64621,23163,25036,25462,26880,27538,28461,29567,29993,30784,31661,32665,34055,34790,36057,36706,37680,38483,39702,39913,40802,41895,42451,42531,43351,44680,45555,46456,47450,48098,48794,50083,51643,52175,52876,54051,54895,55791,56810,59080,60239,61253,62433,63495,64035,64923,65513,66063,66364,66990,68068,69175,70927,71084,72430,73950,74780,75453
12,64461,23225,25151,25554,26970,27630,28581,29675,30092,30886,31764,32762,34171,34902,36162,36796,37773,38578,39803,40008,40926,42014,42570,42638,43444,44802,45660,46564,47552,48195,48890,50194,51751,52277,52977,54161,54987,55892,56916,59236,60327,61356,62545,63581,64123,65017,65596,66151,66461,67093,68180,69290,71000,71177,72542,74062,74888,75537
13,66499,23305,25294,25648,27059,27722,28700,29790,30192,30986,31866,32858,34293,35013,36283,36886,37866,38673,39899,40103,41049,42131,42689,42746,43536,44921,45764,46671,47652,48291,48987,50303,51883,52379,53077,54268,55078,55990,57024,59385,60415,61457,62655,63665,64211,65110,65677,66238,66558,67194,68290,69408,71066,71273,72656,74178,74994,75621
14,66489,23404,25474,25773,27192,27849,28869,29997,30330,31127,32012,32983,34441,35168,36429,37007,37989,38802,40062,40232,41228,42307,42856,42895,43661,45091,45912,46821,47797,48426,49114,50446,52061,52522,53214,54419,55201,56122,57168,59586,60534,61593,62802,63782,64328,65241,65789,66359,66692,67334,68439,69572,71178,71400,72801,74334,75145,75737
15,64119,23504,25668,25901,27336,27977,29066,30202,30470,31272,32156,33149,34587,35473,36683,37138,38172,38931,40249,40360,41406,42515,43023,43071,43798,45324,46067,46996,47970,48559,49238,50609,52263,52666,53358,54568,55324,56262,57314,59780,60686,61729,62953,63898,64445,65368,65901,66479,66825,67474,68588,69738,71315,71526,72945,74486,75295,75855
16,64109,23609,25839,26045,27483,28104,29263,30385,30610,31412,32297,33290,34709,35635,36829,37396,38348,39087,40443,40490,41607,42700,43192,43240,43923,45515,46214,47165,48112,48694,49363,50748,52460,52811,53495,54710,55446,56389,57459,59973,60826,61925,63125,64039,64563,65499,66014,66601,66959,67614,68738,69909,71430,71653,73089,74639,75444,75975
17,63219,23694,25958,26156,27594,28216,29413,30509,30733,31530,32413,33396,34813,35756,36939,37498,38445,39301,40630,40661,41766,42873,43336,43384,44032,45662,46339,47294,48232,48810,49472,50869,52590,52936,53613,54840,55551,56498,57587,60130,60927,62044,63240,64138,64664,65614,66113,66706,67073,67733,68866,70059,71510,71765,73216,74776,75569,76082
18,63209,23750,26038,26250,27662,28308,29522,30618,30837,31628,32506,33488,34895,35856,37039,37584,38532,39389,40740,40775,41886,42989,43456,43503,44126,45760,46472,47395,48330,48906,49565,50971,52713,53040,53711,54934,55639,56589,57700,60253,61013,62135,63334,64220,64749,65698,66196,66792,67171,67832,68971,70187,71576,71861,73327,74879,75672,76174
19,63199,23830,26147,26360,27748,28417,29656,30745,30959,31748,32616,33595,35000,35976,37148,37686,38631,39495,40880,40960,42034,43133,43599,43665,44237,45877,46614,47518,48450,49022,49673,51092,52820,53164,53827,55049,55744,56696,57830,60402,61115,62241,63456,64323,64850,65801,66294,66896,67286,67952,69098,70334,71658,71973,73453,75005,75798,76282
20,63189,23894,26232,26455,27819,28509,29763,30842,31064,31847,32708,33686,35085,36076,37234,37775,38713,39583,40966,41128,42154,43245,43718,43801,44331,45968,46717,47618,48548,49120,49765,51193,52900,53282,53926,55145,55832,56784,57942,60518,61204,62330,63547,64405,64936,65884,66379,66982,67382,68052,69203,70457,71724,72069,73563,75108,75902,76376
21,63179,23930,26292,26535,27874,28583,29845,30913,31150,31924,32782,33761,35150,36153,37301,37848,38777,39655,41026,41236,42246,43330,43813,43909,44410,46035,46798,47697,48623,49199,49842,51279,52957,53365,54005,55214,55904,56856,58040,60601,61276,62400,63617,64469,65007,65949,66448,67051,67461,68131,69285,70559,71777,72150,73658,75186,75982,76456
22,63369,24000,26393,26644,27959,28693,29980,31038,31272,32043,32893,33866,35257,36274,37414,37952,38876,39761,41136,41403,42395,43472,43958,44073,44522,46152,46923,47820,48741,49315,49949,51398,53070,53490,54122,55326,56008,56963,58170,60746,61380,62506,63727,64567,65108,66051,66547,67155,67575,68250,69410,70698,71863,72260,73782,75313,76108,76565
23,66379,24080,26501,26753,28045,28805,30114,31165,31394,32163,33005,33972,35367,36396,37528,38057,38975,39868,41255,41570,42543,43616,44104,44236,44634,46269,47047,47942,48861,49432,50055,51521,53186,53615,54240,55437,56113,57071,58302,60888,61485,62614,63836,64665,65209,66153,66645,67258,67689,68369,69535,70837,71952,72371,73908,75439,76233,76675
24,66359,24135,26602,26847,28117,28900,30225,31266,31499,32262,33098,34063,35463,36496,37622,38147,39058,39957,41359,41707,42664,43732,44225,44373,44731,46362,47150,48043,48958,49530,50147,51624,53284,53721,54339,55527,56201,57162,58420,60995,61575,62705,63926,64747,65296,66236,66731,67344,67785,68470,69641,70954,72027,72467,74019,75540,76336,76770
25,62141,24210,26736,26940,28207,28997,30358,31397,31603,32364,33206,34167,35603,36639,37778,38292,39235,40111,41539,41869,42818,43893,44347,44510,44859,46549,47297,48191,49101,49640,50242,51762,53468,53860,54467,55680,56295,57285,58541,61171,61679,62835,64084,64857,65382,66344,66815,67432,67879,68574,69753,71083,72114,72563,74138,75686,76439,76866
26,62059,24287,26840,27049,28297,29113,30500,31525,31727,32484,33320,34277,35726,36764,37894,38395,39342,40224,41655,42032,42968,44039,44493,44674,44972,46680,47420,48315,49220,49757,50351,51893,53587,53985,54586,55795,56400,57397,58682,61305,61784,62949,64197,64959,65484,66448,66914,67537,67992,68694,69881,71219,72209,72674,74265,75809,76565,76977
27,62049,24360,26986,27158,28401,29230,30640,31664,31851,32605,33433,34389,35863,36890,38011,38499,39449,40335,41772,42193,43117,44185,44638,44839,45086,46854,47544,48439,49340,49875,50461,52022,53729,54110,54704,55908,56506,57510,58822,61427,61890,63062,64310,65060,65586,66551,67015,67642,68105,68814,70010,71354,72304,72786,74395,75933,76693,77090
28,62039,24401,27060,27237,28458,29312,30729,31740,31938,32683,33508,34470,35938,36971,38081,38572,39521,40413,41853,42294,43210,44272,44736,44950,45166,46926,47624,48517,49415,49953,50539,52118,53807,54195,54784,55979,56579,57589,58930,61493,61964,63144,64383,65127,65658,66617,67085,67712,68181,68895,70097,71444,72368,72867,74491,76010,76774,77172
29,62029,24475,27169,27346,28549,29431,30866,31869,32061,32803,33620,34582,36055,37097,38197,38677,39627,40526,41971,42453,43359,44417,44882,45115,45280,47046,47747,48640,49534,50071,50649,52250,53926,54319,54902,56093,56684,57700,59071,61615,62070,63260,64495,65227,65760,66720,67185,67815,68294,69015,70228,71576,72464,72980,74619,76135,76900,77286
