,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24270,25343,26145,27111,28018,28883,29824,30422,31128,31396,32496,32779,33501,34233,35180,36106,37085,37952,37976,39066,39384,39881,40809,41884,42790,43833,44873,45535,45985,47250,48179,48959,50176,51172,52714,53260,53337,54080,55806,56646,57425,58458,59260,60124,60979,62007,63025,63976,65008,65814,67099,67984,69258,70631,71226,72387,73149,73978,75070
2,54329,24381,25449,26257,27223,28102,29001,29909,30527,31257,31654,32646,33077,33757,34512,35420,36364,37313,38195,38227,39320,39620,40179,41010,42128,43010,43904,44981,45791,46267,47506,48389,49229,50255,51268,52807,53344,53578,54351,55908,56739,57508,58593,59467,60239,61118,62128,63152,64080,65099,65994,67223,68062,69396,70730,71329,72470,73241,74067,75186
3,54319,24460,25518,26345,27303,28174,29088,29973,30584,31341,31892,32756,33332,33999,34728,35648,36512,37425,38403,38453,39555,39857,40429,41238,42308,43078,43969,45072,45879,46518,47714,48488,49433,50391,51335,52871,53411,53803,54600,55975,56799,57590,58704,59567,60344,61247,62221,63264,64165,65177,66097,67329,68128,69504,70796,71401,72535,73308,74151,75278
4,54101,24618,25648,26509,27466,28282,29267,30110,30720,31461,32125,32886,33631,34299,35058,35925,36737,37637,38605,38760,39826,40139,40766,41501,42431,43245,44117,45296,46085,46852,47854,48662,49627,50523,51473,53005,53556,54113,54877,56096,56909,57697,58912,59725,60543,61420,62407,63440,64338,65325,66290,67505,68238,69709,70909,71515,72658,73440,74262,75440
5,66091,24820,25814,26771,27673,28431,29492,30281,30860,31635,32317,33059,33901,34644,35453,36176,36960,37937,38898,39131,40155,40491,41212,41812,42613,43456,44300,45514,46350,47169,48067,48993,49871,50740,51671,53155,53735,54439,55122,56270,57057,57849,59194,59953,60788,61680,62661,63694,64567,65532,66568,67750,68429,69981,71064,71712,72846,73622,74416,75675
6,66031,24935,25934,26916,27795,28543,29640,30409,31046,31753,32517,33249,34081,34890,35717,36359,37127,38171,39160,39399,40401,40767,41525,42043,42829,43656,44489,45641,46559,47418,48215,49201,50106,50930,51873,53251,53834,54595,55365,56369,57180,57996,59346,60160,60969,61867,62897,63865,64792,65731,66739,67900,68625,70139,71210,71837,72935,73740,74567,75829
7,66041,25057,26066,27048,27920,28687,29782,30531,31210,31917,32657,33377,34296,35088,35911,36557,37358,38372,39399,39685,40654,41043,41853,42263,43039,43886,44681,45799,46770,47640,48401,49418,50355,51110,52042,53342,53992,54762,55522,56524,57316,58105,59509,60318,61135,62106,63086,64076,64987,65924,66927,68062,68790,70288,71314,72045,73044,73853,74766,75957
8,66051,25132,26139,27130,28058,28820,29869,30640,31347,32016,32794,33475,34400,35216,36070,36706,37513,38489,39597,39917,40861,41249,42117,42445,43193,44058,44900,45941,46951,47806,48569,49605,50509,51308,52200,53409,54075,54855,55706,56682,57466,58238,59631,60433,61281,62260,63255,64221,65153,66038,67066,68166,68982,70403,71404,72206,73160,74032,74880,76037
9,66379,25247,26232,27266,28179,28952,30011,30749,31442,32152,32912,33620,34549,35376,36223,36866,37665,38716,39707,40151,41115,41506,42415,42684,43390,44242,45069,46137,47132,48030,48776,49812,50677,51509,52406,53523,54238,54983,55917,56834,57584,58459,59780,60590,61432,62408,63427,64379,65343,66208,67300,68295,69191,70547,71518,72420,73314,74159,75061,76141
