,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24248,25343,26087,27082,27987,28910,29838,30487,31121,31397,32505,32728,33437,34220,35210,36059,37031,37956,37970,39052,39388,39859,40819,41905,42837,43823,44899,45489,45906,47273,48136,48980,50135,51206,52717,53222,53330,54128,55794,56671,57430,58419,59219,60050,60891,61936,63037,63902,64988,65742,67003,68010,69239,70619,71214,72364,73188,74001,75048
2,54329,24325,25465,26225,27239,28130,29106,30007,30670,31263,31542,32666,32866,33576,34382,35382,36204,37184,38100,38153,39204,39531,40020,40981,42073,43019,43998,45090,45658,46042,47445,48309,49167,50291,51400,52929,53370,53477,54312,55982,56844,57596,58606,59372,60199,61029,62087,63238,64056,65138,65892,67152,68184,69425,70790,71364,72518,73367,74169,75199
3,54319,24382,25570,26346,27377,28258,29269,30158,30823,31389,31665,32806,32987,33698,34520,35531,36333,37319,38227,38309,39340,39654,40155,41121,42220,43176,44151,45253,45806,46162,47598,48458,49325,50431,51566,53114,53500,53603,54467,56152,56996,57741,58766,59508,60331,61153,62220,63409,64194,65271,66023,67285,68333,69588,70944,71494,72654,73521,74318,75332
4,54101,24498,25720,26515,27572,28432,29521,30370,31053,31560,31848,33003,33160,33867,34726,35746,36509,37509,38403,38486,39528,39831,40360,41321,42429,43408,44367,45495,46017,46327,47814,48675,49565,50617,51818,53380,53681,53792,54705,56383,57214,57949,59004,59696,60512,61321,62406,63668,64381,65456,66206,67464,68552,69820,71151,71677,72842,73750,74530,75515
5,66091,24652,25915,26733,27828,28652,29864,30644,31364,31779,32088,33261,33388,34087,35000,36030,36732,37755,38627,38696,39770,40062,40631,41581,42701,43714,44653,45815,46296,46539,48096,48961,49885,50850,52158,53729,53910,54043,55028,56677,57499,58222,59325,59938,60747,61538,62644,64018,64618,65694,66443,67690,68843,70124,71415,71913,73082,74055,74808,75748
6,66031,24739,26045,26887,28006,28816,30087,30838,31570,31939,32249,33443,33546,34248,35186,36228,36898,37931,38793,38840,39945,40223,40813,41764,42893,43922,44853,46035,46490,46692,48294,49159,50101,51027,52382,53971,54079,54210,55243,56891,57698,58412,59541,60113,60916,61696,62816,64248,64793,65868,66615,67858,69043,70337,71609,72083,73257,74261,75001,75922
7,66041,24826,26174,27041,28183,28981,30310,31033,31778,32101,32412,33625,33705,34410,35374,36426,37064,38107,38960,38984,40120,40385,40995,41949,43086,44131,45053,46253,46685,46845,48496,49359,50317,51205,52608,54213,54321,54377,55459,57106,57898,58603,59756,60290,61087,61856,62988,64478,64970,66043,66786,68027,69242,70550,71804,72254,73433,74467,75197,76097
8,66051,24880,26270,27160,28321,29117,30474,31190,31936,32234,32537,33770,33829,34540,35515,36580,37202,38248,39096,39186,40263,40512,41132,42096,43239,44291,45211,46421,46837,46970,48654,49514,50479,51355,52775,54402,54510,54511,55619,57282,58057,58753,59921,60434,61225,61986,63127,64649,65117,66183,66924,68168,69395,70716,71965,72392,73574,74622,75350,76240
9,66379,24972,26378,27295,28478,29267,30667,31365,32119,32383,32681,33934,34021,34687,35678,36755,37355,38406,39248,39338,40422,40657,41293,42262,43412,44477,45390,46613,47011,47111,48834,49691,50667,51518,52971,54618,54660,54666,55808,57477,58237,58924,60111,60595,61379,62131,63283,64849,65281,66342,67078,68324,69573,70907,72143,72546,73734,74800,75525,76399
10,66359,25047,26470,27412,28613,29403,30830,31522,32275,32518,32807,34078,34179,34818,35821,36910,37495,38548,39385,39472,40565,40785,41429,42409,43565,44637,45549,46781,47164,47250,48992,49847,50829,51668,53140,54806,54925,54925,55972,57654,58395,59073,60275,60740,61517,62262,63423,65017,65429,66483,67217,68466,69727,71075,72305,72685,73877,74956,75678,76544
11,62141,25104,26560,27526,28747,29537,30992,31678,32432,32653,32932,34222,34336,34949,35963,37064,37634,38689,39522,39607,40707,40913,41564,42555,43718,44797,45707,46949,47315,47402,49150,50002,50991,51818,53309,55006,55111,55111,56134,57829,58554,59224,60439,60885,61655,62391,63562,65185,65577,66626,67354,68606,69880,71242,72467,72822,74022,75111,75831,76687
12,62059,25176,26664,27655,28900,29686,31182,31855,32614,32804,33076,34385,34522,35098,36129,37241,37789,38851,39675,39767,40867,41058,41722,42721,43892,44982,45888,47143,47489,47586,49329,50180,51181,51983,53506,55219,55266,55357,56326,58024,58735,59394,60628,61047,61810,62537,63719,65383,65740,66785,67510,68761,70056,71432,72648,72977,74183,75293,76005,76848
13,62049,25255,26766,27781,29052,29837,31372,32033,32797,32955,33221,34547,34706,35248,36295,37417,37945,39013,39828,39926,41026,41203,41882,42888,44064,45168,46068,47336,47664,47770,49509,50359,51371,52150,53701,55433,55539,55630,56518,58220,58916,59567,60817,61211,61965,62684,63875,65580,65906,66946,67667,68918,70231,71621,72830,73133,74344,75474,76181,77010
14,62039,25292,26836,27871,29163,29957,31501,32171,32928,33077,33327,34672,34833,35367,36415,37548,38072,39137,39951,40035,41151,41314,41997,43015,44196,45303,46205,47476,47795,47903,49646,50495,51508,52287,53838,55592,55697,55788,56655,58376,59055,59697,60954,61341,62089,62803,63996,65717,66039,67072,67790,69044,70361,71764,72975,73255,74471,75602,76313,77141
15,62029,25362,26934,27992,29310,30107,31688,32348,33111,33229,33474,34834,35016,35517,36580,37722,38229,39297,40105,40195,41310,41459,42157,43181,44368,45487,46386,47669,47970,48087,49826,50675,51697,52454,54033,55805,55909,56000,56848,58571,59238,59870,61143,61505,62246,62951,64152,65914,66204,67233,67947,69200,70536,71953,73155,73413,74632,75782,76488,77303
16,62019,25399,27001,28078,29416,30225,31813,32485,33241,33351,33581,34959,35143,35637,36699,37853,38356,39421,40228,40305,41435,41570,42270,43308,44500,45622,46523,47809,48102,48219,49964,50809,51834,52591,54170,55963,56032,56123,56983,58727,59378,60001,61280,61636,62368,63067,64273,66048,66338,67360,68069,69325,70666,72096,73300,73537,74759,75909,76621,77433
17,70309,25453,27082,28179,29539,30357,31967,32642,33398,33489,33708,35104,35299,35773,36842,38005,38498,39563,40366,40440,41576,41699,42406,43453,44652,45781,46682,47974,48256,48377,50122,50965,51997,52743,54336,56147,56250,56341,57147,58903,59540,60152,61443,61784,62508,63199,64410,66211,66489,67504,68208,69465,70818,72261,73462,73678,74902,76061,76774,77578
