,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24248,25343,26088,27067,28015,28839,29828,30452,31158,31382,32512,32782,33472,34174,35187,36134,37012,38008,38019,39052,39387,39806,40869,41893,42791,43841,44829,45477,45964,47302,48191,48947,50148,51157,52725,53246,53291,54073,55763,56690,57403,58391,59243,60140,60916,61923,62963,63976,64980,65775,67050,68025,69245,70647,71270,72416,73144,73997,75057
2,54329,24325,25424,26162,27151,28116,28928,29903,30546,31261,31455,32614,32901,33562,34242,35282,36254,37089,38138,38152,39132,39465,39872,40974,41998,42871,43960,44913,45548,46067,47447,48312,49045,50238,51267,52850,53340,53357,54182,55855,56841,57496,58504,59355,60272,61032,61997,63035,64080,65111,65883,67165,68150,69354,70768,71398,72544,73229,74087,75180
3,54319,24382,25481,26231,27214,28188,28993,29966,30615,31334,31510,32701,32997,33657,34300,35353,36334,37147,38241,38267,39198,39522,39938,41063,42069,42930,44072,44997,45607,46146,47570,48418,49129,50324,51350,52944,53407,53415,54266,55917,56941,57565,58597,59452,60375,61117,62059,63096,64168,65214,65969,67253,68262,69440,70876,71494,72635,73297,74152,75275
4,54101,24498,25591,26353,27344,28328,29111,30078,30747,31488,31617,32847,33187,33788,34404,35487,36529,37282,38446,38451,39333,39640,40047,41234,42214,43060,44277,45150,45731,46315,47764,48620,49294,50453,51512,53150,53537,53547,54438,56027,57137,57707,58759,59609,60574,61272,62162,63220,64331,65396,66146,67428,68441,69594,71072,71681,72820,73402,74298,75449
5,66091,24652,25737,26506,27521,28492,29272,30222,30917,31708,31775,33036,33454,33971,34547,35653,36762,37427,38720,38731,39489,39808,40190,41464,42410,43218,44503,45315,45870,46532,48024,48897,49511,50625,51723,53407,53734,53772,54686,56179,57414,57910,58979,59835,60846,61478,62310,63383,64563,65659,66379,67645,68697,69815,71330,71948,73089,73553,74481,75691
6,66031,24739,25825,26593,27621,28587,29376,30309,31017,31835,31862,33146,33608,34077,34624,35751,36901,37511,38880,38894,39577,39902,40268,41597,42521,43309,44632,45405,45948,46653,48184,49054,49642,50721,51850,53553,53837,53900,54825,56272,57569,58021,59101,59960,60995,61596,62392,63472,64689,65813,66524,67793,68848,69951,71483,72099,73234,73636,74584,75824
7,66041,24826,25917,26683,27724,28676,29468,30394,31121,31965,31974,33251,33760,34182,34704,35849,37035,37601,39043,39057,39668,39996,40359,41731,42641,43400,44788,45499,46038,46776,48330,49205,49764,50814,51974,53704,53943,54030,54972,56362,57726,58135,59232,60096,61156,61723,62479,63564,64827,65973,66661,67920,68992,70078,71627,72251,73380,73721,74692,75961
8,66051,24880,25977,26743,27793,28748,29534,30447,31187,32044,32058,33320,33855,34252,34754,35917,37121,37656,39146,39175,39728,40056,40409,41814,42712,43475,44900,45562,46091,46858,48450,49308,49858,50879,52054,53806,54014,54110,55081,56420,57847,58203,59317,60173,61256,61797,62532,63622,64936,66076,66741,68014,69104,70160,71735,72343,73468,73775,74762,76041
9,66379,24972,26076,26829,27889,28835,29619,30525,31284,32147,32170,33416,34004,34352,34827,36026,37254,37742,39294,39347,39806,40134,40490,41941,42832,43578,45058,45674,46181,46967,48585,49441,49965,50975,52188,53979,54102,54215,55195,56531,57995,58293,59424,60279,61388,61898,62597,63718,65061,66207,66855,68132,69229,70287,71880,72468,73587,73845,74850,76165
10,66359,25047,26132,26886,27950,28901,29694,30603,31351,32226,32254,33515,34109,34426,34886,36094,37358,37796,39436,39469,39868,40200,40544,42051,42921,43644,45158,45749,46240,47055,48697,49556,50046,51037,52271,54080,54187,54293,55301,56616,58101,58367,59508,60361,61482,61973,62653,63785,65143,66317,66941,68220,69327,70375,71997,72564,73688,73898,74916,76250
11,62141,25104,26200,26946,28019,28968,29755,30660,31423,32314,32344,33596,34218,34514,34943,36177,37464,37867,39558,39558,39937,40260,40609,42176,43009,43724,45305,45849,46313,47170,48844,49671,50144,51138,52393,54270,54280,54374,55451,56758,58255,58445,59643,60470,61603,62059,62724,63870,65282,66441,67039,68362,69443,70502,72149,72677,73827,73952,75008,76351
12,62059,25176,26276,27014,28099,29039,29832,30727,31508,32414,32456,33683,34339,34599,35004,36256,37572,37935,39691,39708,40011,40338,40675,42287,43104,43803,45412,45925,46379,47276,48964,49801,50246,51218,52491,54390,54390,54479,55569,56831,58388,58531,59748,60573,61730,62158,62786,63960,65395,66563,67145,68465,69563,70602,72292,72808,73950,74021,75102,76455
13,62049,25255,26360,27090,28189,29117,29907,30802,31599,32517,32568,33790,34461,34684,35075,36336,37681,38003,39827,39853,40082,40416,40744,42411,43200,43880,45546,46003,46448,47377,49082,49931,50345,51308,52596,54521,54529,54581,55690,56914,58530,58624,59859,60682,61855,62262,62861,64039,65509,66685,67261,68582,69688,70711,72437,72936,74078,74092,75210,76570
14,62039,25292,26397,27131,28230,29155,29947,30838,31640,32569,32624,33842,34524,34728,35110,36385,37745,38039,39912,39938,40129,40458,40776,42473,43250,43922,45609,46044,46480,47438,49154,49996,50402,51354,52650,54584,54592,54635,55754,56959,58599,58672,59915,60737,61917,62308,62896,64074,65568,66751,67316,68640,69751,70769,72504,73002,74144,74152,75260,76627
15,62029,25362,26466,27204,28314,29236,30021,30910,31722,32669,32739,33940,34652,34810,35178,36465,37857,38110,40057,40062,40201,40539,40843,42600,43346,44001,45725,46129,46555,47538,49274,50121,50501,51437,52762,54704,54709,54737,55866,57027,58735,58763,60023,60843,62040,62402,62961,64158,65684,66874,67428,68752,69871,70869,72625,73127,74264,74269,75345,76734
