,trip_id,shape_id,route_id
0,9153,43_1,43_1
1,24858,43_1,43_1
2,1419,43_1,43_1
3,1420,43_1,43_1
4,1421,43_1,43_1
5,1422,43_1,43_1
6,245,43_1,43_1
7,17987,43_1,43_1
8,24857,43_1,43_1
9,538,43_1,43_1
10,539,43_1,43_1
11,540,43_1,43_1
12,22386,43_1,43_1
13,17989,43_1,43_1
14,244,43_1,43_1
15,241,43_1,43_1
16,22770,43_1,43_1
17,541,43_1,43_1
18,17988,43_1,43_1
19,22771,43_1,43_1
20,22326,43_1,43_1
21,22327,43_1,43_1
22,22328,43_1,43_1
23,22772,43_1,43_1
24,22387,43_1,43_1
25,9149,43_1,43_1
26,9150,43_1,43_1
27,9151,43_1,43_1
28,9152,43_1,43_1
29,17985,43_1,43_1
30,5442,43_1,43_1
31,5443,43_1,43_1
32,5444,43_1,43_1
33,5445,43_1,43_1
34,22349,43_1,43_1
35,22350,43_1,43_1
36,22351,43_1,43_1
37,22352,43_1,43_1
38,22353,43_1,43_1
39,17986,43_1,43_1
40,22361,43_1,43_1
41,22362,43_1,43_1
42,22363,43_1,43_1
43,22364,43_1,43_1
44,22365,43_1,43_1
45,22758,43_1,43_1
46,22759,43_1,43_1
47,22760,43_1,43_1
48,22761,43_1,43_1
49,22762,43_1,43_1
50,22763,43_1,43_1
51,240,43_1,43_1
52,22385,43_1,43_1
53,242,43_1,43_1
54,243,43_1,43_1
55,22388,43_1,43_1
56,22389,43_1,43_1
