,time,loc,op,stop
0,47110,0.0,0.0,-1
1,47111,0.0,0.15,54009
2,47112,0.0,0.15,54009
3,47113,0.0,0.15,54009
4,47114,0.0,0.15,54009
5,47115,0.0,0.15,54009
6,47116,0.0,0.15,54009
7,47117,0.0,0.15,54009
8,47118,0.0,0.15,54009
9,47119,0.0,0.15,54009
10,47120,0.0,0.15,54009
11,47121,0.0,0.15,54009
12,47122,0.0,0.15,54009
13,47123,0.0,0.15,54009
14,47124,0.0,0.15,54009
15,47125,0.0,0.15,54009
16,47126,0.0,0.15,54009
17,47127,0.0,0.15,54009
18,47128,0.0,0.15,54009
19,47129,0.0,0.15,54009
20,47130,0.0,0.15,54009
21,47131,0.0,0.15,54009
22,47132,0.0,0.15,54009
23,47133,0.0,0.15,54009
24,47134,0.0,0.15,54009
25,47135,0.0,0.15,54009
26,47136,0.0,0.15,54009
27,47137,0.0,0.15,54009
28,47138,0.0,0.15,54009
29,47139,0.0,0.15,54009
30,47140,0.0,0.15,54009
31,47141,0.0,0.15,54009
32,47142,0.0,0.15,54009
33,47143,0.0,0.15,54009
34,47144,0.0,0.15,54009
35,47145,0.0,0.15,54009
36,47146,0.0,0.15,54009
37,47147,0.0,0.15,54009
38,47148,0.0,0.15,54009
39,47149,0.0,0.15,54009
40,47150,0.0,0.15,54009
41,47151,0.0,0.15,54009
42,47152,0.0,0.15,54009
43,47153,0.0,0.15,54009
44,47154,0.0,0.15,54009
45,47155,0.0,0.15,54009
46,47156,0.0,0.15,54009
47,47157,0.0,0.15,54009
48,47158,0.0,0.15,54009
49,47159,0.0,0.15,54009
50,47160,0.0,0.15,54009
51,47161,0.0,0.15,54009
52,47162,0.0,0.15,54009
53,47163,0.0,0.15,54009
54,47164,0.0,0.15,54009
55,47165,0.0,0.15,54009
56,47166,0.003611111111111111,0.15,-1
57,47167,0.007222222222222222,0.15,-1
58,47168,0.010833333333333334,0.15,-1
59,47169,0.014444444444444444,0.15,-1
60,47170,0.018055555555555554,0.15,-1
61,47171,0.021666666666666664,0.15,-1
62,47172,0.025277777777777774,0.15,-1
63,47173,0.028888888888888884,0.15,-1
64,47174,0.032499999999999994,0.15,-1
65,47175,0.03611111111111111,0.15,-1
66,47176,0.03972222222222222,0.15,-1
67,47177,0.043333333333333335,0.15,-1
68,47178,0.04694444444444445,0.15,-1
69,47179,0.05055555555555556,0.15,-1
70,47180,0.054166666666666675,0.15,-1
71,47181,0.05777777777777779,0.15,-1
72,47182,0.0613888888888889,0.15,-1
73,47183,0.06500000000000002,0.15,-1
74,47184,0.06861111111111112,0.15,-1
75,47185,0.07222222222222223,0.15,-1
76,47186,0.07583333333333334,0.15,-1
77,47187,0.07944444444444444,0.15,-1
78,47188,0.08305555555555555,0.15,-1
79,47189,0.08666666666666666,0.15,-1
80,47190,0.09027777777777776,0.15,-1
81,47191,0.09388888888888887,0.15,-1
82,47192,0.09749999999999998,0.15,-1
83,47193,0.10111111111111108,0.15,-1
84,47194,0.10472222222222219,0.15,-1
85,47195,0.1083333333333333,0.15,-1
86,47196,0.1119444444444444,0.15,-1
87,47197,0.11555555555555551,0.15,-1
88,47198,0.11916666666666662,0.15,-1
89,47199,0.12277777777777772,0.15,-1
90,47200,0.12638888888888883,0.15,-1
91,47201,0.12999999999999995,0.15,-1
92,47202,0.13361111111111107,0.15,-1
93,47203,0.1372222222222222,0.15,-1
94,47204,0.1408333333333333,0.15,-1
95,47205,0.14444444444444443,0.15,-1
96,47206,0.14805555555555555,0.15,-1
97,47207,0.15166666666666667,0.15,-1
98,47208,0.1552777777777778,0.15,-1
99,47209,0.1588888888888889,0.15,-1
100,47210,0.16250000000000003,0.15,-1
101,47211,0.16611111111111115,0.15,-1
102,47212,0.16972222222222227,0.15,-1
103,47213,0.1733333333333334,0.15,-1
104,47214,0.17694444444444452,0.15,-1
105,47215,0.18055555555555564,0.15,-1
106,47216,0.18416666666666676,0.15,-1
107,47217,0.18777777777777788,0.15,-1
108,47218,0.191388888888889,0.15,-1
109,47219,0.19500000000000012,0.15,-1
110,47220,0.19861111111111124,0.15,-1
111,47221,0.20222222222222236,0.15,-1
112,47222,0.20583333333333348,0.15,-1
113,47223,0.2094444444444446,0.15,-1
114,47224,0.21305555555555572,0.15,-1
115,47225,0.21666666666666684,0.15,-1
116,47226,0.22027777777777796,0.15,-1
117,47227,0.22388888888888908,0.15,-1
118,47228,0.2275000000000002,0.15,-1
119,47229,0.23111111111111132,0.15,-1
120,47230,0.23472222222222244,0.15,-1
121,47231,0.23833333333333356,0.15,-1
122,47232,0.24194444444444468,0.15,-1
123,47233,0.2455555555555558,0.15,-1
124,47234,0.24916666666666692,0.15,-1
125,47235,0.25277777777777805,0.15,-1
126,47236,0.25638888888888917,0.15,-1
127,47237,0.2600000000000003,0.15,-1
128,47238,0.2636111111111114,0.15,-1
129,47239,0.2672222222222225,0.15,-1
130,47240,0.27083333333333365,0.15,-1
131,47241,0.27444444444444477,0.15,-1
132,47242,0.2780555555555559,0.15,-1
133,47243,0.281666666666667,0.15,-1
134,47244,0.28527777777777813,0.15,-1
135,47245,0.28888888888888925,0.15,-1
136,47246,0.29250000000000037,0.15,-1
137,47247,0.2961111111111115,0.15,-1
138,47248,0.2997222222222226,0.15,-1
139,47249,0.30333333333333373,0.15,-1
140,47250,0.30694444444444485,0.15,-1
141,47251,0.310555555555556,0.15,-1
142,47252,0.3141666666666671,0.15,-1
143,47253,0.3177777777777782,0.15,-1
144,47254,0.32138888888888933,0.15,-1
145,47255,0.32500000000000046,0.15,-1
146,47256,0.3286111111111116,0.15,-1
147,47257,0.3322222222222227,0.15,-1
148,47258,0.3358333333333338,0.15,-1
149,47259,0.33944444444444494,0.15,-1
150,47260,0.34305555555555606,0.15,-1
151,47261,0.3466666666666672,0.15,-1
152,47262,0.3502777777777783,0.15,-1
153,47263,0.3538888888888894,0.15,-1
154,47264,0.35750000000000054,0.15,-1
155,47265,0.36111111111111166,0.15,-1
156,47266,0.3647222222222228,0.15,-1
157,47267,0.3683333333333339,0.15,-1
158,47268,0.371944444444445,0.15,-1
159,47269,0.37555555555555614,0.15,-1
160,47270,0.37916666666666726,0.15,-1
161,47271,0.3827777777777784,0.15,-1
162,47272,0.3863888888888895,0.15,-1
163,47273,0.3900000000000006,0.15,-1
164,47274,0.39361111111111174,0.15,-1
165,47275,0.39722222222222286,0.15,-1
166,47276,0.400833333333334,0.15,-1
167,47277,0.4044444444444451,0.15,-1
168,47278,0.4080555555555562,0.15,-1
169,47279,0.41166666666666735,0.15,-1
170,47280,0.41527777777777847,0.15,-1
171,47281,0.4188888888888896,0.15,-1
172,47282,0.4225000000000007,0.15,-1
173,47283,0.42611111111111183,0.15,-1
174,47284,0.42972222222222295,0.15,-1
175,47285,0.43333333333333407,0.15,-1
176,47286,0.4369444444444452,0.15,-1
177,47287,0.4405555555555563,0.15,-1
178,47288,0.44416666666666743,0.15,-1
179,47289,0.44777777777777855,0.15,-1
180,47290,0.45138888888888967,0.15,-1
181,47291,0.4550000000000008,0.15,-1
182,47292,0.4586111111111119,0.15,-1
183,47293,0.46222222222222303,0.15,-1
184,47294,0.46583333333333415,0.15,-1
185,47295,0.4694444444444453,0.15,-1
186,47296,0.4730555555555564,0.15,-1
187,47297,0.4766666666666675,0.15,-1
188,47298,0.48027777777777864,0.15,-1
189,47299,0.48388888888888976,0.15,-1
190,47300,0.4875000000000009,0.15,-1
191,47301,0.491111111111112,0.15,-1
192,47302,0.4947222222222231,0.15,-1
193,47303,0.4947222222222231,0.24166666666666667,54339
194,47304,0.4947222222222231,0.24166666666666667,54339
195,47305,0.4947222222222231,0.24166666666666667,54339
